circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,skipped_existing
CKT_0001,3,1000,5,36,20,,490,72000,580936,,1.97861909866333,False
CKT_0002,3,1000,5,36,20,,490,72000,580936,,0.48203182220458984,False
CKT_0003,3,1000,5,36,20,,490,72000,580936,,0.5353076457977295,False
CKT_0004,3,1000,5,36,20,,490,72000,580936,,0.6577911376953125,False
CKT_0005,3,1000,5,36,20,,490,72000,580936,,0.6842985153198242,False
CKT_0006,3,1000,5,36,20,,490,72000,580936,,0.6783957481384277,False
CKT_0007,3,1000,5,36,20,,490,72000,580936,,0.7358381748199463,False
CKT_0008,3,1000,5,36,20,,490,72000,580936,,0.668694257736206,False
CKT_0009,3,1000,5,36,20,,490,72000,580936,,0.6708872318267822,False
CKT_0010,3,1000,5,36,20,,490,72000,580936,,0.73201584815979,False
CKT_0011,3,1000,5,36,20,,490,72000,580936,,0.6711611747741699,False
CKT_0012,3,1000,5,36,20,,490,72000,580936,,0.6795344352722168,False
CKT_0013,3,1000,5,36,20,,490,72000,580936,,0.6684722900390625,False
CKT_0014,3,1000,5,36,20,,490,72000,580936,,0.7041449546813965,False
CKT_0015,4,1000,5,36,20,,492,72144,582110,,0.5643486976623535,False
CKT_0016,4,1000,5,36,20,,492,72144,582110,,0.6801643371582031,False
CKT_0017,4,1000,5,36,20,,492,72144,582110,,0.6645059585571289,False
CKT_0018,4,1000,5,36,20,,492,72144,582110,,0.714099645614624,False
CKT_0019,4,1000,5,36,20,,492,72144,582110,,0.6685025691986084,False
CKT_0020,4,1000,5,36,20,,492,72144,582110,,0.6724822521209717,False
CKT_0021,4,1000,5,36,20,,492,72144,582110,,0.7268345355987549,False
CKT_0022,4,1000,5,36,20,,492,72144,582110,,0.6758251190185547,False
CKT_0023,4,1000,5,36,20,,492,72144,582110,,0.6634247303009033,False
CKT_0024,4,1000,5,36,20,,492,72144,582110,,0.6805620193481445,False
CKT_0025,4,1000,5,36,20,,492,72144,582110,,0.7126674652099609,False
CKT_0026,4,1000,5,36,20,,492,72144,582110,,0.6676540374755859,False
CKT_0027,4,1000,5,36,20,,492,72144,582110,,0.6742656230926514,False
CKT_0028,4,1000,5,36,20,,492,72144,582110,,0.7222409248352051,False
CKT_0029,5,1000,5,36,20,,494,72288,583284,,0.621401309967041,False
CKT_0030,5,1000,5,36,20,,494,72288,583284,,0.4886181354522705,False
CKT_0031,5,1000,5,36,20,,494,72288,583284,,0.49012160301208496,False
CKT_0032,5,1000,5,36,20,,494,72288,583284,,0.5316152572631836,False
CKT_0033,5,1000,5,36,20,,494,72288,583284,,0.50543212890625,False
CKT_0034,5,1000,5,36,20,,494,72288,583284,,0.49242401123046875,False
CKT_0035,5,1000,5,36,20,,494,72288,583284,,0.6407854557037354,False
CKT_0036,5,1000,5,36,20,,494,72288,583284,,0.5189516544342041,False
CKT_0037,5,1000,5,36,20,,494,72288,583284,,0.5095620155334473,False
