circuit_id,complexity,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error
CKT_0001,Basic,1,2.9500,2.9333,0.016700,16,0.008,
CKT_0001,Basic,2,2.9500,2.9333,0.016700,22,0.014,
CKT_0001,Basic,5,2.9500,2.9333,0.016700,40,0.016,
CKT_0001,Basic,10,2.9500,2.9333,0.016700,70,0.025,
CKT_0001,Basic,20,2.9500,2.9333,0.016700,130,0.041,
CKT_0001,Basic,50,2.9500,2.9333,0.016700,310,0.090,
CKT_0001,Basic,100,2.9500,2.9333,0.016700,610,0.183,
CKT_0001,Basic,200,2.9500,2.9333,0.016700,1210,0.354,
CKT_0023,Intermediate,1,8.8000,8.9947,0.194700,20,0.009,
CKT_0023,Intermediate,2,8.9000,8.9947,0.094700,28,0.012,
CKT_0023,Intermediate,5,9.0000,8.9947,0.005300,52,0.016,
CKT_0023,Intermediate,10,9.0000,8.9947,0.005300,92,0.030,
CKT_0023,Intermediate,20,9.0000,8.9947,0.005300,172,0.053,
CKT_0023,Intermediate,50,9.0000,8.9947,0.005300,412,0.122,
CKT_0023,Intermediate,100,9.0000,8.9947,0.005300,812,0.242,
CKT_0023,Intermediate,200,9.0000,8.9947,0.005300,1612,0.474,
CKT_0055,Hard,1,0.2000,0.2155,0.015500,52,0.016,
CKT_0055,Hard,2,0.2000,0.2155,0.015500,76,0.029,
CKT_0055,Hard,5,0.2000,0.2155,0.015500,148,0.043,
CKT_0055,Hard,10,0.2000,0.2155,0.015500,268,0.074,
CKT_0055,Hard,20,0.2000,0.2155,0.015500,508,0.151,
CKT_0055,Hard,50,0.2000,0.2155,0.015500,1228,0.361,
CKT_0055,Hard,100,0.2000,0.2155,0.015500,2428,0.914,
CKT_0055,Hard,200,0.2000,0.2155,0.015500,4828,1.668,
CKT_0135,Hard,1,13.6500,14.9694,1.319400,128,0.033,
CKT_0135,Hard,2,13.6500,14.9694,1.319400,190,0.049,
CKT_0135,Hard,5,14.9500,14.9694,0.019400,376,0.112,
CKT_0135,Hard,10,14.9500,14.9694,0.019400,686,0.211,
CKT_0135,Hard,20,14.9500,14.9694,0.019400,1306,0.395,
CKT_0135,Hard,50,14.9500,14.9694,0.019400,3166,0.991,
CKT_0135,Hard,100,14.9500,14.9694,0.019400,6266,1.977,
CKT_0135,Hard,200,14.9500,14.9694,0.019400,12466,3.945,
CKT_0133,Hard,1,0.0000,6.976,6.976000,204,0.050,
CKT_0133,Hard,2,0.0000,6.976,6.976000,304,0.078,
CKT_0133,Hard,5,0.0000,6.976,6.976000,604,0.173,
CKT_0133,Hard,10,0.0000,6.976,6.976000,1104,0.340,
CKT_0133,Hard,20,0.0000,6.976,6.976000,2104,0.670,
CKT_0133,Hard,50,0.0000,6.976,6.976000,5104,1.661,
CKT_0133,Hard,100,0.0000,6.976,6.976000,10104,3.267,
CKT_0133,Hard,200,0.0000,6.976,6.976000,20104,6.556,
