circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0001,Basic,3,2,2,1000,2.9500,2.9333,0.0167,PASS,,,2.9328,2.933333,0.0000000000,1.000000e+00,6010,1721.0,,5,36,20,490,580936,
CKT_0002,Basic,3,2,2,1000,8.1500,8.1633,0.0133,PASS,,,8.1636,8.163265,0.0000000000,1.000000e+00,6010,1749.4,,5,36,20,490,580936,
CKT_0003,Basic,3,2,2,1000,4.9500,4.9287,0.0213,PASS,,,4.9285,4.928691,0.0000000000,1.000000e+00,6010,1302.3,,5,36,20,490,580936,
CKT_0004,Basic,3,2,2,1000,3.9000,3.9208,0.0208,PASS,,,3.9204,3.920792,0.0000000000,1.000000e+00,6010,1363.7,,5,36,20,490,580936,
CKT_0005,Basic,3,3,2,1000,0.5000,0.5213,0.0213,PASS,,,0.5208,0.521257,0.0000000000,1.000000e+00,6010,1334.2,,5,36,20,490,580936,
CKT_0006,Basic,3,3,2,1000,14.7000,14.6797,0.0203,PASS,,,14.6790,14.679715,0.0000000000,1.000000e+00,6010,1403.0,,5,36,20,490,580936,
CKT_0007,Basic,3,3,2,1000,3.0500,3.0712,0.0212,PASS,,,3.0720,3.071226,0.0000000000,1.000000e+00,6010,1346.9,,5,36,20,490,580936,
CKT_0008,Basic,3,3,2,1000,1.5500,1.5349,0.0151,PASS,,,1.5348,1.534884,0.0000000000,1.000000e+00,6010,1467.0,,5,36,20,490,580936,
CKT_0009,Basic,3,4,2,1000,4.8500,4.8526,0.0026,PASS,,,4.8525,4.852638,0.0000000000,1.000000e+00,6010,1348.9,,5,36,20,490,580936,
CKT_0010,Basic,3,4,2,1000,7.5500,7.534,0.0160,PASS,,,7.5345,7.534003,0.0000000000,1.000000e+00,6010,1366.0,,5,36,20,490,580936,
CKT_0011,Basic,3,4,2,1000,8.0000,7.9758,0.0242,PASS,,,7.9764,7.975831,0.0000000000,1.000000e+00,6010,1329.7,,5,36,20,490,580936,
CKT_0012,Basic,3,4,2,1000,10.4500,10.4681,0.0181,PASS,,,10.4676,10.468143,0.0000000000,1.000000e+00,6010,1353.6,,5,36,20,490,580936,
CKT_0013,Basic,3,4,2,1000,0.1000,0.109,0.0090,PASS,,,0.1090,0.109049,0.0000000000,1.000000e+00,6010,1349.8,,5,36,20,490,580936,
