circuit_id,N,rho_M,T,V_STEP_V,K_LEVELS,pred_V,truth_V,jacobi_ref_V,err_vs_truth,err_vs_jacobi,pass,seq_length,runtime_s,error
CKT_0146,22,0.9714,1100,0.05,480,1.050000,6.764700,6.753800,5.714700,5.703800,False,48448,10.44,
CKT_0146,22,0.9714,1100,0.01,2400,1.440000,6.764700,6.753800,5.324700,5.313800,False,48448,39.74,
CKT_0146,22,0.9714,1100,0.005,4800,1.420000,6.764700,6.753800,5.344700,5.333800,False,48448,76.72,
CKT_0146,22,0.9714,1100,0.001,24000,1.465000,6.764700,6.753800,5.299700,5.288800,False,48448,362.80,
CKT_0154,22,0.9558,1100,0.05,480,11.050000,13.335500,13.334800,2.285500,2.284800,False,48448,10.57,
CKT_0154,22,0.9558,1100,0.01,2400,11.190000,13.335500,13.334800,2.145500,2.144800,False,48448,39.78,
CKT_0154,22,0.9558,1100,0.005,4800,11.200000,13.335500,13.334800,2.135500,2.134800,False,48448,77.42,
CKT_0154,22,0.9558,1100,0.001,24000,11.218000,13.335500,13.334800,2.117500,2.116800,False,48448,368.64,
CKT_0043,6,0.9905,1000,0.05,480,5.650000,7.684100,7.691400,2.034100,2.041400,False,12016,2.55,
CKT_0043,6,0.9905,1000,0.01,2400,7.250000,7.684100,7.691400,0.434100,0.441400,False,12016,9.83,
CKT_0043,6,0.9905,1000,0.005,4800,7.465000,7.684100,7.691400,0.219100,0.226400,False,12016,18.76,
CKT_0043,6,0.9905,1000,0.001,24000,7.682000,7.684100,7.691400,0.002100,0.009400,True,12016,90.65,
