circuit_id,complexity,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error
CKT_0020,Basic,1,0.0000,0.3189,0.318900,20,0.006,
CKT_0020,Basic,2,0.3000,0.3189,0.018900,28,0.008,
CKT_0020,Basic,3,0.3000,0.3189,0.018900,36,0.010,
CKT_0020,Basic,5,0.3000,0.3189,0.018900,52,0.013,
CKT_0020,Basic,8,0.3000,0.3189,0.018900,76,0.018,
CKT_0020,Basic,13,0.3000,0.3189,0.018900,116,0.026,
CKT_0020,Basic,20,0.3000,0.3189,0.018900,172,0.037,
CKT_0020,Basic,35,0.3000,0.3189,0.018900,292,0.061,
CKT_0020,Basic,50,0.3000,0.3189,0.018900,412,0.087,
CKT_0020,Basic,100,0.3000,0.3189,0.018900,812,0.168,
CKT_0020,Basic,200,0.3000,0.3189,0.018900,1612,0.334,
CKT_0022,Basic,1,0.0000,0.0973,0.097300,20,0.006,
CKT_0022,Basic,2,0.0500,0.0973,0.047300,28,0.008,
CKT_0022,Basic,3,0.0500,0.0973,0.047300,36,0.010,
CKT_0022,Basic,5,0.1000,0.0973,0.002700,52,0.013,
CKT_0022,Basic,8,0.1000,0.0973,0.002700,76,0.018,
CKT_0022,Basic,13,0.1000,0.0973,0.002700,116,0.026,
CKT_0022,Basic,20,0.1000,0.0973,0.002700,172,0.037,
CKT_0022,Basic,35,0.1000,0.0973,0.002700,292,0.063,
CKT_0022,Basic,50,0.1000,0.0973,0.002700,412,0.088,
CKT_0022,Basic,100,0.1000,0.0973,0.002700,812,0.172,
CKT_0022,Basic,200,0.1000,0.0973,0.002700,1612,0.335,
CKT_0070,Hard,1,0.0000,0.0221,0.022100,32,0.008,
CKT_0070,Hard,2,0.0000,0.0221,0.022100,46,0.011,
CKT_0070,Hard,3,0.0000,0.0221,0.022100,60,0.014,
CKT_0070,Hard,5,0.0000,0.0221,0.022100,88,0.020,
CKT_0070,Hard,8,0.0000,0.0221,0.022100,130,0.029,
CKT_0070,Hard,13,0.0000,0.0221,0.022100,200,0.044,
CKT_0070,Hard,20,0.0000,0.0221,0.022100,298,0.064,
CKT_0070,Hard,35,0.0000,0.0221,0.022100,508,0.109,
CKT_0070,Hard,50,0.0000,0.0221,0.022100,718,0.153,
CKT_0070,Hard,100,0.0000,0.0221,0.022100,1418,0.299,
CKT_0070,Hard,200,0.0000,0.0221,0.022100,2818,0.590,
CKT_0067,Hard,1,0.1000,21.2617,21.161700,48,0.010,
CKT_0067,Hard,2,0.5500,21.2617,20.711700,70,0.015,
CKT_0067,Hard,3,5.8000,21.2617,15.461700,92,0.020,
CKT_0067,Hard,5,10.0000,21.2617,11.261700,136,0.029,
CKT_0067,Hard,8,13.2000,21.2617,8.061700,202,0.043,
CKT_0067,Hard,13,18.0500,21.2617,3.211700,312,0.066,
CKT_0067,Hard,20,20.0000,21.2617,1.261700,466,0.099,
CKT_0067,Hard,35,21.1500,21.2617,0.111700,796,0.166,
CKT_0067,Hard,50,21.2000,21.2617,0.061700,1126,0.267,
CKT_0067,Hard,100,21.2000,21.2617,0.061700,2226,0.473,
CKT_0067,Hard,200,21.2000,21.2617,0.061700,4426,0.974,
CKT_0065,Hard,1,0.0000,10.1916,10.191600,48,0.010,
CKT_0065,Hard,2,1.1000,10.1916,9.091600,70,0.015,
CKT_0065,Hard,3,1.1000,10.1916,9.091600,92,0.020,
CKT_0065,Hard,5,2.1000,10.1916,8.091600,136,0.029,
CKT_0065,Hard,8,3.8000,10.1916,6.391600,202,0.043,
CKT_0065,Hard,13,5.1500,10.1916,5.041600,312,0.066,
CKT_0065,Hard,20,7.0000,10.1916,3.191600,466,0.098,
CKT_0065,Hard,35,8.8500,10.1916,1.341600,796,0.169,
CKT_0065,Hard,50,9.5500,10.1916,0.641600,1126,0.239,
CKT_0065,Hard,100,9.8500,10.1916,0.341600,2226,0.471,
CKT_0065,Hard,200,9.8500,10.1916,0.341600,4426,0.975,
CKT_0058,Hard,1,3.3000,3.3,0.000000,52,0.011,
CKT_0058,Hard,2,3.3000,3.3,0.000000,76,0.016,
CKT_0058,Hard,3,3.3000,3.3,0.000000,100,0.021,
CKT_0058,Hard,5,3.3000,3.3,0.000000,148,0.032,
CKT_0058,Hard,8,3.3000,3.3,0.000000,220,0.046,
CKT_0058,Hard,13,3.3000,3.3,0.000000,340,0.073,
CKT_0058,Hard,20,3.3000,3.3,0.000000,508,0.107,
CKT_0058,Hard,35,3.3000,3.3,0.000000,868,0.210,
CKT_0058,Hard,50,3.3000,3.3,0.000000,1228,0.259,
CKT_0058,Hard,100,3.3000,3.3,0.000000,2428,0.514,
CKT_0058,Hard,200,3.3000,3.3,0.000000,4828,1.052,
CKT_0133,Hard,1,0.0000,6.976,6.976000,204,0.035,
CKT_0133,Hard,2,0.0000,6.976,6.976000,304,0.056,
CKT_0133,Hard,3,0.0000,6.976,6.976000,404,0.079,
CKT_0133,Hard,5,0.0000,6.976,6.976000,604,0.125,
CKT_0133,Hard,8,0.0000,6.976,6.976000,904,0.193,
CKT_0133,Hard,13,0.0000,6.976,6.976000,1404,0.303,
CKT_0133,Hard,20,0.0000,6.976,6.976000,2104,0.486,
CKT_0133,Hard,35,0.0000,6.976,6.976000,3604,0.794,
CKT_0133,Hard,50,0.0000,6.976,6.976000,5104,1.173,
CKT_0133,Hard,100,0.0000,6.976,6.976000,10104,2.286,
CKT_0133,Hard,200,0.0000,6.976,6.976000,20104,4.576,
