circuit_id,complexity,N,rho_M,kappa_A,truth_V,pred_V_dsl,jacobi_ref_V,abs_error,jacobi_err,dsl_vs_jacobi,mode
CKT_0001,Basic,3,0.0000000000,1.000000e+00,2.9333,2.9500,2.9328,0.0167,,,PASS
CKT_0002,Basic,3,0.0000000000,1.000000e+00,8.1633,8.1500,8.1636,0.0133,,,PASS
CKT_0003,Basic,3,0.0000000000,1.000000e+00,4.9287,4.9500,4.9285,0.0213,,,PASS
CKT_0004,Basic,3,0.0000000000,1.000000e+00,3.9208,3.9000,3.9204,0.0208,,,PASS
CKT_0005,Basic,3,0.0000000000,1.000000e+00,0.5213,0.5000,0.5208,0.0213,,,PASS
CKT_0006,Basic,3,0.0000000000,1.000000e+00,14.6797,14.7000,14.6790,0.0203,,,PASS
CKT_0007,Basic,3,0.0000000000,1.000000e+00,3.0712,3.0500,3.0720,0.0212,,,PASS
CKT_0008,Basic,3,0.0000000000,1.000000e+00,1.5349,1.5500,1.5348,0.0151,,,PASS
CKT_0009,Basic,3,0.0000000000,1.000000e+00,4.8526,4.8500,4.8525,0.0026,,,PASS
CKT_0010,Basic,3,0.0000000000,1.000000e+00,7.534,7.5500,7.5345,0.0160,,,PASS
CKT_0011,Basic,3,0.0000000000,1.000000e+00,7.9758,8.0000,7.9764,0.0242,,,PASS
CKT_0012,Basic,3,0.0000000000,1.000000e+00,10.4681,10.4500,10.4676,0.0181,,,PASS
CKT_0013,Basic,3,0.0000000000,1.000000e+00,0.109,0.1000,0.1090,0.0090,,,PASS
CKT_0014,Basic,3,0.0000000000,1.000000e+00,7.2644,7.2500,7.2645,0.0144,,,PASS
CKT_0015,Basic,4,0.5863019700,4.001154e+00,2.8571,2.8000,2.8570,0.0571,0.0001,0.0570,B_simple
CKT_0016,Basic,4,0.9303926769,2.786908e+01,4.8316,4.8500,4.8313,0.0184,,,PASS
CKT_0017,Basic,4,0.0760385821,2.784572e+01,0.1047,0.1000,0.1050,0.0047,,,PASS
CKT_0018,Basic,4,0.4613700455,3.616330e+00,8.9241,8.9000,8.9246,0.0241,,,PASS
CKT_0019,Basic,4,0.9719324323,7.029106e+01,1.7068,1.4500,1.7049,0.2568,0.0019,0.2549,B_compound
CKT_0020,Basic,4,0.3478361040,2.994953e+00,0.3189,0.3000,0.3189,0.0189,,,PASS
CKT_0021,Basic,4,0.9703570056,6.649736e+01,1.6444,1.5000,1.6413,0.1444,0.0031,0.1413,B_compound
CKT_0022,Basic,4,0.5474730870,5.342848e+00,0.0973,0.1000,0.0971,0.0027,,,PASS
CKT_0023,Intermediate,4,0.0952850302,1.565013e+01,8.9947,9.0000,8.9949,0.0053,,,PASS
CKT_0024,Intermediate,4,0.0806290381,8.261447e+00,0.0577,0.0500,0.0576,0.0077,,,PASS
CKT_0025,Intermediate,4,0.4258733819,3.078333e+00,0.0484,0.0500,0.0480,0.0016,,,PASS
CKT_0026,Intermediate,4,0.0000000000,1.000000e+00,11.4624,11.4500,11.4618,0.0124,,,PASS
CKT_0027,Intermediate,4,0.0000000000,1.000000e+00,7.0,7.0000,6.9993,0.0000,,,PASS
CKT_0028,Intermediate,4,0.0000000000,1.000000e+00,14.1795,14.2000,14.1805,0.0205,,,PASS
CKT_0029,Intermediate,5,0.0451759595,3.363421e+01,0.1592,0.1500,0.1592,0.0092,,,PASS
CKT_0030,Intermediate,5,0.4190060019,2.761826e+00,5.1848,5.2000,5.1846,0.0152,,,PASS
CKT_0031,Intermediate,5,0.9015830880,5.597838e+01,3.1534,3.0000,3.1525,0.1534,0.0009,0.1525,B_compound
CKT_0032,Intermediate,5,0.7757224321,8.265003e+00,2.5535,2.5000,2.5536,0.0535,0.0001,0.0536,B_simple
CKT_0033,Intermediate,5,0.6190448523,1.066028e+01,18.8788,18.8500,18.8795,0.0288,,,PASS
CKT_0034,Intermediate,5,0.6858891138,1.789330e+01,4.6738,4.7000,4.6734,0.0262,,,PASS
CKT_0035,Intermediate,5,0.5943228895,2.202910e+01,1.757,1.7000,1.7567,0.0570,0.0003,0.0567,B_simple
CKT_0036,Intermediate,5,0.1771771160,6.651529e+01,0.0082,0.0000,0.0081,0.0082,,,PASS
CKT_0037,Intermediate,5,0.6323142233,1.924178e+01,2.6664,2.6500,2.6662,0.0164,,,PASS
CKT_0038,Intermediate,5,0.0587248314,9.024119e+00,2.7845,2.8000,2.7845,0.0155,,,PASS
CKT_0039,Intermediate,5,0.9904053295,2.074542e+02,18.2062,18.1000,18.2483,0.1062,0.0421,0.1483,B_compound
CKT_0040,Intermediate,5,0.1656079411,1.497798e+01,3.2548,3.2500,3.2548,0.0048,,,PASS
CKT_0041,Intermediate,5,0.6835149530,6.118758e+00,4.6532,4.6500,4.6524,0.0032,,,PASS
CKT_0042,Intermediate,6,0.5811947914,5.520405e+00,0.0603,0.0500,0.0600,0.0103,,,PASS
CKT_0043,Intermediate,6,0.9905184118,2.486631e+02,7.6841,5.6500,7.6914,2.0341,0.0073,2.0414,B_compound
CKT_0044,Intermediate,6,0.8396394937,1.637673e+01,0.0798,0.0500,0.0794,0.0298,,,PASS
CKT_0045,Intermediate,6,0.5821320300,7.994343e+00,3.0,3.0000,3.0007,0.0000,,,PASS
CKT_0046,Intermediate,6,0.9472557941,3.846241e+01,0.0352,0.0000,0.0351,0.0352,,,PASS
CKT_0047,Intermediate,6,0.9459326844,5.199590e+01,3.2289,3.1500,3.2303,0.0789,0.0014,0.0803,B_simple
CKT_0048,Intermediate,6,0.8709857768,1.768763e+01,1.5197,1.4500,1.5185,0.0697,0.0012,0.0685,B_simple
CKT_0049,Intermediate,6,0.7925319376,1.587923e+01,0.9619,0.9500,0.9619,0.0119,,,PASS
CKT_0050,Intermediate,5,0.0210584658,2.073341e+00,1.782,1.8000,1.7818,0.0180,,,PASS
CKT_0051,Intermediate,5,0.1097259652,1.267631e+00,2.0162,2.0000,2.0156,0.0162,,,PASS
CKT_0052,Intermediate,5,0.9272245735,2.655992e+01,1.4137,1.3000,1.4134,0.1137,0.0003,0.1134,B_compound
CKT_0053,Intermediate,5,0.9011493400,1.940450e+01,1.2977,1.0500,1.3016,0.2477,0.0039,0.2516,B_compound
CKT_0054,Intermediate,5,0.1148910974,3.271337e+00,2.1968,2.2000,2.1968,0.0032,,,PASS
CKT_0055,Hard,12,0.9674793610,3.367199e+04,0.2155,0.2000,0.2156,0.0155,,,PASS
CKT_0056,Hard,12,0.8863952524,6.255259e+02,12.0,12.0000,12.0000,0.0000,,,PASS
CKT_0057,Hard,12,0.5848262762,1.251953e+02,7.567,7.5500,7.5675,0.0170,,,PASS
CKT_0058,Hard,12,0.9953719687,4.949124e+02,3.3,3.3000,3.3000,0.0000,,,PASS
CKT_0059,Hard,12,0.9999178764,3.047667e+04,0.066,0.0500,0.0672,0.0160,,,PASS
CKT_0060,Hard,13,0.9917848583,5.221201e+04,17.1311,16.5500,17.0850,0.5811,0.0461,0.5350,B_compound
CKT_0061,Hard,13,0.9849666088,2.890144e+03,11.4013,10.2500,11.3941,1.1513,0.0072,1.1441,B_compound
CKT_0062,Hard,16,0.9982197645,2.518269e+03,5.0088,0.0000,3.8280,5.0088,1.1808,3.8280,A_non_convergent
CKT_0063,Hard,16,0.9998294810,1.175611e+04,0.2298,0.0000,0.0686,0.2298,0.1612,0.0686,A_non_convergent
CKT_0064,Hard,17,0.9999120457,1.096733e+05,8.9905,2.1000,5.8617,6.8905,3.1288,3.7617,A_non_convergent
CKT_0065,Hard,11,0.9434374921,7.902148e+01,10.1916,9.8500,10.1860,0.3416,0.0056,0.3360,B_compound
CKT_0066,Hard,13,0.9856604538,2.810360e+02,12.4153,12.4000,12.4165,0.0153,,,PASS
CKT_0067,Hard,11,0.8542357962,6.038425e+01,21.2617,21.2000,21.2575,0.0617,0.0042,0.0575,B_simple
CKT_0068,Hard,13,0.8631058708,6.217086e+03,24.0,23.9500,23.9999,0.0500,0.0001,0.0499,C_boundary
CKT_0069,Hard,11,0.9059066848,3.043070e+02,6.7311,6.6000,6.7340,0.1311,0.0029,0.1340,B_compound
