circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0001,Basic,3,1000,0.05,2.9500,2.9333,0.0167,PASS,2.9328,0.000000,1.0000e+00,6010,1260.9,
CKT_0002,Basic,3,1000,0.05,8.1500,8.1633,0.0133,PASS,8.1636,0.000000,1.0000e+00,6010,1245.8,
CKT_0003,Basic,3,1000,0.05,4.9500,4.9287,0.0213,PASS,4.9285,0.000000,1.0000e+00,6010,1270.9,
CKT_0004,Basic,3,1000,0.05,3.9000,3.9208,0.0208,PASS,3.9204,0.000000,1.0000e+00,6010,1234.6,
CKT_0005,Basic,3,1000,0.05,0.5000,0.5213,0.0213,PASS,0.5208,0.000000,1.0000e+00,6010,1255.0,
CKT_0006,Basic,3,1000,0.05,14.7000,14.6797,0.0203,PASS,14.6790,0.000000,1.0000e+00,6010,1311.6,
CKT_0007,Basic,3,1000,0.05,3.0500,3.0712,0.0212,PASS,3.0720,0.000000,1.0000e+00,6010,1252.7,
CKT_0008,Basic,3,1000,0.05,1.5500,1.5349,0.0151,PASS,1.5348,0.000000,1.0000e+00,6010,1271.0,
CKT_0009,Basic,3,1000,0.05,4.8500,4.8526,0.0026,PASS,4.8525,0.000000,1.0000e+00,6010,1274.2,
CKT_0010,Basic,3,1000,0.05,7.5500,7.534,0.0160,PASS,7.5345,0.000000,1.0000e+00,6010,1268.1,
CKT_0011,Basic,3,1000,0.05,8.0000,7.9758,0.0242,PASS,7.9764,0.000000,1.0000e+00,6010,1296.9,
CKT_0012,Basic,3,1000,0.05,10.4500,10.4681,0.0181,PASS,10.4676,0.000000,1.0000e+00,6010,1247.7,
CKT_0013,Basic,3,1000,0.05,0.1000,0.109,0.0090,PASS,0.1090,0.000000,1.0000e+00,6010,1263.0,
CKT_0014,Basic,3,1000,0.05,7.2500,7.2644,0.0144,PASS,7.2645,0.000000,1.0000e+00,6010,1254.8,
CKT_0015,Basic,4,1000,0.05,2.8000,2.8571,0.0571,FAIL,2.8570,0.586302,4.0012e+00,8012,1679.8,
CKT_0016,Basic,4,1000,0.05,4.8500,4.8316,0.0184,PASS,4.8313,0.930393,2.7869e+01,8012,1672.0,
CKT_0017,Basic,4,1000,0.05,0.1000,0.1047,0.0047,PASS,0.1050,0.076039,2.7846e+01,8012,1651.1,
CKT_0018,Basic,4,1000,0.05,8.9000,8.9241,0.0241,PASS,8.9246,0.461370,3.6163e+00,8012,1664.7,
CKT_0019,Basic,4,1000,0.05,1.4500,1.7068,0.2568,FAIL,1.7049,0.971932,7.0291e+01,8012,1684.6,
CKT_0020,Basic,4,1000,0.05,0.3000,0.3189,0.0189,PASS,0.3189,0.347836,2.9950e+00,8012,1664.1,
CKT_0021,Basic,4,1000,0.05,1.5000,1.6444,0.1444,FAIL,1.6413,0.970357,6.6497e+01,8012,1646.5,
CKT_0022,Basic,4,1000,0.05,0.1000,0.0973,0.0027,PASS,0.0971,0.547473,5.3428e+00,8012,1623.3,
CKT_0023,Intermediate,4,1000,0.05,9.0000,8.9947,0.0053,PASS,8.9949,0.095285,1.5650e+01,8012,1671.2,
CKT_0024,Intermediate,4,1000,0.05,0.0500,0.0577,0.0077,PASS,0.0576,0.080629,8.2614e+00,8012,1657.3,
CKT_0025,Intermediate,4,1000,0.05,0.0500,0.0484,0.0016,PASS,0.0480,0.425873,3.0783e+00,8012,1649.4,
CKT_0026,Intermediate,4,1000,0.05,11.4500,11.4624,0.0124,PASS,11.4618,0.000000,1.0000e+00,8012,1671.1,
CKT_0027,Intermediate,4,1000,0.05,7.0000,7.0,0.0000,PASS,6.9993,0.000000,1.0000e+00,8012,1656.5,
CKT_0028,Intermediate,4,1000,0.05,14.2000,14.1795,0.0205,PASS,14.1805,0.000000,1.0000e+00,8012,1679.3,
CKT_0029,Intermediate,5,1000,0.05,0.1500,0.1592,0.0092,PASS,0.1592,0.045176,3.3634e+01,10014,2076.1,
CKT_0030,Intermediate,5,1000,0.05,5.2000,5.1848,0.0152,PASS,5.1846,0.419006,2.7618e+00,10014,2095.9,
CKT_0031,Intermediate,5,1000,0.05,3.0000,3.1534,0.1534,FAIL,3.1525,0.901583,5.5978e+01,10014,2055.4,
