circuit_id,N,rho_M,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error
CKT_0001,3,0.000000,1,2.9500,2.9333,0.016700,16,0.01,
CKT_0001,3,0.000000,2,2.9500,2.9333,0.016700,22,0.01,
CKT_0001,3,0.000000,5,2.9500,2.9333,0.016700,40,0.02,
CKT_0001,3,0.000000,10,2.9500,2.9333,0.016700,70,0.02,
CKT_0001,3,0.000000,20,2.9500,2.9333,0.016700,130,0.03,
CKT_0001,3,0.000000,50,2.9500,2.9333,0.016700,310,0.07,
CKT_0001,3,0.000000,100,2.9500,2.9333,0.016700,610,0.13,
CKT_0001,3,0.000000,200,2.9500,2.9333,0.016700,1210,0.25,
CKT_0001,3,0.000000,500,2.9500,2.9333,0.016700,3010,0.64,
CKT_0001,3,0.000000,1000,2.9500,2.9333,0.016700,6010,1.29,
CKT_0001,3,0.000000,2000,2.9500,2.9333,0.016700,12010,2.54,
CKT_0001,3,0.000000,5000,2.9500,2.9333,0.016700,30010,6.43,
CKT_0022,4,0.547473,1,0.0000,0.0973,0.097300,20,0.01,
CKT_0022,4,0.547473,2,0.0500,0.0973,0.047300,28,0.01,
CKT_0022,4,0.547473,5,0.1000,0.0973,0.002700,52,0.01,
CKT_0022,4,0.547473,10,0.1000,0.0973,0.002700,92,0.02,
CKT_0022,4,0.547473,20,0.1000,0.0973,0.002700,172,0.04,
CKT_0022,4,0.547473,50,0.1000,0.0973,0.002700,412,0.09,
CKT_0022,4,0.547473,100,0.1000,0.0973,0.002700,812,0.18,
CKT_0022,4,0.547473,200,0.1000,0.0973,0.002700,1612,0.34,
CKT_0022,4,0.547473,500,0.1000,0.0973,0.002700,4012,0.87,
CKT_0022,4,0.547473,1000,0.1000,0.0973,0.002700,8012,1.68,
CKT_0022,4,0.547473,2000,0.1000,0.0973,0.002700,16012,3.44,
CKT_0022,4,0.547473,5000,0.1000,0.0973,0.002700,40012,8.51,
CKT_0058,12,0.995372,1,3.3000,3.3000,0.000000,52,0.01,
CKT_0058,12,0.995372,2,3.3000,3.3000,0.000000,76,0.02,
CKT_0058,12,0.995372,5,3.3000,3.3000,0.000000,148,0.03,
CKT_0058,12,0.995372,10,3.3000,3.3000,0.000000,268,0.06,
CKT_0058,12,0.995372,20,3.3000,3.3000,0.000000,508,0.11,
CKT_0058,12,0.995372,50,3.3000,3.3000,0.000000,1228,0.27,
CKT_0058,12,0.995372,100,3.3000,3.3000,0.000000,2428,0.52,
CKT_0058,12,0.995372,200,3.3000,3.3000,0.000000,4828,1.04,
CKT_0058,12,0.995372,500,3.3000,3.3000,0.000000,12028,2.59,
CKT_0058,12,0.995372,1000,3.3000,3.3000,0.000000,24028,5.25,
CKT_0058,12,0.995372,2000,3.3000,3.3000,0.000000,48028,10.58,
CKT_0058,12,0.995372,5000,3.3000,3.3000,0.000000,120028,26.78,
CKT_0067,11,0.854236,1,0.1000,21.2617,21.161700,48,0.01,
CKT_0067,11,0.854236,2,0.5500,21.2617,20.711700,70,0.02,
CKT_0067,11,0.854236,5,10.0000,21.2617,11.261700,136,0.03,
CKT_0067,11,0.854236,10,15.3500,21.2617,5.911700,246,0.05,
CKT_0067,11,0.854236,20,20.0000,21.2617,1.261700,466,0.10,
CKT_0067,11,0.854236,50,21.2000,21.2617,0.061700,1126,0.24,
CKT_0067,11,0.854236,100,21.2000,21.2617,0.061700,2226,0.49,
CKT_0067,11,0.854236,200,21.2000,21.2617,0.061700,4426,0.94,
CKT_0067,11,0.854236,500,21.2000,21.2617,0.061700,11026,2.42,
CKT_0067,11,0.854236,1000,21.2000,21.2617,0.061700,22026,4.73,
CKT_0067,11,0.854236,2000,21.2000,21.2617,0.061700,44026,9.60,
CKT_0067,11,0.854236,5000,21.2000,21.2617,0.061700,110026,24.10,
CKT_0146,22,0.971400,1,0.0000,6.7647,6.764700,92,0.02,
CKT_0146,22,0.971400,2,0.0000,6.7647,6.764700,136,0.03,
CKT_0146,22,0.971400,5,0.0000,6.7647,6.764700,268,0.06,
CKT_0146,22,0.971400,10,0.1000,6.7647,6.664700,488,0.11,
CKT_0146,22,0.971400,20,0.3500,6.7647,6.414700,928,0.21,
CKT_0146,22,0.971400,50,0.8500,6.7647,5.914700,2248,0.49,
CKT_0146,22,0.971400,100,1.0500,6.7647,5.714700,4448,0.96,
CKT_0146,22,0.971400,200,1.0500,6.7647,5.714700,8848,1.95,
CKT_0146,22,0.971400,500,1.0500,6.7647,5.714700,22048,4.93,
CKT_0146,22,0.971400,1000,1.0500,6.7647,5.714700,44048,9.90,
CKT_0146,22,0.971400,2000,1.0500,6.7647,5.714700,88048,19.68,
CKT_0146,22,0.971400,5000,1.0500,6.7647,5.714700,220048,49.75,
CKT_0131,49,0.999123,1,0.0000,14.0817,14.081700,200,0.04,
CKT_0131,49,0.999123,2,0.0000,14.0817,14.081700,298,0.06,
CKT_0131,49,0.999123,5,0.0000,14.0817,14.081700,592,0.13,
CKT_0131,49,0.999123,10,0.0000,14.0817,14.081700,1082,0.23,
CKT_0131,49,0.999123,20,0.2500,14.0817,13.831700,2062,0.45,
