circuit_id,N,T,V_STEP_V,K_LEVELS,pred_V,truth_V,abs_error,pass,seq_length,runtime_s,error
CKT_0068,13,1000,0.05,480,23.9500,24.0000,0.0500,False,26030,5.66,
CKT_0068,13,1000,0.025,960,23.9750,24.0000,0.0250,True,26030,9.46,
CKT_0068,13,1000,0.01,2400,23.9900,24.0000,0.0100,True,26030,21.62,
CKT_0068,13,1000,0.005,4800,23.9950,24.0000,0.0050,True,26030,41.97,
CKT_0098,10,1000,0.05,480,9.1500,9.2020,0.0520,False,20024,4.36,
CKT_0098,10,1000,0.025,960,9.1750,9.2020,0.0270,True,20024,7.69,
CKT_0098,10,1000,0.01,2400,9.1900,9.2020,0.0120,True,20024,16.75,
CKT_0098,10,1000,0.005,4800,9.1950,9.2020,0.0070,True,20024,32.50,
CKT_0032,5,1000,0.05,480,2.5000,2.5535,0.0535,False,10014,2.10,
CKT_0032,5,1000,0.025,960,2.5500,2.5535,0.0035,True,10014,3.84,
CKT_0032,5,1000,0.01,2400,2.5500,2.5535,0.0035,True,10014,8.39,
CKT_0032,5,1000,0.005,4800,2.5500,2.5535,0.0035,True,10014,15.99,
CKT_0035,5,1000,0.05,480,1.7000,1.7570,0.0570,False,10014,2.18,
CKT_0035,5,1000,0.025,960,1.7500,1.7570,0.0070,True,10014,3.68,
CKT_0035,5,1000,0.01,2400,1.7500,1.7570,0.0070,True,10014,8.61,
CKT_0035,5,1000,0.005,4800,1.7550,1.7570,0.0020,True,10014,16.24,
CKT_0015,4,1000,0.05,480,2.8000,2.8571,0.0571,False,8012,1.72,
CKT_0015,4,1000,0.025,960,2.8500,2.8571,0.0071,True,8012,2.94,
CKT_0015,4,1000,0.01,2400,2.8500,2.8571,0.0071,True,8012,6.81,
CKT_0015,4,1000,0.005,4800,2.8550,2.8571,0.0021,True,8012,12.61,
CKT_0105,22,1100,0.05,480,0.0000,0.0601,0.0601,False,48448,10.65,
CKT_0105,22,1100,0.025,960,0.0250,0.0601,0.0351,True,48448,19.53,
CKT_0105,22,1100,0.01,2400,0.0600,0.0601,0.0001,True,48448,40.52,
CKT_0105,22,1100,0.005,4800,0.0600,0.0601,0.0001,True,48448,78.01,
CKT_0067,11,1000,0.05,480,21.2000,21.2617,0.0617,False,22026,4.80,
CKT_0067,11,1000,0.025,960,21.2000,21.2617,0.0617,False,22026,8.23,
CKT_0067,11,1000,0.01,2400,21.2400,21.2617,0.0217,True,22026,18.82,
CKT_0067,11,1000,0.005,4800,21.2500,21.2617,0.0117,True,22026,35.13,
CKT_0048,6,1000,0.05,480,1.4500,1.5197,0.0697,False,12016,2.53,
CKT_0048,6,1000,0.025,960,1.4750,1.5197,0.0447,True,12016,4.43,
CKT_0048,6,1000,0.01,2400,1.5000,1.5197,0.0197,True,12016,10.00,
CKT_0048,6,1000,0.005,4800,1.5100,1.5197,0.0097,True,12016,19.11,
CKT_0094,10,1000,0.05,480,4.0500,4.1475,0.0975,False,20024,4.29,
CKT_0094,10,1000,0.025,960,4.1500,4.1475,0.0025,True,20024,7.48,
CKT_0094,10,1000,0.01,2400,4.1500,4.1475,0.0025,True,20024,17.18,
CKT_0094,10,1000,0.005,4800,4.1400,4.1475,0.0075,True,20024,31.91,
CKT_0092,19,1000,0.05,480,14.9500,15.0485,0.0985,False,38042,8.40,
CKT_0092,19,1000,0.025,960,15.0000,15.0485,0.0485,True,38042,14.51,
CKT_0092,19,1000,0.01,2400,15.0300,15.0485,0.0185,True,38042,31.80,
CKT_0092,19,1000,0.005,4800,15.0400,15.0485,0.0085,True,38042,60.16,
