circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,skipped_existing
CKT_0001,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0002,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0003,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0004,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0005,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0006,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0007,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0008,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0009,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0010,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0011,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0012,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0013,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0014,3,1000,5,36,20,18,490,72000,580936,,,True
CKT_0015,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0016,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0017,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0018,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0019,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0020,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0021,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0022,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0023,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0024,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0025,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0026,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0027,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0028,4,1000,5,36,20,18,492,72144,582110,,,True
CKT_0029,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0030,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0031,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0032,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0033,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0034,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0035,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0036,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0037,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0038,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0039,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0040,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0041,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0042,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0043,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0044,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0045,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0046,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0047,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0048,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0049,6,1000,5,36,20,18,496,72432,584458,,,True
CKT_0050,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0051,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0052,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0053,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0054,5,1000,5,36,20,18,494,72288,583284,,,True
CKT_0055,12,1000,5,36,20,18,508,73296,591506,,,True
CKT_0056,12,1000,5,36,20,18,508,73296,591506,,,True
CKT_0057,12,1000,5,36,20,18,508,73296,591506,,,True
CKT_0058,12,1000,5,36,20,18,508,73296,591506,,,True
CKT_0059,12,1000,5,36,20,18,508,73296,591506,,,True
CKT_0060,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0061,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0062,16,1000,5,36,20,18,516,73872,596210,,,True
CKT_0063,16,1000,5,36,20,18,516,73872,596210,,,True
CKT_0064,17,1000,5,36,20,18,518,74016,597386,,,True
CKT_0065,11,1000,5,36,20,18,506,73152,590330,,,True
CKT_0066,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0067,11,1000,5,36,20,18,506,73152,590330,,,True
CKT_0068,13,1000,5,36,20,18,510,73440,592682,,,True
CKT_0069,11,1000,5,36,20,18,506,73152,590330,,,True
CKT_0070,7,1000,5,36,20,18,498,72576,585632,,,True
CKT_0071,8,1000,5,36,20,18,500,72720,586806,,,True
CKT_0072,7,1000,5,36,20,18,498,72576,585632,,,True
CKT_0073,8,1000,5,36,20,18,500,72720,586806,,,True
CKT_0074,7,1000,5,36,20,18,498,72576,585632,,,True
CKT_0075,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0076,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0077,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0078,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0079,10,1000,5,36,20,18,504,73008,589154,,,True
CKT_0080,17,1000,5,36,20,18,518,74016,597386,,,True
CKT_0081,17,1000,5,36,20,18,518,74016,597386,,,True
CKT_0082,17,1000,5,36,20,18,518,74016,597386,,,True
CKT_0083,17,1000,5,36,20,18,518,74016,597386,,,True
CKT_0084,21,1050,5,36,20,18,526,74592,602090,,,True
