circuit_id,N,rho_J,omega,omega_label,T_used,pred_V_dsl,ref_V_rbsor,truth_V,abs_error,pass_fail,run_time_s,build_status,run_status,error
CKT_0059,12,0.999918,1.0000,1.00,200,0.0500,0.0500,0.066,0.0160,PASS,4.21,built,PASS,
CKT_0059,12,0.999918,1.3000,1.30,200,0.0500,0.0500,0.066,0.0160,PASS,4.27,built,PASS,
CKT_0059,12,0.999918,1.5000,1.50,200,0.0500,0.0500,0.066,0.0160,PASS,4.22,built,PASS,
CKT_0059,12,0.999918,1.7000,1.70,200,0.0500,0.0500,0.066,0.0160,PASS,4.21,built,PASS,
CKT_0059,12,0.999918,1.9747,auto,410,0.0000,0.0000,0.066,0.0660,FAIL,8.63,built,FAIL,
CKT_0066,13,0.985660,1.0000,1.00,200,12.4000,12.4000,12.4153,0.0153,PASS,4.57,built,PASS,
CKT_0066,13,0.985660,1.3000,1.30,200,13.4500,13.4500,12.4153,1.0347,FAIL,4.55,built,FAIL,
CKT_0066,13,0.985660,1.5000,1.50,200,14.2000,14.2000,12.4153,1.7847,FAIL,4.61,built,FAIL,
CKT_0066,13,0.985660,1.7000,1.70,200,14.9000,14.9000,12.4153,2.4847,FAIL,4.60,built,FAIL,
CKT_0066,13,0.985660,1.7112,auto,200,14.9500,14.9500,12.4153,2.5347,FAIL,4.53,built,FAIL,
CKT_0080,17,0.997784,1.0000,1.00,200,4.9500,4.9500,4.9311,0.0189,PASS,5.93,built,PASS,
CKT_0080,17,0.997784,1.3000,1.30,200,4.9500,4.9500,4.9311,0.0189,PASS,5.95,built,PASS,
CKT_0080,17,0.997784,1.5000,1.50,200,4.9000,4.9000,4.9311,0.0311,PASS,6.02,built,PASS,
CKT_0080,17,0.997784,1.7000,1.70,200,4.9000,4.9000,4.9311,0.0311,PASS,5.94,built,PASS,
CKT_0080,17,0.997784,1.8752,auto,200,4.8500,4.8500,4.9311,0.0811,FAIL,5.96,built,FAIL,
CKT_0081,17,0.999987,1.0000,1.00,200,4.7000,4.7000,4.7176,0.0176,PASS,5.99,built,PASS,
CKT_0081,17,0.999987,1.3000,1.30,200,0.0000,0.0000,4.7176,4.7176,FAIL,6.03,built,FAIL,
CKT_0081,17,0.999987,1.5000,1.50,200,0.0000,0.0000,4.7176,4.7176,FAIL,5.98,built,FAIL,
CKT_0081,17,0.999987,1.7000,1.70,200,0.0000,0.0000,4.7176,4.7176,FAIL,6.06,built,FAIL,
CKT_0081,17,0.999987,1.9899,auto,962,0.0000,0.0000,4.7176,4.7176,FAIL,28.79,built,FAIL,
CKT_0103,14,0.921822,1.0000,1.00,200,8.6000,8.6000,8.6457,0.0457,PASS,4.91,built,PASS,
CKT_0103,14,0.921822,1.3000,1.30,200,8.3000,8.3000,8.6457,0.3457,FAIL,4.96,built,FAIL,
CKT_0103,14,0.921822,1.5000,1.50,200,0.0000,0.0000,8.6457,8.6457,FAIL,4.88,built,FAIL,
CKT_0103,14,0.921822,1.7000,1.70,200,0.0000,0.0000,8.6457,8.6457,FAIL,4.89,built,FAIL,
CKT_0103,14,0.921822,1.4413,auto,200,0.0000,0.0000,8.6457,8.6457,FAIL,4.89,built,FAIL,
CKT_0113,25,0.999905,1.0000,1.00,200,8.9500,8.9500,8.995,0.0450,PASS,8.67,built,PASS,
CKT_0113,25,0.999905,1.3000,1.30,200,9.2500,9.2500,8.995,0.2550,FAIL,8.72,built,FAIL,
CKT_0113,25,0.999905,1.5000,1.50,200,9.2500,9.2500,8.995,0.2550,FAIL,8.73,built,FAIL,
CKT_0113,25,0.999905,1.7000,1.70,200,9.2000,9.2000,8.995,0.2050,FAIL,8.68,built,FAIL,
CKT_0113,25,0.999905,1.9728,auto,385,9.0500,9.0500,8.995,0.0550,FAIL,16.74,built,FAIL,
CKT_0116,23,0.996926,1.0000,1.00,200,8.8000,8.8000,8.8276,0.0276,PASS,7.99,built,PASS,
CKT_0116,23,0.996926,1.3000,1.30,200,8.8000,8.8000,8.8276,0.0276,PASS,7.98,built,PASS,
CKT_0116,23,0.996926,1.5000,1.50,200,12.5000,12.5000,8.8276,3.6724,FAIL,7.97,built,FAIL,
CKT_0116,23,0.996926,1.7000,1.70,200,15.7000,15.7000,8.8276,6.8724,FAIL,7.98,built,FAIL,
CKT_0116,23,0.996926,1.8547,auto,200,19.6000,19.6000,8.8276,10.7724,FAIL,8.00,built,FAIL,
CKT_0120,14,0.649970,1.0000,1.00,200,3.4500,3.4500,3.4379,0.0121,PASS,4.86,built,PASS,
CKT_0120,14,0.649970,1.3000,1.30,200,3.5500,11.1500,3.4379,0.1121,FAIL,4.86,built,FAIL,
CKT_0120,14,0.649970,1.5000,1.50,200,3.5500,23.9500,3.4379,0.1121,FAIL,4.85,built,FAIL,
CKT_0120,14,0.649970,1.7000,1.70,200,3.5500,23.9500,3.4379,0.1121,FAIL,4.91,built,FAIL,
CKT_0120,14,0.649970,1.1364,auto,200,3.5500,3.5500,3.4379,0.1121,FAIL,4.86,built,FAIL,
CKT_0123,18,0.982621,1.0000,1.00,200,0.4500,0.4500,0.497,0.0470,PASS,6.21,built,PASS,
CKT_0123,18,0.982621,1.3000,1.30,200,3.0000,3.0000,0.497,2.5030,FAIL,6.27,built,FAIL,
CKT_0123,18,0.982621,1.5000,1.50,200,3.4500,3.4500,0.497,2.9530,FAIL,6.27,built,FAIL,
CKT_0123,18,0.982621,1.7000,1.70,200,3.9000,3.9000,0.497,3.4030,FAIL,6.23,built,FAIL,
CKT_0123,18,0.982621,1.6869,auto,200,3.9000,3.9000,0.497,3.4030,FAIL,6.20,built,FAIL,
CKT_0128,27,0.999715,1.0000,1.00,200,0.0500,0.0500,0.026,0.0240,PASS,9.40,built,PASS,
CKT_0128,27,0.999715,1.3000,1.30,200,0.0000,0.0000,0.026,0.0260,PASS,9.36,built,PASS,
CKT_0128,27,0.999715,1.5000,1.50,200,0.0000,0.0000,0.026,0.0260,PASS,9.34,built,PASS,
CKT_0128,27,0.999715,1.7000,1.70,200,0.0000,0.0000,0.026,0.0260,PASS,9.32,built,PASS,
CKT_0128,27,0.999715,1.9533,auto,243,0.7500,0.7500,0.026,0.7240,FAIL,11.37,built,FAIL,
CKT_0140,16,0.673564,1.0000,1.00,200,14.9500,14.9500,14.9813,0.0313,PASS,5.52,built,PASS,
CKT_0140,16,0.673564,1.3000,1.30,200,15.1500,23.9500,14.9813,0.1687,FAIL,5.54,built,FAIL,
CKT_0140,16,0.673564,1.5000,1.50,200,15.1500,23.9500,14.9813,0.1687,FAIL,5.58,built,FAIL,
CKT_0140,16,0.673564,1.7000,1.70,200,15.1500,23.9500,14.9813,0.1687,FAIL,5.54,built,FAIL,
CKT_0140,16,0.673564,1.1500,auto,200,15.1500,15.1500,14.9813,0.1687,FAIL,5.61,built,FAIL,
CKT_0141,15,0.990399,1.0000,1.00,200,4.0500,4.0500,4.0347,0.0153,PASS,5.18,built,PASS,
CKT_0141,15,0.990399,1.3000,1.30,200,1.9000,1.9000,4.0347,2.1347,FAIL,5.21,built,FAIL,
CKT_0141,15,0.990399,1.5000,1.50,200,0.0000,0.0000,4.0347,4.0347,FAIL,5.26,built,FAIL,
CKT_0141,15,0.990399,1.7000,1.70,200,0.0000,0.0000,4.0347,4.0347,FAIL,5.28,built,FAIL,
CKT_0141,15,0.990399,1.7571,auto,200,0.0000,0.0000,4.0347,4.0347,FAIL,5.24,built,FAIL,
CKT_0145,22,0.997469,1.0000,1.00,200,7.6500,7.7000,7.6912,0.0412,PASS,7.70,built,PASS,
CKT_0145,22,0.997469,1.3000,1.30,200,7.6500,7.6500,7.6912,0.0412,PASS,7.67,built,PASS,
CKT_0145,22,0.997469,1.5000,1.50,200,7.6500,7.7000,7.6912,0.0412,PASS,7.74,built,PASS,
CKT_0145,22,0.997469,1.7000,1.70,200,5.6500,5.7000,7.6912,2.0412,FAIL,7.82,built,FAIL,
CKT_0145,22,0.997469,1.8672,auto,200,0.0000,0.0000,7.6912,7.6912,FAIL,7.72,built,FAIL,
CKT_0148,22,0.992654,1.0000,1.00,200,8.9500,8.9500,8.9632,0.0132,PASS,7.72,built,PASS,
CKT_0148,22,0.992654,1.3000,1.30,200,8.9500,8.9500,8.9632,0.0132,PASS,7.75,built,PASS,
CKT_0148,22,0.992654,1.5000,1.50,200,9.6500,9.6500,8.9632,0.6868,FAIL,7.77,built,FAIL,
CKT_0148,22,0.992654,1.7000,1.70,200,10.6000,10.6000,8.9632,1.6368,FAIL,7.79,built,FAIL,
CKT_0148,22,0.992654,1.7841,auto,200,11.3500,11.3500,8.9632,2.3868,FAIL,7.78,built,FAIL,
