circuit_id,category,N,rho_J,omega,T,pred_V_dsl,ref_V_rbsor,truth_V,abs_error,pass_fail,run_time_s,build_status,run_status,error
CKT_0015,rescue,4,0.586302,1.1049,50,2.8500,2.8500,2.8571,0.0071,PASS,0.39,built,PASS,
CKT_0015,rescue,4,0.586302,1.1049,100,2.8500,2.8500,2.8571,0.0071,PASS,0.71,built,PASS,
CKT_0015,rescue,4,0.586302,1.1049,200,2.8500,2.8500,2.8571,0.0071,PASS,1.41,built,PASS,
CKT_0015,rescue,4,0.586302,1.1049,500,2.8500,2.8500,2.8571,0.0071,PASS,3.55,built,PASS,
CKT_0015,rescue,4,0.586302,1.1049,1000,2.8500,2.8500,2.8571,0.0071,PASS,7.06,built,PASS,
CKT_0015,rescue,4,0.586302,1.1049,2000,2.8500,2.8500,2.8571,0.0071,PASS,14.25,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,50,2.5500,2.5500,2.5535,0.0035,PASS,0.45,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,100,2.5500,2.5500,2.5535,0.0035,PASS,0.88,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,200,2.5500,2.5500,2.5535,0.0035,PASS,1.86,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,500,2.5500,2.5500,2.5535,0.0035,PASS,4.42,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,1000,2.5500,2.5500,2.5535,0.0035,PASS,8.88,built,PASS,
CKT_0032,rescue,5,0.775722,1.2262,2000,2.5500,2.5500,2.5535,0.0035,PASS,17.63,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,50,1.7500,1.7500,1.757,0.0070,PASS,0.45,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,100,1.7500,1.7500,1.757,0.0070,PASS,0.89,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,200,1.7500,1.7500,1.757,0.0070,PASS,1.79,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,500,1.7500,1.7500,1.757,0.0070,PASS,4.38,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,1000,1.7500,1.7500,1.757,0.0070,PASS,8.79,built,PASS,
CKT_0035,rescue,5,0.594323,1.1085,2000,1.7500,1.7500,1.757,0.0070,PASS,17.51,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,50,1.5000,1.5000,1.5197,0.0197,PASS,0.54,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,100,1.5000,1.5000,1.5197,0.0197,PASS,1.06,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,200,1.5000,1.5000,1.5197,0.0197,PASS,2.12,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,500,1.5000,1.5000,1.5197,0.0197,PASS,5.35,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,1000,1.5000,1.5000,1.5197,0.0197,PASS,10.65,built,PASS,
CKT_0048,rescue,6,0.870986,1.3411,2000,1.5000,1.5000,1.5197,0.0197,PASS,21.16,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,50,6.7000,6.7000,6.7311,0.0311,PASS,0.99,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,100,6.7000,6.7000,6.7311,0.0311,PASS,1.94,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,200,6.7000,6.7000,6.7311,0.0311,PASS,3.84,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,500,6.7000,6.7000,6.7311,0.0311,PASS,9.67,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,1000,6.7000,6.7000,6.7311,0.0311,PASS,19.52,built,PASS,
CKT_0069,rescue,11,0.905907,1.4050,2000,0.7000,6.7000,6.7311,6.0311,FAIL,39.16,built,FAIL,
CKT_0089,rescue,17,0.987762,1.7302,50,3.4500,3.4500,3.4927,0.0427,PASS,1.50,built,PASS,
CKT_0089,rescue,17,0.987762,1.7302,100,3.4500,3.4500,3.4927,0.0427,PASS,3.07,built,PASS,
CKT_0089,rescue,17,0.987762,1.7302,200,3.4500,3.4500,3.4927,0.0427,PASS,6.00,built,PASS,
CKT_0089,rescue,17,0.987762,1.7302,500,3.4500,3.4500,3.4927,0.0427,PASS,15.14,built,PASS,
CKT_0089,rescue,17,0.987762,1.7302,1000,9.7500,3.4500,3.4927,6.2573,FAIL,30.06,built,FAIL,
CKT_0089,rescue,17,0.987762,1.7302,2000,0.0000,3.4500,3.4927,3.4927,FAIL,60.10,built,FAIL,
CKT_0105,rescue,22,0.787881,1.2378,50,0.0500,0.0500,0.0601,0.0101,PASS,1.96,built,PASS,
CKT_0105,rescue,22,0.787881,1.2378,100,0.0500,0.0500,0.0601,0.0101,PASS,3.86,built,PASS,
CKT_0105,rescue,22,0.787881,1.2378,200,0.0500,0.0500,0.0601,0.0101,PASS,7.74,built,PASS,
CKT_0105,rescue,22,0.787881,1.2378,500,0.0500,0.0500,0.0601,0.0101,PASS,19.42,built,PASS,
CKT_0105,rescue,22,0.787881,1.2378,1000,0.0500,0.0500,0.0601,0.0101,PASS,39.02,built,PASS,
CKT_0105,rescue,22,0.787881,1.2378,2000,0.0500,0.0500,0.0601,0.0101,PASS,77.84,built,PASS,
CKT_0124,rescue,18,0.902033,1.3970,50,7.4000,7.4000,7.4091,0.0091,PASS,1.61,built,PASS,
