circuit_id,complexity,N,max_degree,target_node,rho_J,omega,T_used,n_red,n_black,conflicts,pred_V_dsl,ref_V_rbsor,jacobi_ref_V,truth_V,abs_error,pass_fail,dsl_matches_ref,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0001,Basic,3,2,2,0.000000,1.0000,200,2,1,0,2.9500,2.9500,2.9328,2.9333,0.0167,PASS,Y,1210,1.06,6,36,cached,PASS,
CKT_0002,Basic,3,2,2,0.000000,1.0000,200,2,1,0,8.1500,8.1500,8.1636,8.1633,0.0133,PASS,Y,1210,1.06,6,36,cached,PASS,
CKT_0003,Basic,3,2,2,0.000000,1.0000,200,2,1,0,4.9500,4.9500,4.9285,4.9287,0.0213,PASS,Y,1210,1.05,6,36,cached,PASS,
CKT_0004,Basic,3,2,2,0.000000,1.0000,200,2,1,0,3.9000,3.9000,3.9204,3.9208,0.0208,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0005,Basic,3,3,2,0.000000,1.0000,200,2,1,0,0.5000,0.5000,0.5208,0.5213,0.0213,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0006,Basic,3,3,2,0.000000,1.0000,200,2,1,0,14.7000,14.7000,14.6790,14.6797,0.0203,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0007,Basic,3,3,2,0.000000,1.0000,200,2,1,0,3.0500,3.0500,3.0720,3.0712,0.0212,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0008,Basic,3,3,2,0.000000,1.0000,200,2,1,0,1.5500,1.5500,1.5348,1.5349,0.0151,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0009,Basic,3,4,2,0.000000,1.0000,200,2,1,0,4.8500,4.8500,4.8525,4.8526,0.0026,PASS,Y,1210,1.05,6,36,built,PASS,
CKT_0010,Basic,3,4,2,0.000000,1.0000,200,2,1,0,7.5500,7.5500,7.5345,7.534,0.0160,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0011,Basic,3,4,2,0.000000,1.0000,200,2,1,0,8.0000,8.0000,7.9764,7.9758,0.0242,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0012,Basic,3,4,2,0.000000,1.0000,200,2,1,0,10.4500,10.4500,10.4676,10.4681,0.0181,PASS,Y,1210,1.06,6,36,built,PASS,
CKT_0013,Basic,3,4,2,0.000000,1.0000,200,2,1,0,0.1000,0.1000,0.1090,0.109,0.0090,PASS,Y,1210,1.06,6,36,built,PASS,
CKT_0014,Basic,3,4,2,0.000000,1.0000,200,2,1,0,7.2500,7.2500,7.2645,7.2644,0.0144,PASS,Y,1210,1.04,6,36,built,PASS,
CKT_0015,Basic,4,2,3,0.586302,1.1049,200,2,2,0,2.8500,2.8500,2.8570,2.8571,0.0071,PASS,Y,1612,1.40,6,36,built,PASS,
CKT_0016,Basic,4,2,3,0.930393,1.4635,200,2,2,0,4.8000,4.8000,4.8313,4.8316,0.0316,PASS,Y,1612,1.39,6,36,built,PASS,
CKT_0017,Basic,4,2,3,0.076039,1.0014,200,2,2,0,0.1000,0.1000,0.1050,0.1047,0.0047,PASS,Y,1612,1.38,6,36,built,PASS,
CKT_0018,Basic,4,2,3,0.461370,1.0598,200,2,2,0,8.9000,8.9000,8.9246,8.9241,0.0241,PASS,Y,1612,1.38,6,36,built,PASS,
CKT_0019,Basic,4,3,3,0.971932,1.6191,200,2,2,1,23.9500,23.9500,1.7049,1.7068,22.2432,FAIL,Y,1612,1.39,6,36,built,FAIL,
CKT_0020,Basic,4,3,3,0.347836,1.0322,200,2,2,1,0.3000,0.3000,0.3189,0.3189,0.0189,PASS,Y,1612,1.39,6,36,built,PASS,
CKT_0021,Basic,4,3,3,0.970357,1.6107,200,2,2,1,23.9500,23.9500,1.6413,1.6444,22.3056,FAIL,Y,1612,1.40,6,36,built,FAIL,
CKT_0022,Basic,4,3,3,0.547473,1.0888,200,2,2,1,0.1000,0.1000,0.0971,0.0973,0.0027,PASS,Y,1612,1.41,6,36,built,PASS,
CKT_0023,Intermediate,4,3,3,0.095285,1.0023,200,2,2,1,9.0000,9.0000,8.9949,8.9947,0.0053,PASS,Y,1612,1.41,6,36,built,PASS,
CKT_0024,Intermediate,4,3,3,0.080629,1.0016,200,2,2,1,0.0500,0.0500,0.0576,0.0577,0.0077,PASS,Y,1612,1.40,6,36,built,PASS,
CKT_0025,Intermediate,4,3,3,0.425873,1.0500,200,2,2,1,0.0500,0.0500,0.0480,0.0484,0.0016,PASS,Y,1612,1.39,6,36,built,PASS,
CKT_0026,Intermediate,4,3,3,0.000000,1.0000,200,3,1,0,11.4500,11.4500,11.4618,11.4624,0.0124,PASS,Y,1612,1.39,6,36,built,PASS,
