circuit_id,complexity,N,max_degree,target_node,rho_J,omega_used,T_used,n_red,n_black,conflicts,solver_used,fallback_reason,divergence_pred_50,divergence_pred_100,pred_V_dsl,ref_V,jacobi_ref_V,truth_V,abs_error,pass_fail,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0001,Basic,3,2,2,0.000000,1.0000,500,2,1,0,rbsor,ok,2.9300,2.9300,2.9300,2.9300,2.9328,2.9333,0.0033,PASS,3010,7.20,,,cached,PASS,
CKT_0002,Basic,3,2,2,0.000000,1.0000,500,2,1,0,rbsor,ok,8.1600,8.1600,8.1600,8.1600,8.1636,8.1633,0.0033,PASS,3010,7.15,,,cached,PASS,
CKT_0003,Basic,3,2,2,0.000000,1.0000,500,2,1,0,rbsor,ok,4.9300,4.9300,4.9300,4.9300,4.9285,4.9287,0.0013,PASS,3010,7.16,,,cached,PASS,
CKT_0004,Basic,3,2,2,0.000000,1.0000,500,2,1,0,rbsor,ok,3.9200,3.9200,3.9200,3.9200,3.9204,3.9208,0.0008,PASS,3010,7.15,6,36,built,PASS,
CKT_0005,Basic,3,3,2,0.000000,1.0000,500,2,1,0,rbsor,ok,0.5200,0.5200,0.5200,0.5200,0.5208,0.5213,0.0013,PASS,3010,7.15,6,36,built,PASS,
CKT_0006,Basic,3,3,2,0.000000,1.0000,500,2,1,0,rbsor,ok,14.6800,14.6800,14.6800,14.6800,14.6790,14.6797,0.0003,PASS,3010,7.16,6,36,built,PASS,
CKT_0007,Basic,3,3,2,0.000000,1.0000,500,2,1,0,rbsor,ok,3.0700,3.0700,3.0700,3.0700,3.0720,3.0712,0.0012,PASS,3010,7.16,6,36,built,PASS,
CKT_0008,Basic,3,3,2,0.000000,1.0000,500,2,1,0,rbsor,ok,1.5300,1.5300,1.5300,1.5300,1.5348,1.5349,0.0049,PASS,3010,7.10,6,36,built,PASS,
CKT_0009,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,4.8500,4.8500,4.8500,4.8500,4.8525,4.8526,0.0026,PASS,3010,7.09,6,36,built,PASS,
CKT_0010,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,7.5300,7.5300,7.5300,7.5300,7.5345,7.534,0.0040,PASS,3010,7.08,6,36,built,PASS,
CKT_0011,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,7.9800,7.9800,7.9800,7.9800,7.9764,7.9758,0.0042,PASS,3010,7.10,6,36,built,PASS,
CKT_0012,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,10.4700,10.4700,10.4700,10.4700,10.4676,10.4681,0.0019,PASS,3010,7.07,6,36,built,PASS,
CKT_0013,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,0.1100,0.1100,0.1100,0.1100,0.1090,0.109,0.0010,PASS,3010,7.08,6,36,built,PASS,
CKT_0014,Basic,3,4,2,0.000000,1.0000,500,2,1,0,rbsor,ok,7.2600,7.2600,7.2600,7.2600,7.2645,7.2644,0.0044,PASS,3010,7.05,6,36,built,PASS,
CKT_0015,Basic,4,2,3,0.586302,1.1049,500,2,2,0,rbsor,ok,2.8600,2.8600,2.8600,2.8600,2.8570,2.8571,0.0029,PASS,4012,9.44,6,36,built,PASS,
CKT_0016,Basic,4,2,3,0.930393,1.4635,500,2,2,0,rbsor,ok,4.8300,4.8300,4.8300,4.8300,4.8313,4.8316,0.0016,PASS,4012,9.45,6,36,built,PASS,
CKT_0017,Basic,4,2,3,0.076039,1.0014,500,2,2,0,rbsor,ok,0.1000,0.1000,0.1000,0.1000,0.1050,0.1047,0.0047,PASS,4012,9.47,6,36,built,PASS,
CKT_0018,Basic,4,2,3,0.461370,1.0598,500,2,2,0,rbsor,ok,8.9200,8.9200,8.9200,8.9200,8.9246,8.9241,0.0041,PASS,4012,9.45,6,36,built,PASS,
CKT_0019,Basic,4,3,3,0.971932,1.5000,500,2,2,1,jacobi,conflicts=1,,,1.6400,1.7049,1.7049,1.7068,0.0668,FAIL,4012,9.16,5,36,built,FAIL,
CKT_0020,Basic,4,3,3,0.347836,1.0322,500,2,2,1,jacobi,conflicts=1,,,0.3200,0.3189,0.3189,0.3189,0.0011,PASS,4012,9.12,5,36,built,PASS,
