n,kappa_target,kappa_actual,max_byte_diff_craft_vs_doolittle,max_abs_diff_craft_vs_doolittle,max_abs_diff_craft_vs_scipy_solve,max_abs_diff_craft_vs_numpy_inv,max_abs_diff_doolittle_vs_scipy_solve,craft_build_s,craft_infer_s,status,error
5,1.0,1.0000000000000007,1,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.2660815715789795,0.0762939453125,ok,
5,10.0,10.0,4,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.2669062614440918,0.06241440773010254,ok,
5,100.0,99.99999999999979,3,1.1102230246251565e-16,1.942890293094024e-16,1.942890293094024e-16,2.220446049250313e-16,0.21602487564086914,0.0535581111907959,ok,
5,1000.0,999.999999999983,9,1.3877787807814457e-16,1.2545520178264269e-14,1.2545520178264269e-14,1.2545520178264269e-14,0.2184746265411377,0.05322265625,ok,
10,1.0,1.0000000000000004,2,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,0.7738749980926514,0.2761714458465576,ok,
10,10.0,9.999999999999998,175,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,0.638012170791626,0.25711822509765625,ok,
10,100.0,100.00000000000001,248,1.1102230246251565e-16,6.106226635438361e-16,6.106226635438361e-16,6.661338147750939e-16,0.8176953792572021,0.2348480224609375,ok,
10,1000.0,1000.0000000000084,254,1.6653345369377348e-16,2.7755575615628914e-15,2.7755575615628914e-15,2.609024107869118e-15,0.8751089572906494,0.26657772064208984,ok,
15,1.0,1.0000000000000009,255,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,1.6721904277801514,0.6328613758087158,ok,
15,10.0,10.000000000000005,254,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.8600425720214844,0.7368731498718262,ok,
15,100.0,100.00000000000016,88,1.6653345369377348e-16,7.563394355258879e-16,9.645062526431047e-16,8.257283745649602e-16,1.9191505908966064,0.735785961151123,ok,
15,1000.0,999.9999999999785,255,1.3877787807814457e-16,2.7200464103316335e-15,2.7200464103316335e-15,2.6853519408120974e-15,1.560715675354004,0.6630771160125732,ok,
20,1.0,1.000000000000001,255,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,2.3892605304718018,1.363429069519043,ok,
20,10.0,10.000000000000002,255,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.6653345369377348e-16,2.3438522815704346,1.3636467456817627,ok,
20,100.0,99.99999999999997,251,1.1102230246251565e-16,3.608224830031759e-16,3.608224830031759e-16,3.885780586188048e-16,2.3124301433563232,1.3533821105957031,ok,
20,1000.0,1000.0000000000246,255,1.1102230246251565e-16,4.218847493575595e-15,4.163336342344337e-15,4.218847493575595e-15,2.407747983932495,1.5495238304138184,ok,

