circuit,n_free,method,head_recall,head_precision,head_F1,edge_recall,edge_precision,edge_F1,head_AUROC,faithfulness_max_err,faithfulness_pass,minimality,n_fwd_passes,note
CKT_0001,1,1_oracle,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,0.0,16,pre-computed N5_v2
CKT_0001,1,2_acdc_greedy,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True,0.0,16,same_as_oracle_deterministic
CKT_0001,1,3_attn_argmax,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,True,0.125,5,
CKT_0001,1,4_atp,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,True,0.0,5,thresh=0 (any_nonzero)
CKT_0015,2,1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.15384615384615385,78,pre-computed N5_v2
CKT_0015,2,2_acdc_greedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.15384615384615385,78,same_as_oracle_deterministic
CKT_0015,2,3_attn_argmax,1.0,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571,0.923076923076923,1.0,0.0,True,0.1794871794871795,16,
CKT_0015,2,4_atp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,0.15384615384615385,16,thresh=0 (any_nonzero)
CKT_0067,6,1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.13333333333333333,630,pre-computed N5_v2
CKT_0067,6,2_acdc_greedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.13333333333333333,630,same_as_oracle_deterministic
CKT_0067,6,3_attn_argmax,1.0,0.7368421052631579,0.8484848484848484,1.0,0.7368421052631579,0.8484848484848484,0.9623233908948194,5.684341886080802e-14,True,0.18095238095238095,120,
CKT_0067,6,4_atp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.13333333333333333,120,thresh=0 (any_nonzero)
CKT_0068,8,1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.12056737588652482,1128,pre-computed N5_v2
CKT_0068,8,2_acdc_greedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.12056737588652482,1128,same_as_oracle_deterministic
CKT_0068,8,3_attn_argmax,1.0,0.68,0.8095238095238095,1.0,0.68,0.8095238095238095,0.9658444022770398,5.684341886080802e-14,True,0.1773049645390071,208,
CKT_0068,8,4_atp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.684341886080802e-14,True,0.12056737588652482,208,thresh=0 (any_nonzero)
CKT_0084,17,1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1507411.5927618446,False,0.10891089108910891,5151,pre-computed N5_v2
CKT_0084,17,2_acdc_greedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1507411.5927618446,False,0.10891089108910891,5151,same_as_oracle_deterministic
CKT_0084,17,3_attn_argmax,1.0,0.6346153846153846,0.7764705882352941,1.0,0.6346153846153846,0.7764705882352941,0.972615039281706,2.9103830456733704e-11,True,0.1716171617161716,901,
CKT_0084,17,4_atp,1.0,0.9705882352941176,0.9850746268656716,1.0,0.9705882352941176,0.9850746268656716,0.9976430976430977,2.9103830456733704e-11,True,0.11221122112211221,901,thresh=0 (any_nonzero)
CKT_0086,19,1_oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.367795428261161e-11,True,0.11209439528023599,6441,pre-computed N5_v2
CKT_0086,19,2_acdc_greedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.367795428261161e-11,True,0.11209439528023599,6441,same_as_oracle_deterministic
CKT_0086,19,3_attn_argmax,1.0,0.6551724137931034,0.7916666666666666,1.0,0.6551724137931034,0.7916666666666666,0.9520895261409337,9.367795428261161e-11,True,0.1710914454277286,1121,
CKT_0086,19,4_atp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.367795428261161e-11,True,0.11209439528023599,1121,thresh=0 (any_nonzero)
