circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time,skipped_existing,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0001,3,1000,5,44,26,22,489,98912,796328,,,2.238,True,1000,2.95,2.9333,0.0167,3007,2.238,,PASS
CKT_0002,3,1000,5,44,26,22,489,98912,796328,0.411,0.875,1.852,False,1000,8.15,8.1633,0.0133,3007,1.852,,PASS
CKT_0003,3,1000,5,44,26,22,489,98912,796328,0.415,0.933,1.861,False,1000,4.95,4.9287,0.0213,3007,1.861,,PASS
CKT_0004,3,1000,5,44,26,22,489,98912,796328,0.426,0.9,1.81,False,1000,3.9,3.9208,0.0208,3007,1.81,,PASS
CKT_0005,3,1000,5,44,26,22,489,98912,796328,0.447,0.907,1.882,False,1000,0.5,0.5213,0.0213,3007,1.882,,PASS
CKT_0006,3,1000,5,44,26,22,489,98912,796328,0.422,0.964,1.853,False,1000,14.7,14.6797,0.0203,3007,1.853,,PASS
CKT_0007,3,1000,5,44,26,22,489,98912,796328,0.42,0.883,1.878,False,1000,3.05,3.0712,0.0212,3007,1.878,,PASS
CKT_0008,3,1000,5,44,26,22,489,98912,796328,0.429,0.978,1.88,False,1000,1.55,1.5349,0.0151,3007,1.88,,PASS
CKT_0009,3,1000,5,44,26,22,489,98912,796328,0.428,0.901,1.862,False,1000,4.85,4.8526,0.0026,3007,1.862,,PASS
CKT_0010,3,1000,5,44,26,22,489,98912,796328,0.511,0.984,1.743,False,1000,7.55,7.534,0.016,3007,1.743,,PASS
CKT_0011,3,1000,5,44,26,22,489,98912,796328,0.37,0.902,1.864,False,1000,8.0,7.9758,0.0242,3007,1.864,,PASS
CKT_0012,3,1000,5,44,26,22,489,98912,796328,0.406,0.859,1.842,False,1000,10.45,10.4681,0.0181,3007,1.842,,PASS
CKT_0013,3,1000,5,44,26,22,489,98912,796328,0.465,0.915,1.838,False,1000,0.1,0.109,0.009,3007,1.838,,PASS
CKT_0014,3,1000,5,44,26,22,489,98912,796328,0.413,0.862,1.866,False,1000,7.25,7.2644,0.0144,3007,1.866,,PASS
CKT_0015,4,1000,5,44,26,22,491,99088,797754,0.492,0.962,2.486,False,1000,2.85,2.8571,0.0071,4008,2.486,,PASS
CKT_0016,4,1000,5,44,26,22,491,99088,797754,0.418,0.881,2.677,False,1000,4.85,4.8316,0.0184,4008,2.677,,PASS
CKT_0017,4,1000,5,44,26,22,491,99088,797754,0.486,0.955,2.503,False,1000,0.1,0.1047,0.0047,4008,2.503,,PASS
CKT_0018,4,1000,5,44,26,22,491,99088,797754,0.4,0.806,2.569,False,1000,8.9,8.9241,0.0241,4008,2.569,,PASS
CKT_0019,4,1000,5,44,26,22,491,99088,797754,0.482,0.95,2.562,False,1000,1.7,1.7068,0.0068,4008,2.562,,PASS
CKT_0020,4,1000,5,44,26,22,491,99088,797754,0.405,0.865,2.459,False,1000,0.3,0.3189,0.0189,4008,2.459,,PASS
CKT_0021,4,1000,5,44,26,22,491,99088,797754,0.478,0.943,2.474,False,1000,1.65,1.6444,0.0056,4008,2.474,,PASS
CKT_0022,4,1000,5,44,26,22,491,99088,797754,0.416,0.961,2.419,False,1000,0.1,0.0973,0.0027,4008,2.419,,PASS
CKT_0023,4,1000,5,44,26,22,491,99088,797754,0.403,0.888,2.472,False,1000,9.0,8.9947,0.0053,4008,2.472,,PASS
CKT_0024,4,1000,5,44,26,22,491,99088,797754,0.415,0.939,2.566,False,1000,0.05,0.0577,0.0077,4008,2.566,,PASS
CKT_0025,4,1000,5,44,26,22,491,99088,797754,0.428,0.904,2.599,False,1000,0.05,0.0484,0.0016,4008,2.599,,PASS
CKT_0026,4,1000,5,44,26,22,491,99088,797754,0.413,0.938,2.54,False,1000,11.45,11.4624,0.0124,4008,2.54,,PASS
CKT_0027,4,1000,5,44,26,22,491,99088,797754,0.388,0.845,2.648,False,1000,7.0,7.0,0.0,4008,2.648,,PASS
CKT_0028,4,1000,5,44,26,22,491,99088,797754,0.502,0.978,2.632,False,1000,14.2,14.1795,0.0205,4008,2.632,,PASS
CKT_0029,5,1000,5,44,26,22,493,99264,799180,0.429,0.874,3.29,False,1000,0.15,0.1592,0.0092,5009,3.29,,PASS
CKT_0030,5,1000,5,44,26,22,493,99264,799180,0.511,0.991,3.306,False,1000,5.2,5.1848,0.0152,5009,3.306,,PASS
CKT_0031,5,1000,5,44,26,22,493,99264,799180,0.426,0.978,3.241,False,1000,3.15,3.1534,0.0034,5009,3.241,,PASS
CKT_0032,5,1000,5,44,26,22,493,99264,799180,0.43,0.91,3.212,False,1000,2.55,2.5535,0.0035,5009,3.212,,PASS
CKT_0033,5,1000,5,44,26,22,493,99264,799180,0.434,0.991,3.098,False,1000,18.9,18.8788,0.0212,5009,3.098,,PASS
CKT_0034,5,1000,5,44,26,22,493,99264,799180,0.411,0.87,3.178,False,1000,4.65,4.6738,0.0238,5009,3.178,,PASS
