circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time_s,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0001,3,1000,5,44,26,22,489,98912,796328,0.392,0.871,42.996,2.95,2.9333,0.0167,3007,42.996,,PASS
CKT_0002,3,1000,5,44,26,22,489,98912,796328,0.4,0.823,41.069,8.15,8.1633,0.0133,3007,41.069,,PASS
CKT_0003,3,1000,5,44,26,22,489,98912,796328,0.403,0.819,40.265,4.95,4.9287,0.0213,3007,40.265,,PASS
CKT_0004,3,1000,5,44,26,22,489,98912,796328,0.41,0.831,37.016,3.9,3.9208,0.0208,3007,37.016,,PASS
CKT_0005,3,1000,5,44,26,22,489,98912,796328,0.426,0.89,41.267,0.5,0.5213,0.0213,3007,41.267,,PASS
CKT_0006,3,1000,5,44,26,22,489,98912,796328,0.396,0.862,40.219,14.7,14.6797,0.0203,3007,40.219,,PASS
CKT_0007,3,1000,5,44,26,22,489,98912,796328,0.4,0.848,38.174,3.05,3.0712,0.0212,3007,38.174,,PASS
CKT_0008,3,1000,5,44,26,22,489,98912,796328,0.416,0.842,38.827,1.55,1.5349,0.0151,3007,38.827,,PASS
CKT_0009,3,1000,5,44,26,22,489,98912,796328,0.381,0.8,38.439,4.85,4.8526,0.0026,3007,38.439,,PASS
CKT_0010,3,1000,5,44,26,22,489,98912,796328,0.381,0.798,38.341,7.55,7.534,0.016,3007,38.341,,PASS
CKT_0011,3,1000,5,44,26,22,489,98912,796328,0.397,0.865,37.474,8.0,7.9758,0.0242,3007,37.474,,PASS
CKT_0012,3,1000,5,44,26,22,489,98912,796328,0.406,0.813,36.028,10.45,10.4681,0.0181,3007,36.028,,PASS
CKT_0013,3,1000,5,44,26,22,489,98912,796328,0.427,0.846,38.103,0.1,0.109,0.009,3007,38.103,,PASS
CKT_0014,3,1000,5,44,26,22,489,98912,796328,0.428,0.849,37.782,7.25,7.2644,0.0144,3007,37.782,,PASS
CKT_0015,4,1000,5,44,26,22,491,99088,797754,0.425,0.841,72.552,2.85,2.8571,0.0071,4008,72.552,,PASS
CKT_0016,4,1000,5,44,26,22,491,99088,797754,0.391,0.874,71.406,4.85,4.8316,0.0184,4008,71.406,,PASS
CKT_0017,4,1000,5,44,26,22,491,99088,797754,0.42,0.849,72.99,0.1,0.1047,0.0047,4008,72.99,,PASS
CKT_0018,4,1000,5,44,26,22,491,99088,797754,0.381,0.84,67.138,8.9,8.9241,0.0241,4008,67.138,,PASS
CKT_0019,4,1000,5,44,26,22,491,99088,797754,0.376,0.795,76.2,1.7,1.7068,0.0068,4008,76.2,,PASS
CKT_0020,4,1000,5,44,26,22,491,99088,797754,0.418,0.857,68.93,0.3,0.3189,0.0189,4008,68.93,,PASS
CKT_0021,4,1000,5,44,26,22,491,99088,797754,0.402,0.888,65.401,1.65,1.6444,0.0056,4008,65.401,,PASS
CKT_0022,4,1000,5,44,26,22,491,99088,797754,0.395,0.857,65.524,0.1,0.0973,0.0027,4008,65.524,,PASS
CKT_0023,4,1000,5,44,26,22,491,99088,797754,0.382,0.855,67.337,9.0,8.9947,0.0053,4008,67.337,,PASS
