circuit_id,N,n_free,kappa_actual,max_eta,median_eta,max_omega,right_residual,max_forward_err,median_forward_err,build_s,infer_s,status
CKT_0001,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.012,ok
CKT_0002,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.006,ok
CKT_0003,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.006,ok
CKT_0004,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.006,ok
CKT_0005,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.006,ok
CKT_0006,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.006,ok
CKT_0007,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.006,ok
CKT_0008,3,1,1.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251568e-16,0.0,0.0,0.05,0.006,ok
CKT_0009,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.006,ok
CKT_0010,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.006,ok
CKT_0011,3,1,1.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251568e-16,0.0,0.0,0.051,0.005,ok
CKT_0012,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.006,ok
CKT_0013,3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.005,ok
CKT_0014,3,1,1.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251568e-16,0.0,0.0,0.051,0.006,ok
CKT_0015,4,2,4.001154378950964,3.37893964016352e-17,3.0293941601466044e-17,3.642919299551295e-17,3.445055688533819e-17,0.0,0.0,0.204,0.02,ok
CKT_0016,4,2,27.869082671269688,6.358454679504797e-17,4.7117825829700874e-17,7.326608525501793e-17,7.010389764342198e-17,1.1368683772161603e-12,1.0800249583553523e-12,0.207,0.019,ok
CKT_0017,4,2,27.84572338922963,1.0990379961159145e-16,5.565001045213122e-17,1.1038038639045906e-16,2.2777502588021346e-18,0.0,0.0,0.207,0.019,ok
CKT_0018,4,2,3.616329657556895,1.9362804771897312e-17,1.447565271725859e-17,5.184957442708725e-17,5.197095693483815e-17,0.0,0.0,0.21,0.019,ok
CKT_0019,4,2,70.29105518718747,3.5386037589536716e-17,3.1475397566222425e-17,3.7284426946764504e-17,3.413451048016711e-17,0.0,0.0,0.21,0.019,ok
CKT_0020,4,2,2.9949526632378425,5.3674234943218594e-17,2.829836655024235e-17,9.758971905477375e-17,5.818469521457015e-17,0.0,0.0,0.262,0.019,ok
CKT_0021,4,2,66.49735836827793,8.999324257573192e-17,7.269240875143186e-17,9.402540789628689e-17,6.147062618388781e-17,0.0,0.0,0.208,0.019,ok
CKT_0022,4,2,5.342848169985261,7.697614098771953e-17,5.51866331560578e-17,8.139986263218167e-17,4.303131246147799e-17,0.0,0.0,0.214,0.019,ok
CKT_0023,4,2,15.650132477366881,1.0918818350771233e-16,5.4900052193116017e-17,1.1001430466869786e-16,4.816768363547245e-19,1.4210854715202004e-14,0.0,0.206,0.019,ok
CKT_0024,4,2,8.261447096780644,1.0911835508705065e-16,5.460251719835659e-17,1.1030054183436864e-16,1.535996376575944e-18,0.0,0.0,0.207,0.019,ok
CKT_0025,4,2,3.078332621922427,4.2710933826126513e-17,3.5123182083035216e-17,7.656384277233223e-17,5.693738970030207e-17,1.4210854715202004e-14,7.105427357601002e-15,0.212,0.019,ok
CKT_0026,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.006,ok
CKT_0027,4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.005,ok
CKT_0028,4,1,1.0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251568e-16,0.0,0.0,0.055,0.006,ok
CKT_0029,5,3,33.63420664561869,5.497436273825743e-17,5.497436273825743e-17,1.564346285477382e-16,6.519510608989978e-18,1.8189894035458565e-12,1.7763568394002505e-15,0.272,0.039,ok
CKT_0030,5,3,2.761825565845191,4.2627996007859206e-17,3.503807815015684e-17,7.495049414478755e-17,5.867407141177288e-17,2.842170943040401e-14,0.0,0.286,0.038,ok
CKT_0031,5,3,55.97838297983408,6.288842567006315e-17,5.289440409056832e-17,1.134194775200711e-16,2.1243441760172914e-17,2.2737367544323206e-13,1.1368683772161603e-13,0.256,0.038,ok
CKT_0032,5,3,8.265002770139882,5.223194141773745e-17,3.1853333623159714e-17,7.871693808889413e-17,4.847116677592037e-17,8.526512829121202e-14,1.0658141036401503e-14,0.285,0.038,ok
CKT_0033,5,3,10.660281553595514,7.244580155899908e-17,2.3481807919447016e-17,1.1819636563528792e-16,1.826241708566248e-17,4.547473508864641e-13,2.2737367544323206e-13,0.31,0.038,ok
CKT_0034,5,3,17.89330186799627,3.331576072575141e-17,1.5957438866786867e-17,8.104451127580281e-17,1.8167829909668666e-17,1.1368683772161603e-13,2.842170943040401e-14,0.324,0.039,ok
CKT_0035,5,3,22.029102254371807,6.1622274674962405e-18,2.9029131752849825e-18,5.051583577521195e-17,4.351595767865371e-18,0.0,0.0,0.281,0.038,ok
CKT_0036,5,3,66.51528940366495,5.509733719057754e-17,3.275010615118932e-18,1.0753712027147861e-16,4.021119738294496e-18,1.1368683772161603e-13,8.881784197001252e-16,0.288,0.038,ok
CKT_0037,5,3,19.24177536672846,1.3083003086347496e-17,7.904232960295288e-18,1.0483490675346441e-16,1.940944195832924e-17,4.547473508864641e-13,0.0,0.29,0.038,ok
CKT_0038,5,2,9.024118530434732,2.9878534114640064e-18,2.489429372111489e-18,1.5374235701782707e-16,3.742100500798899e-18,1.4210854715202004e-14,0.0,0.197,0.019,ok
CKT_0039,5,2,207.4541918673233,2.819208627700496e-17,2.2474834573180487e-17,2.8672451423082204e-17,1.616519892115476e-17,0.0,0.0,0.207,0.019,ok
CKT_0040,5,2,14.97797891331623,1.2901532034396606e-18,1.2554657265014581e-18,2.830325676376108e-17,3.18692383625389e-18,0.0,0.0,0.209,0.019,ok
CKT_0041,5,2,6.118758328168338,3.529910949301041e-17,2.3872878843946788e-17,5.915349421071742e-17,3.2001082687770964e-17,2.842170943040401e-14,0.0,0.204,0.019,ok
CKT_0042,6,4,5.5204050117837715,5.4535960517967883e-17,1.7989884443889854e-17,1.158574006346756e-16,3.776441934874529e-17,2.842170943040401e-14,2.220446049250313e-16,0.346,0.081,ok
CKT_0043,6,4,248.66307481574697,6.75177821799741e-17,2.1549749436887074e-17,1.0204646318439236e-16,2.4892170047262305e-17,4.547473508864641e-13,0.0,0.379,0.129,ok
CKT_0044,6,4,16.3767342269142,3.085187445244528e-17,2.358807456258991e-17,9.248316419129371e-17,2.9279291294208304e-17,4.263256414560601e-14,2.842170943040401e-14,0.335,0.066,ok
CKT_0045,6,4,7.994342739957048,2.4688730693505012e-17,1.7270421657172133e-17,9.213117714833079e-17,2.5415234065525214e-17,4.547473508864641e-13,0.0,0.318,0.07,ok
CKT_0046,6,4,38.46241131813786,9.630067373042423e-17,6.662971717928284e-17,1.340833732926518e-16,8.354212565063656e-17,2.8421709430404007e-13,2.1316282072803006e-13,0.339,0.066,ok
CKT_0047,6,4,51.995899642404794,6.198779901478824e-17,3.240121742601726e-17,1.559548473134688e-16,3.4408666057044377e-17,1.7053025658242404e-13,1.1368683772161603e-13,0.338,0.066,ok
CKT_0048,6,4,17.68763231566702,6.939689754560171e-17,3.707877279079167e-17,1.1890607052597245e-16,3.726393075593439e-17,4.547473508864641e-13,1.1368683772161603e-13,0.372,0.127,ok
CKT_0049,6,4,15.879228118419938,5.973274339470412e-17,3.032162645999904e-17,1.0534073334358054e-16,2.0663771463869077e-17,1.1368683772161603e-13,0.0,0.33,0.066,ok
CKT_0050,5,2,2.073340761067938,8.602978973597456e-19,7.162906346907551e-19,4.4012280885576714e-17,1.5343651270845907e-18,1.7763568394002505e-15,0.0,0.207,0.019,ok
CKT_0051,5,2,1.267630668814927,6.805203816035955e-18,5.941173719860701e-18,6.512461953793889e-17,1.2271246421453147e-17,5.684341886080802e-14,0.0,0.207,0.019,ok
CKT_0052,5,2,26.559917356629448,4.624581762008544e-17,3.360894380076315e-17,4.671416266655029e-17,2.3811641581114143e-17,1.1368683772161603e-13,5.684341886080802e-14,0.196,0.019,ok
CKT_0053,5,2,19.404502117821007,4.83493562999326e-17,2.5557288682047224e-17,5.903139310906602e-17,4.85288709747418e-17,0.0,0.0,0.21,0.019,ok
CKT_0054,5,2,3.2713373783710207,5.341296965211741e-17,2.7574733198458655e-17,5.477840601922824e-17,6.072996668470564e-17,5.684341886080802e-14,0.0,0.214,0.019,ok
CKT_0055,12,7,33671.98691872837,7.414402783469818e-18,2.0502621794212773e-21,6.303225961481559e-17,1.323334838230348e-19,2.2737367544323206e-13,0.0,0.529,7.198,ok
