n,kappa_target,kappa_actual,max_eta,median_eta,max_omega,right_residual,max_forward_err,median_forward_err,build_s,infer_s,status
10,1,1.0000000000000004,1.707600797622409e-32,1.0514584584582721e-32,1.3316290589756105e-16,1.3886094756394625e-31,4.930380657631324e-32,0.0,0.804,12.837,ok
10,5,4.999999999999999,5.403614091792666e-17,1.3252861581094883e-17,1.8381743864757838e-16,4.470390903332998e-17,1.1102230246251565e-16,6.938893903907228e-18,0.85,12.302,ok
10,10,10.000000000000007,4.333029841196673e-17,2.2666808499512952e-17,1.3988541672453605e-16,3.593921036496165e-17,1.1102230246251565e-16,1.3877787807814457e-17,0.786,12.033,ok
10,50,49.999999999999964,3.7261877901496774e-17,2.405292240203595e-17,1.5469693129621447e-16,1.6114854255762527e-17,2.220446049250313e-16,2.7755575615628914e-17,0.811,12.029,ok
10,100,99.99999999999979,4.767913317433916e-17,2.77695852943753e-17,1.2344114844288585e-16,2.5208859962938593e-17,6.106226635438361e-16,6.938893903907228e-17,0.766,12.304,ok
10,500,499.999999999999,4.370840520781713e-17,2.9090472957741763e-17,1.5978528988771964e-16,2.6663836535864587e-17,1.887379141862766e-15,4.2674197509029455e-16,0.817,12.225,ok
10,1000,999.9999999999793,3.369483326692128e-17,2.255459946225828e-17,1.2747913110328586e-16,1.735187746480456e-17,7.882583474838611e-15,6.036837696399289e-16,0.808,12.077,ok
10,5000,5000.000000000211,5.081787876841987e-17,1.9600442513404418e-17,1.4541126773219618e-16,2.2773385056397557e-17,3.2751579226442118e-15,4.718447854656915e-16,0.809,12.2,ok
10,10000,10000.000000000708,4.275619469834483e-17,2.2546962237634535e-17,9.518393533006207e-17,2.324794899485974e-17,4.6074255521943996e-14,8.396061623727746e-15,0.776,12.197,ok
20,1,1.0000000000000009,3.8267702587641454e-32,1.660836426234308e-32,3.28008732768924e-16,2.5088601534325465e-31,4.930380657631324e-32,3.851859888774472e-34,3.641,45.408,ok
20,5,5.000000000000004,5.061943246077924e-17,2.0894424366084692e-17,2.482667751482714e-16,6.71461170374645e-17,2.220446049250313e-16,6.938893903907228e-18,3.68,44.438,ok
20,10,9.999999999999991,3.109152359252681e-17,1.62292958839279e-17,2.314835855102444e-16,4.136088006062561e-17,1.6653345369377348e-16,1.3877787807814457e-17,3.561,45.957,ok
20,50,49.99999999999995,3.325722315351995e-17,1.3437135102565733e-17,1.8854784995693953e-16,2.777859196732895e-17,3.3306690738754696e-16,2.7755575615628914e-17,3.554,102.19,ok
20,100,99.99999999999994,4.1213074275561054e-17,1.9649111040654906e-17,1.5523045862924435e-16,3.1127517772385865e-17,3.7470027081099033e-16,3.9898639947466563e-17,3.838,197.457,ok
20,500,500.00000000000097,5.1214291902993754e-17,1.990188181737437e-17,1.6652478778700707e-16,4.5985832217129894e-17,1.947227101783966e-15,2.5153490401663703e-16,4.072,178.086,ok
20,1000,999.9999999999903,3.9103865276668074e-17,1.932407303286881e-17,1.567466565889472e-16,2.4066410293697055e-17,1.3600232051658168e-15,2.42861286636753e-16,4.086,190.952,ok
20,5000,4999.999999999773,4.076544722741889e-17,2.2689490585296974e-17,1.1951851639999156e-16,2.6078770076033458e-17,1.697253448895708e-14,1.9463597400459776e-15,3.824,193.561,ok
20,10000,10000.000000001919,3.689201358366202e-17,2.262797140539417e-17,1.5573318828859633e-16,2.15266482688603e-17,2.3619994848900205e-14,2.5830032557294658e-15,4.389,140.71,ok
50,1,1.0000000000000009,4.933743355024011e-32,2.485214922244283e-32,4.3109383382202036e-16,8.945580139573401e-31,1.232595164407831e-31,6.162975822039155e-33,21.814,217.683,ok
50,5,5.000000000000002,7.194924352119612e-17,3.113676150549e-17,2.549030040672828e-16,6.908830914664677e-17,4.440892098500626e-16,6.938893903907228e-18,24.536,195.448,ok
50,10,9.999999999999966,7.631815383110839e-17,2.183877741138948e-17,2.654855830538052e-16,4.2519207675474176e-17,3.3306690738754696e-16,6.938893903907228e-18,25.29,203.698,ok
50,50,50.00000000000012,4.65649451653039e-17,1.6427267759832412e-17,1.7993069207258712e-16,3.434262528514569e-17,3.3306690738754696e-16,2.42861286636753e-17,23.408,207.999,ok
50,100,99.99999999999952,4.1410022806065385e-17,1.6910549490876376e-17,2.0259819550702613e-16,3.729311303076769e-17,4.440892098500626e-16,4.163336342344337e-17,18.795,192.627,ok
50,500,500.0000000000009,4.2261669890876504e-17,1.4813712579917875e-17,1.9914994726213485e-16,2.1488481515192792e-17,1.4155343563970746e-15,1.5157146371347352e-16,19.626,197.164,ok
50,1000,1000.0000000000034,3.9333387807296615e-17,1.6336247510720064e-17,1.7062513912720665e-16,2.37254441143007e-17,4.163336342344337e-15,3.367531947739977e-16,20.156,212.627,ok
50,5000,5000.000000000152,2.9590289828277955e-17,1.3759640141600142e-17,1.717008409215873e-16,2.0655005585311676e-17,1.1157741397482823e-14,1.0547118733938987e-15,21.787,205.405,ok
50,10000,9999.99999999951,3.9797966632832364e-17,1.5090343951572125e-17,1.9378692453520555e-16,2.1062288360165856e-17,1.9741153156616065e-14,1.826663820203578e-15,22.254,189.743,ok
