circuit_id,setting,N,n_free,pred_v,truth_v,abs_error_v,delta_vs_float64,pass_50mv,pass_75mv,build_status,run_status,run_time_s,error
CKT_0001,float64,,1,2.950000,2.9333,0.016700,0.000000,PASS,PASS,,PASS,0.37,
CKT_0001,int16,,1,0.000000,2.9333,2.933300,2.950000,FAIL,FAIL,,FAIL,0.41,
CKT_0001,int8,,1,0.000000,2.9333,2.933300,2.950000,FAIL,FAIL,,FAIL,0.42,
CKT_0001,int4,,1,0.000000,2.9333,2.933300,2.950000,FAIL,FAIL,,FAIL,0.28,
CKT_0001,prune10,,1,2.950000,2.9333,0.016700,0.000000,PASS,PASS,,PASS,0.25,
CKT_0001,prune50,,1,2.950000,2.9333,0.016700,0.000000,PASS,PASS,,PASS,0.27,
CKT_0001,prune90,,1,2.950000,2.9333,0.016700,0.000000,PASS,PASS,,PASS,0.33,
CKT_0002,float64,,1,8.150000,8.1633,0.013300,0.000000,PASS,PASS,,PASS,0.31,
CKT_0002,int16,,1,0.000000,8.1633,8.163300,8.150000,FAIL,FAIL,,FAIL,0.10,
CKT_0002,int8,,1,0.000000,8.1633,8.163300,8.150000,FAIL,FAIL,,FAIL,0.23,
CKT_0002,int4,,1,0.000000,8.1633,8.163300,8.150000,FAIL,FAIL,,FAIL,0.26,
CKT_0002,prune10,,1,8.150000,8.1633,0.013300,0.000000,PASS,PASS,,PASS,0.19,
CKT_0002,prune50,,1,8.150000,8.1633,0.013300,0.000000,PASS,PASS,,PASS,0.18,
CKT_0002,prune90,,1,8.150000,8.1633,0.013300,0.000000,PASS,PASS,,PASS,0.13,
CKT_0003,float64,,1,4.950000,4.9287,0.021300,0.000000,PASS,PASS,,PASS,0.31,
CKT_0003,int16,,1,0.000000,4.9287,4.928700,4.950000,FAIL,FAIL,,FAIL,0.13,
CKT_0003,int8,,1,0.000000,4.9287,4.928700,4.950000,FAIL,FAIL,,FAIL,0.12,
CKT_0003,int4,,1,0.000000,4.9287,4.928700,4.950000,FAIL,FAIL,,FAIL,0.17,
CKT_0003,prune10,,1,4.950000,4.9287,0.021300,0.000000,PASS,PASS,,PASS,0.08,
CKT_0003,prune50,,1,4.950000,4.9287,0.021300,0.000000,PASS,PASS,,PASS,0.12,
CKT_0003,prune90,,1,4.950000,4.9287,0.021300,0.000000,PASS,PASS,,PASS,0.14,
CKT_0004,float64,,1,3.900000,3.9208,0.020800,0.000000,PASS,PASS,,PASS,0.42,
CKT_0004,int16,,1,0.000000,3.9208,3.920800,3.900000,FAIL,FAIL,,FAIL,0.16,
CKT_0004,int8,,1,0.000000,3.9208,3.920800,3.900000,FAIL,FAIL,,FAIL,0.22,
CKT_0004,int4,,1,0.000000,3.9208,3.920800,3.900000,FAIL,FAIL,,FAIL,0.36,
CKT_0004,prune10,,1,3.900000,3.9208,0.020800,0.000000,PASS,PASS,,PASS,0.16,
CKT_0004,prune50,,1,3.900000,3.9208,0.020800,0.000000,PASS,PASS,,PASS,0.14,
CKT_0004,prune90,,1,3.900000,3.9208,0.020800,0.000000,PASS,PASS,,PASS,0.25,
CKT_0005,float64,,1,0.500000,0.5213,0.021300,0.000000,PASS,PASS,,PASS,0.08,
CKT_0005,int16,,1,0.000000,0.5213,0.521300,0.500000,FAIL,FAIL,,FAIL,0.45,
CKT_0005,int8,,1,0.000000,0.5213,0.521300,0.500000,FAIL,FAIL,,FAIL,0.16,
CKT_0005,int4,,1,0.000000,0.5213,0.521300,0.500000,FAIL,FAIL,,FAIL,0.26,
