n,kappa,max_abs_err,median_abs_err,build_s,infer_s,d_model,n_params,status
10,1,2.465190328815662e-32,0.0,0.525,5.873,118,280840,ok
10,5,2.220446049250313e-16,1.3877787807814457e-17,0.521,0.159,118,280840,ok
10,10,1.3877787807814457e-16,1.3877787807814457e-17,0.538,0.418,118,280840,ok
10,50,2.220446049250313e-16,3.8163916471489756e-17,1.071,0.502,118,280840,ok
10,100,7.216449660063518e-16,8.326672684688674e-17,1.356,0.264,118,280840,ok
10,500,1.4909948276020657e-15,2.3245294578089215e-16,1.448,0.467,118,280840,ok
10,1000,1.8596235662471372e-15,3.885780586188048e-16,1.357,0.272,118,280840,ok
10,5000,5.329070518200751e-15,8.187894806610529e-16,1.147,0.295,118,280840,ok
10,10000,3.061439990403869e-14,7.244205235679146e-15,1.052,0.301,118,280840,ok
20,1,9.860761315262648e-32,0.0,3.751,1.818,238,1137640,ok
20,5,2.220446049250313e-16,1.0408340855860843e-17,3.32,1.609,238,1137640,ok
20,10,1.5265566588595902e-16,1.3877787807814457e-17,3.805,1.656,238,1137640,ok
20,50,2.7755575615628914e-16,2.7755575615628914e-17,2.564,1.704,238,1137640,ok
20,100,3.608224830031759e-16,4.163336342344337e-17,3.021,1.828,238,1137640,ok
20,500,8.049116928532385e-16,1.3877787807814457e-16,3.215,1.774,238,1137640,ok
20,1000,2.4424906541753444e-15,2.636779683484747e-16,4.055,2.095,238,1137640,ok
20,5000,1.1213252548714081e-14,1.4883927423881005e-15,4.373,1.608,238,1137640,ok
20,10000,1.9734214262712158e-14,2.005340338229189e-15,4.431,2.385,238,1137640,ok
50,1,9.860761315262648e-32,3.0814879110195774e-33,49.388,49.363,598,7164040,ok
50,5,3.3306690738754696e-16,6.938893903907228e-18,54.916,38.809,598,7164040,ok
50,10,1.6653345369377348e-16,6.938893903907228e-18,24.818,36.446,598,7164040,ok
50,50,4.440892098500626e-16,2.2985086056692694e-17,32.843,39.398,598,7164040,ok
50,100,5.273559366969494e-16,4.163336342344337e-17,26.678,33.386,598,7164040,ok
50,500,1.1102230246251565e-15,1.349831704744453e-16,26.461,32.671,598,7164040,ok
50,1000,4.496403249731884e-15,2.8536201179818477e-16,22.026,30.878,598,7164040,ok
50,5000,1.0824674490095276e-14,9.783840404509192e-16,21.226,30.791,598,7164040,ok
50,10000,2.7977620220553945e-14,2.01574867908505e-15,21.17,30.701,598,7164040,ok
