circuit_id,N,n_free,kappa
CKT_0001,3,1,1
CKT_0002,3,1,1
CKT_0003,3,1,1
CKT_0004,3,1,1
CKT_0005,3,1,1
CKT_0006,3,1,1
CKT_0007,3,1,1
CKT_0008,3,1,1
CKT_0009,3,1,1
CKT_0010,3,1,1
CKT_0011,3,1,1
CKT_0012,3,1,1
CKT_0013,3,1,1
CKT_0014,3,1,1
CKT_0015,4,2,4.00115
CKT_0016,4,2,27.8691
CKT_0017,4,2,27.8457
CKT_0018,4,2,3.61633
CKT_0019,4,2,70.2911
CKT_0020,4,2,2.99495
CKT_0021,4,2,66.4974
CKT_0022,4,2,5.34285
CKT_0023,4,2,15.6501
CKT_0024,4,2,8.26145
CKT_0025,4,2,3.07833
CKT_0026,4,1,1
CKT_0027,4,1,1
CKT_0028,4,1,1
CKT_0029,5,3,33.6342
CKT_0030,5,3,2.76183
CKT_0031,5,3,55.9784
CKT_0032,5,3,8.265
CKT_0033,5,3,10.6603
CKT_0034,5,3,17.8933
CKT_0035,5,3,22.0291
CKT_0036,5,3,66.5153
CKT_0037,5,3,19.2418
CKT_0038,5,2,9.02412
CKT_0039,5,2,207.454
CKT_0040,5,2,14.978
CKT_0041,5,2,6.11876
CKT_0042,6,4,5.52041
CKT_0043,6,4,248.663
CKT_0044,6,4,16.3767
CKT_0045,6,4,7.99434
CKT_0046,6,4,38.4624
CKT_0047,6,4,51.9959
CKT_0048,6,4,17.6876
CKT_0049,6,4,15.8792
CKT_0050,5,2,2.07334
CKT_0051,5,2,1.26763
CKT_0052,5,2,26.5599
CKT_0053,5,2,19.4045
CKT_0054,5,2,3.27134
CKT_0055,12,7,33672
CKT_0056,12,8,625.526
CKT_0057,12,7,125.195
CKT_0058,12,8,494.912
CKT_0059,12,7,30476.7
CKT_0060,13,8,52212
CKT_0061,13,10,2890.14
CKT_0062,16,11,2518.27
CKT_0063,16,12,11756.1
CKT_0064,17,14,109673
CKT_0065,11,6,79.0215
CKT_0066,13,8,281.036
CKT_0067,11,6,60.3842
CKT_0068,13,8,6217.09
CKT_0069,11,7,304.307
CKT_0070,7,4,329.767
CKT_0071,8,5,3282.47
CKT_0072,7,2,20.0713
CKT_0073,8,5,60.817
CKT_0074,7,3,3087.09
CKT_0075,10,7,16048.3
CKT_0076,10,7,431.842
CKT_0077,10,7,11126.6
CKT_0078,10,5,106.858
CKT_0079,10,5,14.6947
CKT_0080,17,12,8804.27
CKT_0081,17,11,156683
CKT_0082,17,12,137717
CKT_0083,17,12,2393.63
CKT_0084,21,17,15159.5
CKT_0085,21,16,6601.95
CKT_0086,25,19,34827.5
CKT_0087,25,20,57789.7
CKT_0088,26,21,16963.5
CKT_0089,17,11,5688.2
CKT_0090,19,13,6503.34
CKT_0091,17,12,4389.51
CKT_0092,19,13,2737.35
CKT_0093,17,13,90321.3
CKT_0094,10,6,8.86805
CKT_0095,11,5,24.7442
CKT_0096,10,5,192.069
CKT_0097,11,7,384.231
CKT_0098,10,4,11330.5
CKT_0099,14,10,648.088
CKT_0100,14,8,92.5358
CKT_0101,14,9,116.317
CKT_0102,14,8,310.751
CKT_0103,14,8,12431.6
CKT_0104,22,18,3025.49
CKT_0105,22,16,13861.7
CKT_0106,22,17,26070.3
CKT_0107,31,27,1918.27
CKT_0108,31,27,23752.6
CKT_0109,36,30,197648
CKT_0110,36,31,200927
CKT_0111,37,33,832809
CKT_0112,23,19,25865.3
CKT_0113,25,21,42589.9
CKT_0114,23,17,21437.2
CKT_0115,25,21,256510
CKT_0116,23,19,4876.8
CKT_0117,13,7,16.9566
CKT_0118,14,8,24.7273
CKT_0119,13,9,103.324
CKT_0120,14,9,12.2721
CKT_0121,13,8,165
CKT_0122,18,14,198.194
CKT_0123,18,13,377206
CKT_0124,18,12,7431.5
CKT_0125,18,13,6716.91
CKT_0126,18,13,7106.12
CKT_0127,27,21,20231.3
CKT_0128,27,21,109578
CKT_0129,43,37,98969
CKT_0130,43,38,168140
CKT_0131,49,43,280392
CKT_0132,49,44,111335
CKT_0133,50,44,396794
CKT_0134,29,24,51770.3
CKT_0135,31,25,33814.8
CKT_0136,29,24,33220.4
CKT_0137,31,25,22419
CKT_0138,29,23,8073.65
CKT_0139,15,10,3888
CKT_0140,16,10,30369.2
CKT_0141,15,9,305.71
CKT_0142,16,10,73.9506
CKT_0143,15,9,773.57
CKT_0144,22,17,86727.8
CKT_0145,22,16,835.732
CKT_0146,22,17,6158.53
CKT_0147,22,17,17989.3
CKT_0148,22,17,1741.97
CKT_0149,10,6,61.2548
CKT_0150,10,5,31.5661
CKT_0151,14,9,13520.4
CKT_0152,14,8,792.447
CKT_0153,18,13,4842.19
CKT_0154,22,16,15198.2
