n,cache,t1_build_s,t1_infer_s,t2_build_s,t2_infer_s,max_abs_err,median_abs_err,tokens_per_col,t1_d_model,t1_n_layers,t1_d_ffn,t1_n_params,t2_d_model,t2_n_params,status,error,build_s,infer_s,d_model,n_layers,d_ffn,n_params
5,hull,0.956,0.653,11.637,0.000121,2.7755575615628914e-17,0.0,17,58,3,50,68440,48,100608,ok,,0.956,0.653,58,3,50,68440
10,hull,14.143,4.232,6.478,9.1e-05,2.7755575615628914e-17,5.082197683525802e-19,32,118,3,100,280840,48,100608,ok,,14.143,4.232,118,3,100,280840
5,standard,0.455,22.506,6.139,0.000179,2.7755575615628914e-17,0.0,17,58,3,50,68440,48,100608,ok,,0.455,22.506,58,3,50,68440
15,hull,20.833,5.478,12.424,0.000124,8.326672684688674e-17,1.3010426069826053e-18,47,178,3,150,637240,48,100608,ok,,20.833,5.478,178,3,150,637240
20,hull,43.044,5.67,11.556,0.034086,8.326672684688674e-17,8.673617379884035e-19,62,238,3,200,1137640,48,100608,ok,,43.044,5.67,238,3,200,1137640
25,hull,54.564,6.706,10.467,0.00014,2.7755575615628914e-17,1.3010426069826053e-18,77,298,3,250,1782040,48,100608,ok,,54.564,6.706,298,3,250,1782040
10,standard,15.952,113.613,8.062,0.000117,2.7755575615628914e-17,5.082197683525802e-19,32,118,3,100,280840,48,100608,ok,,15.952,113.613,118,3,100,280840
30,hull,69.659,11.21,7.905,0.000175,5.551115123125783e-17,1.734723475976807e-18,92,358,3,300,2570440,48,100608,ok,,69.659,11.21,358,3,300,2570440
15,standard,18.339,328.284,5.319,0.000111,8.326672684688674e-17,1.3010426069826053e-18,47,178,3,150,637240,48,100608,ok,,18.339,328.284,178,3,150,637240
35,hull,126.484,36.555,13.249,0.002537,1.1102230246251565e-16,1.734723475976807e-18,107,418,3,350,3502840,48,100608,ok,,126.484,36.555,418,3,350,3502840
40,hull,133.884,34.139,6.26,0.000123,8.326672684688674e-17,1.734723475976807e-18,122,478,3,400,4579240,48,100608,ok,,133.884,34.139,478,3,400,4579240
20,standard,23.231,624.232,10.642,0.000115,8.326672684688674e-17,8.673617379884035e-19,62,238,3,200,1137640,48,100608,ok,,23.231,624.232,238,3,200,1137640
25,standard,38.436,940.675,4.244,0.000157,2.7755575615628914e-17,1.3010426069826053e-18,77,298,3,250,1782040,48,100608,ok,,38.436,940.675,298,3,250,1782040
45,hull,265.482,73.545,8.244,0.000134,8.326672684688674e-17,1.734723475976807e-18,137,538,3,450,5799640,48,100608,ok,,265.482,73.545,538,3,450,5799640
30,standard,80.082,1370.405,3.762,0.000102,5.551115123125783e-17,1.734723475976807e-18,92,358,3,300,2570440,48,100608,ok,,80.082,1370.405,358,3,300,2570440
50,hull,389.05,140.718,7.962,0.000155,1.1102230246251565e-16,1.734723475976807e-18,152,598,3,500,7164040,48,100608,ok,,389.05,140.718,598,3,500,7164040
55,hull,465.116,59.707,2.407,0.000158,1.1102230246251565e-16,2.168404344971009e-18,167,658,3,550,8672440,48,100608,ok,,465.116,59.707,658,3,550,8672440
35,standard,101.695,2245.642,4.969,9.1e-05,1.1102230246251565e-16,1.734723475976807e-18,107,418,3,350,3502840,48,100608,ok,,101.695,2245.642,418,3,350,3502840
60,hull,279.815,81.991,5.148,0.000159,1.1102230246251565e-16,2.6020852139652106e-18,182,718,3,600,10324840,48,100608,ok,,279.815,81.991,718,3,600,10324840
40,standard,156.724,2968.487,1.8,7.4e-05,8.326672684688674e-17,1.734723475976807e-18,122,478,3,400,4579240,48,100608,ok,,156.724,2968.487,478,3,400,4579240
65,hull,396.94,165.393,4.782,0.000159,8.326672684688674e-17,2.6020852139652106e-18,197,778,3,650,12121240,48,100608,ok,,396.94,165.393,778,3,650,12121240
45,standard,273.84,3955.957,7.625,0.000104,8.326672684688674e-17,1.734723475976807e-18,137,538,3,450,5799640,48,100608,ok,,273.84,3955.957,538,3,450,5799640
70,hull,371.706,216.163,3.292,0.0001,8.326672684688674e-17,2.8189256484623115e-18,212,838,3,700,14061640,48,100608,ok,,371.706,216.163,838,3,700,14061640
50,standard,403.07,4719.446,6.379,0.000126,1.1102230246251565e-16,1.734723475976807e-18,152,598,3,500,7164040,48,100608,ok,,403.07,4719.446,598,3,500,7164040
75,hull,462.311,254.247,6.427,7.8e-05,1.1102230246251565e-16,3.469446951953614e-18,227,898,3,750,16146040,48,100608,ok,,462.311,254.247,898,3,750,16146040
55,standard,486.367,5685.608,8.567,0.000165,1.1102230246251565e-16,2.168404344971009e-18,167,658,3,550,8672440,48,100608,ok,,486.367,5685.608,658,3,550,8672440
80,hull,570.496,319.394,1.979,0.000163,8.326672684688674e-17,3.469446951953614e-18,242,958,3,800,18374440,48,100608,ok,,570.496,319.394,958,3,800,18374440
60,standard,372.371,6561.781,15.429,0.000108,1.1102230246251565e-16,2.6020852139652106e-18,182,718,3,600,10324840,48,100608,ok,,372.371,6561.781,718,3,600,10324840
85,hull,675.121,438.092,3.548,9e-05,8.326672684688674e-17,3.469446951953614e-18,257,1018,3,850,20746840,48,100608,ok,,675.121,438.092,1018,3,850,20746840
65,standard,308.671,8347.861,1.567,0.000159,8.326672684688674e-17,2.6020852139652106e-18,197,778,3,650,12121240,48,100608,ok,,308.671,8347.861,778,3,650,12121240
90,hull,707.803,409.138,4.822,0.000117,8.326672684688674e-17,3.469446951953614e-18,272,1078,3,900,23263240,48,100608,ok,,707.803,409.138,1078,3,900,23263240
70,standard,341.052,9547.482,9.438,9.9e-05,8.326672684688674e-17,2.8189256484623115e-18,212,838,3,700,14061640,48,100608,ok,,341.052,9547.482,838,3,700,14061640
95,hull,756.502,526.97,7.55,9.5e-05,1.1102230246251565e-16,3.469446951953614e-18,287,1138,3,950,25923640,48,100608,ok,,756.502,526.97,1138,3,950,25923640
75,standard,517.514,10790.857,5.247,8e-05,1.1102230246251565e-16,3.469446951953614e-18,227,898,3,750,16146040,48,100608,ok,,517.514,10790.857,898,3,750,16146040
100,hull,834.852,762.566,3.364,0.000179,8.326672684688674e-17,3.469446951953614e-18,302,1198,3,1000,28728040,48,100608,ok,,834.852,762.566,1198,3,1000,28728040
80,standard,596.877,11969.203,1.509,0.00012,8.326672684688674e-17,3.469446951953614e-18,242,958,3,800,18374440,48,100608,ok,,596.877,11969.203,958,3,800,18374440
105,hull,924.405,930.992,6.113,0.000168,1.1102230246251565e-16,3.469446951953614e-18,317,1258,3,1050,31676440,48,100608,ok,,924.405,930.992,1258,3,1050,31676440
85,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
90,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
110,hull,995.839,1061.258,6.119,0.000116,8.326672684688674e-17,3.469446951953614e-18,332,1318,3,1100,34768840,48,100608,ok,,995.839,1061.258,1318,3,1100,34768840
95,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
115,hull,1344.546,1118.755,12.927,0.000114,1.3877787807814457e-16,3.903127820947816e-18,347,1378,3,1150,38005240,48,100608,ok,,1344.546,1118.755,1378,3,1150,38005240
100,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
120,hull,1392.006,1725.542,5.919,9.7e-05,1.1102230246251565e-16,4.336808689942018e-18,362,1438,3,1200,41385640,48,100608,ok,,1392.006,1725.542,1438,3,1200,41385640
105,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
125,hull,1204.921,1611.882,3.036,0.0001,1.1102230246251565e-16,5.204170427930421e-18,377,1498,3,1250,44910040,48,100608,ok,,1204.921,1611.882,1498,3,1250,44910040
110,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
130,hull,1540.522,2393.02,3.684,9.4e-05,1.1102230246251565e-16,5.204170427930421e-18,392,1558,3,1300,48578440,48,100608,ok,,1540.522,2393.02,1558,3,1300,48578440
115,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
135,hull,1099.586,2766.522,3.887,0.000164,1.6653345369377348e-16,5.204170427930421e-18,407,1618,3,1350,52390840,48,100608,ok,,1099.586,2766.522,1618,3,1350,52390840
120,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
140,hull,1354.098,3738.19,8.164,0.000158,1.1102230246251565e-16,5.204170427930421e-18,422,1678,3,1400,56347240,48,100608,ok,,1354.098,3738.19,1678,3,1400,56347240
145,hull,1547.027,3011.363,1.362,9.8e-05,1.1102230246251565e-16,6.938893903907228e-18,437,1738,3,1450,60447640,48,100608,ok,,1547.027,3011.363,1738,3,1450,60447640
125,standard,,,,,,,,,,,,,,timeout,4h timeout exceeded,,,,,,
150,hull,1599.701,3334.139,1.01,0.000177,1.3877787807814457e-16,6.938893903907228e-18,452,1798,3,1500,64692040,48,100608,ok,,1599.701,3334.139,1798,3,1500,64692040
130,standard,1393.789,11794.908,0.832,0.000184,1.1102230246251565e-16,5.204170427930421e-18,392,1558,3,1300,48578440,48,100608,ok,,1393.789,11794.908,1558,3,1300,48578440
155,hull,1173.987,3869.21,0.837,0.00016,1.6653345369377348e-16,6.938893903907228e-18,467,1858,3,1550,69080440,48,100608,ok,,1173.987,3869.21,1858,3,1550,69080440
160,hull,613.074,4057.752,0.765,0.000165,1.1102230246251565e-16,6.938893903907228e-18,482,1918,3,1600,73612840,48,100608,ok,,613.074,4057.752,1918,3,1600,73612840
165,hull,507.025,4473.167,0.753,9.8e-05,1.942890293094024e-16,6.938893903907228e-18,497,1978,3,1650,78289240,48,100608,ok,,507.025,4473.167,1978,3,1650,78289240
170,hull,436.257,4907.703,0.856,0.000153,1.1102230246251565e-16,6.938893903907228e-18,512,2038,3,1700,83109640,48,100608,ok,,436.257,4907.703,2038,3,1700,83109640
175,hull,413.729,5275.182,0.915,0.000226,1.1102230246251565e-16,7.806255641895632e-18,527,2098,3,1750,88074040,48,100608,ok,,413.729,5275.182,2098,3,1750,88074040
180,hull,291.568,5719.947,0.722,0.000103,1.249000902703301e-16,8.239936510889834e-18,542,2158,3,1800,93182440,48,100608,ok,,291.568,5719.947,2158,3,1800,93182440
185,hull,300.124,6125.935,0.783,0.000103,1.1796119636642288e-16,1.0408340855860843e-17,557,2218,3,1850,98434840,48,100608,ok,,300.124,6125.935,2218,3,1850,98434840
190,hull,330.792,6402.523,0.748,9.6e-05,1.1102230246251565e-16,9.540979117872439e-18,572,2278,3,1900,103831240,48,100608,ok,,330.792,6402.523,2278,3,1900,103831240
195,hull,346.311,6395.907,0.694,0.0001,1.6653345369377348e-16,1.1275702593849246e-17,587,2338,3,1950,109371640,48,100608,ok,,346.311,6395.907,2338,3,1950,109371640
200,hull,357.31,6469.31,0.65,9.5e-05,1.3877787807814457e-16,1.1709383462843448e-17,602,2398,3,2000,115056040,48,100608,ok,,357.31,6469.31,2398,3,2000,115056040
