n,build_s,infer_s,max_abs_err,median_abs_err,tokens_per_col,d_model,n_layers,d_ffn,n_params,error
2,0.171,0.064,1.734723475976807e-18,0.0,8,26,3,20,13208,
3,0.173,0.027,8.673617379884035e-19,0.0,11,34,3,30,23800,
4,0.224,0.236,3.469446951953614e-18,4.912791094074942e-20,14,46,3,40,43240,
5,0.278,0.393,5.551115123125783e-17,2.168404344971009e-19,17,58,3,50,68440,
6,0.379,0.837,2.7755575615628914e-17,3.3881317890172014e-20,20,70,3,60,99400,
7,0.387,1.03,2.7755575615628914e-17,4.336808689942018e-19,23,82,3,70,136120,
8,0.45,0.985,2.7755575615628914e-17,2.168404344971009e-19,26,94,3,80,178600,
9,0.524,1.739,2.7755575615628914e-17,4.336808689942018e-19,29,106,3,90,226840,
10,0.559,1.784,5.551115123125783e-17,8.673617379884035e-19,32,118,3,100,280840,
11,0.618,2.388,2.7755575615628914e-17,8.673617379884035e-19,35,130,3,110,340600,
12,1.033,3.182,2.7755575615628914e-17,7.589415207398531e-19,38,142,3,120,406120,
13,1.312,3.652,8.326672684688674e-17,9.75781955236954e-19,41,154,3,130,477400,
14,1.372,4.52,5.551115123125783e-17,8.673617379884035e-19,44,166,3,140,554440,
15,1.491,4.496,2.7755575615628914e-17,8.673617379884035e-19,47,178,3,150,637240,
16,1.789,5.469,5.551115123125783e-17,8.673617379884035e-19,50,190,3,160,725800,
17,2.416,6.471,5.551115123125783e-17,1.4094628242311558e-18,53,202,3,170,820120,
18,2.71,7.248,5.551115123125783e-17,1.3010426069826053e-18,56,214,3,180,920200,
19,2.984,8.558,8.326672684688674e-17,1.3010426069826053e-18,59,226,3,190,1026040,
20,2.906,9.782,8.326672684688674e-17,8.673617379884035e-19,62,238,3,200,1137640,
21,3.181,10.303,5.551115123125783e-17,1.3010426069826053e-18,65,250,3,210,1255000,
22,3.657,11.98,5.551115123125783e-17,1.3010426069826053e-18,68,262,3,220,1378120,
23,3.905,12.796,5.551115123125783e-17,1.3010426069826053e-18,71,274,3,230,1507000,
24,4.203,16.355,5.551115123125783e-17,1.5178830414797062e-18,74,286,3,240,1641640,
25,4.648,17.741,8.326672684688674e-17,1.3010426069826053e-18,77,298,3,250,1782040,
26,5.572,19.58,8.326672684688674e-17,1.734723475976807e-18,80,310,3,260,1928200,
27,5.679,23.159,5.551115123125783e-17,1.734723475976807e-18,83,322,3,270,2080120,
28,6.162,23.89,8.326672684688674e-17,1.734723475976807e-18,86,334,3,280,2237800,
29,7.357,27.146,5.551115123125783e-17,1.734723475976807e-18,89,346,3,290,2401240,
30,7.753,30.232,8.326672684688674e-17,1.734723475976807e-18,92,358,3,300,2570440,
31,7.854,33.552,8.326672684688674e-17,1.734723475976807e-18,95,370,3,310,2745400,
32,8.818,39.368,5.551115123125783e-17,1.734723475976807e-18,98,382,3,320,2926120,
33,10.208,40.648,5.551115123125783e-17,1.734723475976807e-18,101,394,3,330,3112600,
34,9.936,47.779,8.326672684688674e-17,1.734723475976807e-18,104,406,3,340,3304840,
35,11.529,50.773,5.551115123125783e-17,1.734723475976807e-18,107,418,3,350,3502840,
36,10.941,58.696,5.551115123125783e-17,1.734723475976807e-18,110,430,3,360,3706600,
37,12.15,64.104,8.326672684688674e-17,1.734723475976807e-18,113,442,3,370,3916120,
38,13.56,69.435,1.1102230246251565e-16,1.734723475976807e-18,116,454,3,380,4131400,
39,15.596,75.626,8.326672684688674e-17,1.734723475976807e-18,119,466,3,390,4352440,
40,19.503,82.654,8.326672684688674e-17,1.734723475976807e-18,122,478,3,400,4579240,
41,21.76,78.501,8.326672684688674e-17,1.734723475976807e-18,125,490,3,410,4811800,
42,23.79,79.974,8.326672684688674e-17,1.734723475976807e-18,128,502,3,420,5050120,
43,25.691,81.625,1.1102230246251565e-16,1.734723475976807e-18,131,514,3,430,5294200,
44,28.17,88.45,1.1102230246251565e-16,2.168404344971009e-18,134,526,3,440,5544040,
45,32.506,96.131,5.551115123125783e-17,1.734723475976807e-18,137,538,3,450,5799640,
46,32.872,99.866,8.326672684688674e-17,1.734723475976807e-18,140,550,3,460,6061000,
47,38.291,108.693,5.551115123125783e-17,2.6020852139652106e-18,143,562,3,470,6328120,
48,40.388,115.332,8.326672684688674e-17,1.734723475976807e-18,146,574,3,480,6601000,
49,43.68,122.239,8.326672684688674e-17,2.0599841277224584e-18,149,586,3,490,6879640,
50,48.732,129.88,8.326672684688674e-17,2.168404344971009e-18,152,598,3,500,7164040,
51,51.524,138.099,5.551115123125783e-17,1.734723475976807e-18,155,610,3,510,7454200,
