circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,build_status,error
CKT_0001,Basic,,,,2,2.9500,2.9333,0.0167,PASS,,,,0.02,10,cached,
CKT_0002,Basic,,,,2,8.1500,8.1633,0.0133,PASS,,,,0.01,10,cached,
CKT_0003,Basic,,,,2,4.9500,4.9287,0.0213,PASS,,,,0.01,10,cached,
CKT_0004,Basic,,,,2,3.9000,3.9208,0.0208,PASS,,,,0.02,10,cached,
CKT_0005,Basic,,,,2,0.5000,0.5213,0.0213,PASS,,,,0.01,10,cached,
CKT_0006,Basic,,,,2,14.7000,14.6797,0.0203,PASS,,,,0.01,10,cached,
CKT_0007,Basic,,,,2,3.0500,3.0712,0.0212,PASS,,,,0.01,10,cached,
CKT_0008,Basic,,,,2,1.5500,1.5349,0.0151,PASS,,,,0.01,10,cached,
CKT_0009,Basic,,,,2,4.8500,4.8526,0.0026,PASS,,,,0.01,10,cached,
CKT_0010,Basic,,,,2,7.5500,7.534,0.0160,PASS,,,,0.01,10,cached,
CKT_0011,Basic,,,,2,8.0000,7.9758,0.0242,PASS,,,,0.02,10,cached,
CKT_0012,Basic,,,,2,10.4500,10.4681,0.0181,PASS,,,,0.01,10,cached,
CKT_0013,Basic,,,,2,0.1000,0.109,0.0090,PASS,,,,0.01,10,cached,
CKT_0014,Basic,,,,2,7.2500,7.2644,0.0144,PASS,,,,0.01,10,cached,
CKT_0015,Basic,,,,3,2.8500,2.8571,0.0071,PASS,,,,0.01,12,cached,
CKT_0016,Basic,,,,3,4.8500,4.8316,0.0184,PASS,,,,0.01,12,cached,
CKT_0017,Basic,,,,3,0.1000,0.1047,0.0047,PASS,,,,0.01,12,cached,
CKT_0018,Basic,,,,3,8.9000,8.9241,0.0241,PASS,,,,0.01,12,cached,
CKT_0019,Basic,,,,3,1.7000,1.7068,0.0068,PASS,,,,0.02,12,cached,
CKT_0020,Basic,,,,3,0.3000,0.3189,0.0189,PASS,,,,0.01,12,cached,
CKT_0021,Basic,,,,3,1.6500,1.6444,0.0056,PASS,,,,0.02,12,cached,
CKT_0022,Basic,,,,3,0.1000,0.0973,0.0027,PASS,,,,0.01,12,cached,
CKT_0023,Intermediate,,,,3,9.0000,8.9947,0.0053,PASS,,,,0.01,12,cached,
CKT_0024,Intermediate,,,,3,0.0500,0.0577,0.0077,PASS,,,,0.01,12,cached,
CKT_0025,Intermediate,,,,3,0.0500,0.0484,0.0016,PASS,,,,0.01,12,cached,
CKT_0026,Intermediate,,,,3,11.4500,11.4624,0.0124,PASS,,,,0.01,12,cached,
CKT_0027,Intermediate,,,,3,7.0000,7.0,0.0000,PASS,,,,0.01,12,cached,
CKT_0028,Intermediate,,,,3,14.2000,14.1795,0.0205,PASS,,,,0.01,12,cached,
CKT_0029,Intermediate,,,,4,0.1500,0.1592,0.0092,PASS,,,,0.02,14,cached,
CKT_0030,Intermediate,,,,4,5.2000,5.1848,0.0152,PASS,,,,0.02,14,cached,
CKT_0031,Intermediate,,,,4,3.1500,3.1534,0.0034,PASS,,,,0.02,14,cached,
CKT_0032,Intermediate,,,,4,2.5500,2.5535,0.0035,PASS,,,,0.02,14,cached,
CKT_0033,Intermediate,,,,4,18.8500,18.8788,0.0288,PASS,,,,0.02,14,cached,
CKT_0034,Intermediate,,,,4,4.6500,4.6738,0.0238,PASS,,,,0.02,14,cached,
CKT_0035,Intermediate,,,,4,1.7500,1.757,0.0070,PASS,,,,0.02,14,cached,
CKT_0036,Intermediate,,,,4,0.0000,0.0082,0.0082,PASS,,,,0.02,14,cached,
CKT_0037,Intermediate,,,,4,2.6500,2.6664,0.0164,PASS,,,,0.02,14,cached,
CKT_0038,Intermediate,,,,3,2.8000,2.7845,0.0155,PASS,,,,0.02,14,cached,
CKT_0039,Intermediate,,,,3,18.1500,18.2062,0.0562,FAIL,,,,0.02,14,cached,
CKT_0040,Intermediate,,,,3,3.2500,3.2548,0.0048,PASS,,,,0.02,14,cached,
CKT_0041,Intermediate,,,,3,4.6500,4.6532,0.0032,PASS,,,,0.02,14,cached,
CKT_0042,Intermediate,,,,4,0.0500,0.0603,0.0103,PASS,,,,0.02,16,cached,
CKT_0043,Intermediate,,,,4,7.7000,7.6841,0.0159,PASS,,,,0.02,16,cached,
CKT_0044,Intermediate,,,,4,0.1000,0.0798,0.0202,PASS,,,,0.02,16,cached,
CKT_0045,Intermediate,,,,4,3.0000,3.0,0.0000,PASS,,,,0.02,16,cached,
CKT_0046,Intermediate,,,,5,0.0500,0.0352,0.0148,PASS,,,,0.02,16,cached,
CKT_0047,Intermediate,,,,5,3.2500,3.2289,0.0211,PASS,,,,0.02,16,cached,
CKT_0048,Intermediate,,,,5,1.5000,1.5197,0.0197,PASS,,,,0.02,16,cached,
CKT_0049,Intermediate,,,,5,0.9500,0.9619,0.0119,PASS,,,,0.02,16,cached,
CKT_0050,Intermediate,,,,3,1.8000,1.782,0.0180,PASS,,,,0.02,14,cached,
CKT_0051,Intermediate,,,,3,2.0000,2.0162,0.0162,PASS,,,,0.02,14,cached,
CKT_0052,Intermediate,,,,3,1.4000,1.4137,0.0137,PASS,,,,0.02,14,cached,
CKT_0053,Intermediate,,,,3,1.3000,1.2977,0.0023,PASS,,,,0.02,14,cached,
CKT_0054,Intermediate,,,,3,2.2000,2.1968,0.0032,PASS,,,,0.02,14,cached,
CKT_0055,Hard,,,,4,0.2000,0.2155,0.0155,PASS,,,,0.03,28,cached,
CKT_0056,Hard,,,,4,12.0000,12.0,0.0000,PASS,,,,0.03,28,cached,
CKT_0057,Hard,,,,4,7.5500,7.567,0.0170,PASS,,,,0.03,28,cached,
CKT_0058,Hard,,,,4,3.3000,3.3,0.0000,PASS,,,,0.03,28,cached,
CKT_0059,Hard,,,,4,0.0500,0.066,0.0160,PASS,,,,0.03,28,cached,
CKT_0060,Hard,,,,12,17.1000,17.1311,0.0311,PASS,,,,0.03,30,cached,
CKT_0061,Hard,,,,12,11.4000,11.4013,0.0013,PASS,,,,0.03,30,cached,
CKT_0062,Hard,,,,15,5.0000,5.0088,0.0088,PASS,,,,0.04,36,cached,
CKT_0063,Hard,,,,15,0.2500,0.2298,0.0202,PASS,,,,0.04,36,cached,
CKT_0064,Hard,,,,16,9.0000,8.9905,0.0095,PASS,,,,0.05,38,cached,
CKT_0065,Hard,,,,6,10.2000,10.1916,0.0084,PASS,,,,0.02,26,cached,
CKT_0066,Hard,,,,6,12.4000,12.4153,0.0153,PASS,,,,0.03,30,cached,
CKT_0067,Hard,,,,6,21.2000,21.2617,0.0617,FAIL,,,,0.02,26,cached,
CKT_0068,Hard,,,,6,23.9500,24.0,0.0500,FAIL,,,,0.03,30,cached,
CKT_0069,Hard,,,,6,6.7000,6.7311,0.0311,PASS,,,,0.03,26,cached,
CKT_0070,Hard,,,,4,0.0000,0.0221,0.0221,PASS,,,,0.02,18,cached,
CKT_0071,Hard,,,,5,9.0000,9.0,0.0000,PASS,,,,0.02,20,cached,
CKT_0072,Hard,,,,4,1.8000,1.8,0.0000,PASS,,,,0.02,18,cached,
CKT_0073,Hard,,,,5,1.8000,1.8238,0.0238,PASS,,,,0.02,20,cached,
CKT_0074,Hard,,,,4,3.3000,3.3,0.0000,PASS,,,,0.02,18,cached,
CKT_0075,Hard,,,,5,7.1000,7.1181,0.0181,PASS,,,,0.02,24,cached,
CKT_0076,Hard,,,,5,0.9000,0.906,0.0060,PASS,,,,0.02,24,cached,
CKT_0077,Hard,,,,5,9.0000,9.0,0.0000,PASS,,,,0.02,24,cached,
CKT_0078,Hard,,,,5,7.1000,7.084,0.0160,PASS,,,,0.02,24,cached,
CKT_0079,Hard,,,,5,3.3000,3.3,0.0000,PASS,,,,0.02,24,cached,
CKT_0080,Hard,,,,6,4.9500,4.9311,0.0189,PASS,,,,0.04,38,cached,
CKT_0081,Hard,,,,6,4.7000,4.7176,0.0176,PASS,,,,0.04,38,cached,
CKT_0082,Hard,,,,6,2.4000,2.3987,0.0013,PASS,,,,0.04,38,cached,
CKT_0083,Hard,,,,6,15.0000,14.9996,0.0004,PASS,,,,0.04,38,cached,
CKT_0084,Hard,,,,20,14.2500,14.2707,0.0207,PASS,,,,0.05,46,cached,
CKT_0085,Hard,,,,20,2.7500,2.7688,0.0188,PASS,,,,0.04,46,cached,
CKT_0086,Hard,,,,24,4.6500,4.6575,0.0075,PASS,,,,0.05,54,cached,
CKT_0087,Hard,,,,24,20.0500,20.0725,0.0225,PASS,,,,0.05,54,cached,
CKT_0088,Hard,,,,25,4.9500,4.9738,0.0238,PASS,,,,0.05,56,cached,
CKT_0089,Hard,,,,8,3.5000,3.4927,0.0073,PASS,,,,0.03,38,cached,
CKT_0090,Hard,,,,10,4.9500,4.9572,0.0072,PASS,,,,0.04,42,cached,
CKT_0091,Hard,,,,8,13.4000,13.3976,0.0024,PASS,,,,0.04,38,cached,
CKT_0092,Hard,,,,10,15.0500,15.0485,0.0015,PASS,,,,0.04,42,cached,
CKT_0093,Hard,,,,8,10.8500,10.8352,0.0148,PASS,,,,0.03,38,cached,
CKT_0094,Hard,,,,6,4.1500,4.1475,0.0025,PASS,,,,0.02,24,cached,
CKT_0095,Hard,,,,6,1.8000,1.8,0.0000,PASS,,,,0.02,26,cached,
CKT_0096,Hard,,,,6,11.3000,11.3191,0.0191,PASS,,,,0.03,24,cached,
CKT_0097,Hard,,,,6,4.3000,4.2758,0.0242,PASS,,,,0.02,26,cached,
CKT_0098,Hard,,,,6,9.2000,9.202,0.0020,PASS,,,,0.02,24,cached,
CKT_0099,Hard,,,,7,1.8500,1.8308,0.0192,PASS,,,,0.03,32,cached,
CKT_0100,Hard,,,,7,5.0000,5.0,0.0000,PASS,,,,0.03,32,cached,
CKT_0101,Hard,,,,7,2.6500,2.6478,0.0022,PASS,,,,0.03,32,cached,
CKT_0102,Hard,,,,7,10.8500,10.8656,0.0156,PASS,,,,0.03,32,cached,
CKT_0103,Hard,,,,7,8.6500,8.6457,0.0043,PASS,,,,0.04,32,cached,
CKT_0104,Hard,,,,7,15.0000,15.0,0.0000,PASS,,,,0.04,48,cached,
CKT_0105,Hard,,,,7,0.0500,0.0601,0.0101,PASS,,,,0.04,48,cached,
CKT_0106,Hard,,,,7,11.8000,11.7927,0.0073,PASS,,,,0.05,48,cached,
CKT_0107,Hard,,,,30,2.2500,2.2513,0.0013,PASS,,,,0.06,66,cached,
CKT_0108,Hard,,,,30,3.8500,3.8495,0.0005,PASS,,,,0.07,66,cached,
CKT_0109,Hard,,,,35,4.1500,4.1397,0.0103,PASS,,,,0.06,76,cached,
CKT_0110,Hard,,,,35,5.3000,5.2916,0.0084,PASS,,,,0.08,76,cached,
CKT_0111,Hard,,,,36,5.7000,5.7196,0.0196,PASS,,,,0.08,78,cached,
CKT_0112,Hard,,,,12,12.0000,11.9984,0.0016,PASS,,,,0.05,50,cached,
CKT_0113,Hard,,,,12,9.0000,8.995,0.0050,PASS,,,,0.05,54,cached,
CKT_0114,Hard,,,,12,5.0000,4.9991,0.0009,PASS,,,,0.04,50,cached,
CKT_0115,Hard,,,,12,23.6000,23.6344,0.0344,PASS,,,,0.06,54,cached,
CKT_0116,Hard,,,,12,8.8500,8.8276,0.0224,PASS,,,,0.04,50,cached,
CKT_0117,Hard,,,,7,0.0500,0.0487,0.0013,PASS,,,,0.03,30,cached,
CKT_0118,Hard,,,,8,3.3000,3.3037,0.0037,PASS,,,,0.03,32,cached,
CKT_0119,Hard,,,,7,0.0000,0.0237,0.0237,PASS,,,,0.03,30,cached,
CKT_0120,Hard,,,,8,3.4500,3.4379,0.0121,PASS,,,,0.03,32,cached,
CKT_0121,Hard,,,,7,1.2000,1.188,0.0120,PASS,,,,0.02,30,cached,
CKT_0122,Hard,,,,9,6.1000,6.1243,0.0243,PASS,,,,0.04,40,cached,
