case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
bcspwr02,3,4,11.0238,0.918652,11.0000,11.023821,0.0238,0.22,0.0238,PASS,50,46,4,242,built,51.79,PASS,1.66,4,470,
bcspwr02,4,5,10.8414,0.903446,10.8500,10.841350,0.0086,0.08,0.0086,PASS,50,46,4,242,built,47.29,PASS,1.39,4,470,
bcspwr02,5,6,10.8167,0.901394,10.8000,10.816725,0.0167,0.15,0.0167,PASS,50,46,4,242,built,42.01,PASS,1.41,4,470,
bcspwr02,9,10,10.4846,0.873719,10.5000,10.484631,0.0154,0.15,0.0154,PASS,50,46,4,242,built,45.66,PASS,1.37,4,470,
bcspwr02,10,11,10.3812,0.865099,10.4000,10.381193,0.0188,0.18,0.0188,PASS,50,46,4,242,built,64.23,PASS,1.36,4,470,
bcspwr02,11,12,10.2518,0.854319,10.2500,10.251825,0.0018,0.02,0.0018,PASS,50,46,4,242,built,84.25,PASS,1.66,4,470,
bcspwr02,14,15,10.2071,0.850594,10.2000,10.207123,0.0071,0.07,0.0071,PASS,50,46,4,242,built,86.12,PASS,1.40,4,470,
bcspwr02,16,17,9.9869,0.832241,10.0000,9.986895,0.0131,0.13,0.0131,PASS,50,46,4,242,built,96.75,PASS,1.61,4,470,
bcspwr02,17,18,10.1195,0.843292,10.1000,10.119507,0.0195,0.19,0.0195,PASS,50,46,4,242,built,103.58,PASS,25.85,4,470,
bcspwr02,18,19,10.1067,0.842225,10.1000,10.106695,0.0067,0.07,0.0067,PASS,50,46,4,242,built,289.69,PASS,7.08,4,470,
bcspwr02,19,20,10.0570,0.838081,10.0500,10.056974,0.0070,0.07,0.0070,PASS,50,46,4,242,built,167.61,PASS,1.94,4,470,
bcspwr02,20,21,9.9664,0.830537,9.9500,9.966441,0.0164,0.16,0.0164,PASS,50,46,4,242,built,198.46,PASS,20.39,4,470,
bcspwr02,21,22,9.8366,0.819717,9.8500,9.836602,0.0134,0.14,0.0134,PASS,50,46,4,242,built,328.13,PASS,24.85,4,484,
bcspwr02,23,24,9.9057,0.825479,9.9000,9.905744,0.0057,0.06,0.0057,PASS,50,46,4,242,built,188.75,PASS,13.76,4,470,
bcspwr02,26,27,9.8803,0.823358,9.9000,9.880291,0.0197,0.20,0.0197,PASS,50,46,4,242,built,188.05,PASS,23.73,4,470,
bcspwr02,27,28,9.7651,0.813756,9.7500,9.765067,0.0151,0.15,0.0151,PASS,50,46,4,242,built,200.94,PASS,1.39,4,470,
bcspwr02,28,29,9.5900,0.799163,9.6000,9.589956,0.0100,0.10,0.0100,PASS,50,46,4,242,built,310.18,PASS,26.74,4,582,
bcspwr02,30,31,9.5945,0.799545,9.6000,9.594543,0.0055,0.06,0.0055,PASS,50,46,4,242,built,236.80,PASS,1.98,4,470,
bcspwr02,31,32,9.7303,0.810861,9.7500,9.730337,0.0197,0.20,0.0197,PASS,50,46,4,242,built,222.10,PASS,7.26,4,470,
bcspwr02,32,33,9.8157,0.817976,9.8000,9.815715,0.0157,0.16,0.0157,PASS,50,46,4,242,built,141.59,PASS,21.65,4,470,
bcspwr02,33,34,9.8130,0.817754,9.8000,9.813049,0.0130,0.13,0.0130,PASS,50,46,4,242,built,270.86,PASS,22.45,4,484,
bcspwr02,34,35,9.7491,0.812426,9.7500,9.749116,0.0009,0.01,0.0009,PASS,50,46,4,242,built,327.01,PASS,27.41,4,484,
bcspwr02,35,36,9.6236,0.801965,9.6000,9.623578,0.0236,0.25,0.0236,PASS,50,46,4,242,built,251.43,PASS,24.09,4,482,
bcspwr02,38,39,8.8988,0.741567,8.9000,8.898809,0.0012,0.01,0.0012,PASS,50,46,4,242,built,305.17,PASS,25.12,4,582,
bcspwr02,40,41,9.6053,0.800446,9.6000,9.605348,0.0053,0.06,0.0053,PASS,50,46,4,242,built,319.85,PASS,24.36,4,482,
bcspwr02,41,42,9.7195,0.809956,9.7000,9.719473,0.0195,0.20,0.0195,PASS,50,46,4,242,built,241.34,PASS,23.69,4,470,
bcspwr02,42,43,9.7374,0.811446,9.7500,9.737356,0.0126,0.13,0.0126,PASS,50,46,4,242,built,243.81,PASS,2.22,4,582,
bcspwr02,43,44,9.6795,0.806629,9.7000,9.679546,0.0205,0.21,0.0205,PASS,50,46,4,242,built,310.37,PASS,22.68,4,484,
bcspwr02,45,46,9.3534,0.779448,9.3500,9.353372,0.0034,0.04,0.0034,PASS,50,46,4,242,built,307.98,PASS,23.15,4,486,
bcspwr02,47,48,8.7416,0.728470,8.7500,8.741645,0.0084,0.10,0.0084,PASS,50,46,4,242,built,247.39,PASS,11.73,4,582,
