case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
bcspwr02,3,4,11.0238,0.918652,0.0000,11.023821,11.0238,100.00,11.0238,FAIL,50,46,4,242,built,301.46,FAIL,1.71,4,582,
bcspwr02,4,5,10.8414,0.903446,23.9500,10.841350,13.1086,120.91,13.1086,FAIL,50,46,4,242,built,212.98,FAIL,1.22,4,470,
bcspwr02,5,6,10.8167,0.901394,0.0000,10.816725,10.8167,100.00,10.8167,FAIL,50,46,4,242,built,310.70,FAIL,1.30,4,484,
bcspwr02,9,10,10.4846,0.873719,0.0000,10.484631,10.4846,100.00,10.4846,FAIL,50,46,4,242,built,346.09,FAIL,1.15,4,488,
bcspwr02,10,11,10.3812,0.865099,0.0000,10.381193,10.3812,100.00,10.3812,FAIL,50,46,4,242,built,191.75,FAIL,1.12,4,470,
bcspwr02,14,15,10.2071,0.850594,0.0000,10.207123,10.2071,100.00,10.2071,FAIL,50,46,4,242,built,500.56,FAIL,1.59,4,582,
bcspwr02,17,18,10.1195,0.843292,0.0000,10.119507,10.1195,100.00,10.1195,FAIL,50,46,4,242,built,254.99,FAIL,1.05,4,470,
bcspwr02,18,19,10.1067,0.842225,0.0000,10.106695,10.1067,100.00,10.1067,FAIL,50,46,4,242,built,487.11,FAIL,1.77,4,582,
bcspwr02,19,20,10.0570,0.838081,0.8000,10.056974,9.2570,92.05,9.2570,FAIL,50,46,4,242,built,281.62,FAIL,1.17,4,470,
bcspwr02,20,21,9.9664,0.830537,0.0000,9.966441,9.9664,100.00,9.9664,FAIL,50,46,4,242,built,498.13,FAIL,1.83,4,582,
bcspwr02,23,24,9.9057,0.825479,18.3000,9.905744,8.3943,84.74,8.3943,FAIL,50,46,4,242,built,353.60,FAIL,1.26,4,470,
bcspwr02,26,27,9.8803,0.823358,0.0000,9.880291,9.8803,100.00,9.8803,FAIL,50,46,4,242,built,410.33,FAIL,1.86,4,582,
bcspwr02,27,28,9.7651,0.813756,0.0000,9.765067,9.7651,100.00,9.7651,FAIL,50,46,4,242,built,468.83,FAIL,1.85,4,582,
bcspwr02,28,29,9.5900,0.799163,0.0000,9.589956,9.5900,100.00,9.5900,FAIL,50,46,4,242,built,254.64,FAIL,1.30,4,470,
bcspwr02,30,31,9.5945,0.799545,0.0000,9.594543,9.5945,100.00,9.5945,FAIL,50,46,4,242,built,479.35,FAIL,1.83,4,582,
bcspwr02,32,33,9.8157,0.817976,0.0000,9.815715,9.8157,100.00,9.8157,FAIL,50,46,4,242,built,393.33,FAIL,1.42,4,482,
bcspwr02,33,34,9.8130,0.817754,0.0000,9.813049,9.8130,100.00,9.8130,FAIL,50,46,4,242,built,413.85,FAIL,1.73,4,582,
bcspwr02,34,35,9.7491,0.812426,0.0000,9.749116,9.7491,100.00,9.7491,FAIL,50,46,4,242,built,489.52,FAIL,1.90,4,582,
bcspwr02,35,36,9.6236,0.801965,0.0000,9.623578,9.6236,100.00,9.6236,FAIL,50,46,4,242,built,432.14,FAIL,1.83,4,582,
bcspwr02,38,39,8.8988,0.741567,0.0000,8.898809,8.8988,100.00,8.8988,FAIL,50,46,4,242,built,546.06,FAIL,1.71,4,582,
bcspwr02,40,41,9.6053,0.800446,0.0000,9.605348,9.6053,100.00,9.6053,FAIL,50,46,4,242,built,362.22,FAIL,1.35,4,470,
bcspwr02,41,42,9.7195,0.809956,0.0000,9.719473,9.7195,100.00,9.7195,FAIL,50,46,4,242,built,492.46,FAIL,1.73,4,582,
bcspwr02,42,43,9.7374,0.811446,0.0000,9.737356,9.7374,100.00,9.7374,FAIL,50,46,4,242,built,456.73,FAIL,1.89,4,582,
bcspwr02,43,44,9.6795,0.806629,0.0000,9.679546,9.6795,100.00,9.6795,FAIL,50,46,4,242,built,504.94,FAIL,1.70,4,582,
bcspwr02,47,48,8.7416,0.728470,0.0000,8.741645,8.7416,100.00,8.7416,FAIL,50,46,4,242,built,459.94,FAIL,1.85,4,582,
