case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
dolphins,3,4,9.9621,0.830172,9.9500,9.962067,0.0121,0.12,0.0121,PASS,63,59,4,307,built,337.48,PASS,46.00,4,594,
dolphins,7,8,8.8785,0.739879,8.9000,8.878547,0.0215,0.24,0.0215,PASS,63,59,4,307,built,402.38,PASS,43.41,4,594,
dolphins,9,10,9.4002,0.783349,9.4000,9.400188,0.0002,0.00,0.0002,PASS,63,59,4,307,built,425.39,PASS,16.18,4,594,
dolphins,10,11,11.6369,0.969742,11.6500,11.636901,0.0131,0.11,0.0131,PASS,63,59,4,307,built,208.22,PASS,5.46,4,594,
dolphins,14,15,11.5094,0.959114,11.5000,11.509366,0.0094,0.08,0.0094,PASS,63,59,4,307,built,225.19,PASS,4.46,4,594,
dolphins,17,18,9.3466,0.778881,9.3500,9.346567,0.0034,0.04,0.0034,PASS,63,59,4,307,built,148.09,PASS,2.72,4,594,
dolphins,19,20,9.2921,0.774341,9.3000,9.292089,0.0079,0.09,0.0079,PASS,63,59,4,307,built,194.55,PASS,5.34,4,594,
dolphins,20,21,9.7820,0.815164,9.8000,9.781965,0.0180,0.18,0.0180,PASS,63,59,4,307,built,210.90,PASS,5.27,4,594,
dolphins,23,24,8.2981,0.691507,8.3000,8.298078,0.0019,0.02,0.0019,PASS,63,59,4,307,built,205.15,PASS,5.08,4,594,
dolphins,25,26,10.5660,0.880498,10.5500,10.565970,0.0160,0.15,0.0160,PASS,63,59,4,307,built,203.50,PASS,5.26,4,594,
dolphins,26,27,9.2921,0.774341,9.3000,9.292089,0.0079,0.09,0.0079,PASS,63,59,4,307,built,183.38,PASS,3.21,4,594,
dolphins,27,28,9.2921,0.774341,9.3000,9.292089,0.0079,0.09,0.0079,PASS,63,59,4,307,built,92.41,PASS,2.59,4,594,
dolphins,32,33,9.2901,0.774173,9.3000,9.290071,0.0099,0.11,0.0099,PASS,63,59,4,307,built,218.99,PASS,4.26,4,594,
dolphins,33,34,10.3902,0.865851,10.4000,10.390208,0.0098,0.09,0.0098,PASS,63,59,4,307,built,222.61,PASS,3.68,4,594,
dolphins,34,35,10.2566,0.854715,10.2500,10.256580,0.0066,0.06,0.0066,PASS,63,59,4,307,built,189.95,PASS,5.82,4,594,
dolphins,36,37,9.3545,0.779540,9.3500,9.354477,0.0045,0.05,0.0045,PASS,63,59,4,307,built,202.56,PASS,3.94,4,594,
dolphins,39,40,8.3739,0.697825,8.3500,8.373905,0.0239,0.29,0.0239,PASS,63,59,4,307,built,208.10,PASS,5.55,4,594,
dolphins,41,42,9.2239,0.768656,9.2000,9.223872,0.0239,0.26,0.0239,PASS,63,59,4,307,built,159.69,PASS,2.67,4,594,
dolphins,42,43,11.6149,0.967909,11.6000,11.614912,0.0149,0.13,0.0149,PASS,63,59,4,307,built,106.07,PASS,2.60,4,594,
dolphins,45,46,10.0179,0.834822,10.0000,10.017861,0.0179,0.18,0.0179,PASS,63,59,4,307,built,236.48,PASS,3.84,4,594,
dolphins,50,51,10.3346,0.861215,10.3500,10.334585,0.0154,0.15,0.0154,PASS,63,59,4,307,built,212.68,PASS,3.27,4,594,
dolphins,51,52,8.8208,0.735071,8.8000,8.820847,0.0208,0.24,0.0208,PASS,63,59,4,307,built,203.15,PASS,3.76,4,594,
dolphins,54,55,9.2919,0.774322,9.3000,9.291865,0.0081,0.09,0.0081,PASS,63,59,4,307,built,287.90,PASS,51.97,4,594,
