case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
ieee33bw,3,2,2.0428,0.982900,2.2500,2.248000,0.2072,10.14,0.0020,FAIL,33,32,1,166,built,51.84,FAIL,6.49,4,320,
ieee33bw,4,3,1.9540,0.975500,2.2500,2.248000,0.2960,15.15,0.0020,FAIL,33,32,1,166,built,29.88,FAIL,0.49,4,320,
ieee33bw,6,5,1.6444,0.949700,2.2500,2.248000,0.6056,36.83,0.0020,FAIL,33,32,1,166,built,20.02,FAIL,0.44,4,320,
ieee33bw,8,7,1.4236,0.931300,2.2500,2.248000,0.8264,58.05,0.0020,FAIL,33,32,1,166,built,22.23,FAIL,0.45,4,320,
ieee33bw,10,9,1.2976,0.920800,2.2500,2.248000,0.9524,73.40,0.0020,FAIL,33,32,1,166,built,48.10,FAIL,4.48,4,320,
ieee33bw,11,10,1.2712,0.918600,2.2500,2.248000,0.9788,77.00,0.0020,FAIL,33,32,1,166,built,48.62,FAIL,5.08,4,320,
ieee33bw,12,11,1.2364,0.915700,2.2500,2.248000,1.0136,81.98,0.0020,FAIL,33,32,1,166,built,55.27,FAIL,3.81,4,320,
ieee33bw,13,12,1.2052,0.913100,2.2500,2.248000,1.0448,86.69,0.0020,FAIL,33,32,1,166,built,49.21,FAIL,6.63,4,320,
ieee33bw,14,13,1.1572,0.909100,2.2500,2.248000,1.0928,94.43,0.0020,FAIL,33,32,1,166,built,48.30,FAIL,7.61,4,320,
ieee33bw,15,14,1.1380,0.907500,2.2500,2.248000,1.1120,97.72,0.0020,FAIL,33,32,1,166,built,46.21,FAIL,0.54,4,320,
ieee33bw,16,15,1.1260,0.906500,2.2500,2.248000,1.1240,99.82,0.0020,FAIL,33,32,1,166,built,27.46,FAIL,0.56,4,320,
ieee33bw,17,16,1.0492,0.900100,2.2500,2.248000,1.2008,114.45,0.0020,FAIL,33,32,1,166,built,17.39,FAIL,0.42,4,320,
ieee33bw,18,17,1.0000,0.896000,2.2500,2.248000,1.2500,125.00,0.0020,FAIL,33,32,1,166,built,19.27,FAIL,0.48,4,320,
ieee33bw,19,18,2.2036,0.996300,2.2500,2.248000,0.0464,2.11,0.0020,PASS,33,32,1,166,built,20.77,PASS,0.47,4,320,
ieee33bw,20,19,2.1604,0.992700,2.2500,2.248000,0.0896,4.15,0.0020,FAIL,33,32,1,166,built,38.84,FAIL,6.58,4,320,
ieee33bw,23,22,2.0008,0.979400,2.2500,2.248000,0.2492,12.46,0.0020,FAIL,33,32,1,166,built,53.92,FAIL,6.48,4,320,
ieee33bw,24,23,1.9204,0.972700,2.2500,2.248000,0.3296,17.16,0.0020,FAIL,33,32,1,166,built,66.48,FAIL,9.07,4,320,
ieee33bw,25,24,1.8808,0.969400,2.2500,2.248000,0.3692,19.63,0.0020,FAIL,33,32,1,166,built,45.20,FAIL,6.91,4,320,
ieee33bw,26,25,1.6204,0.947700,2.2500,2.248000,0.6296,38.85,0.0020,FAIL,33,32,1,166,built,50.86,FAIL,2.60,4,320,
ieee33bw,27,26,1.5892,0.945100,2.2500,2.248000,0.6608,41.58,0.0020,FAIL,33,32,1,166,built,47.77,FAIL,0.52,4,320,
ieee33bw,28,27,1.4536,0.933800,2.2500,2.248000,0.7964,54.79,0.0020,FAIL,33,32,1,166,built,19.92,FAIL,0.56,4,320,
ieee33bw,29,28,1.3540,0.925500,2.2500,2.248000,0.8960,66.17,0.0020,FAIL,33,32,1,166,built,19.49,FAIL,0.46,4,320,
ieee33bw,30,29,1.3120,0.922000,2.2500,2.248000,0.9380,71.49,0.0020,FAIL,33,32,1,166,built,20.10,FAIL,0.44,4,320,
ieee33bw,32,31,1.2508,0.916900,2.2500,2.248000,0.9992,79.88,0.0020,FAIL,33,32,1,166,built,23.82,FAIL,0.48,4,320,
ieee33bw,33,32,1.2472,0.916600,2.2500,2.248000,1.0028,80.40,0.0020,FAIL,33,32,1,166,built,21.57,FAIL,5.34,4,320,
