case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
karate,2,3,9.9759,0.831328,10.0000,9.975932,0.0241,0.24,0.0241,PASS,35,31,4,167,built,39.59,PASS,5.42,4,326,
karate,3,4,10.8305,0.902538,10.8500,10.830459,0.0195,0.18,0.0195,PASS,35,31,4,167,built,43.45,PASS,8.80,4,326,
karate,5,6,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,35,31,4,167,built,32.70,PASS,0.55,4,326,
karate,7,8,10.8272,0.902270,10.8500,10.827239,0.0228,0.21,0.0228,PASS,35,31,4,167,built,18.01,PASS,0.47,4,326,
karate,8,9,9.5863,0.798856,9.6000,9.586269,0.0137,0.14,0.0137,PASS,35,31,4,167,built,17.43,PASS,0.50,4,326,
karate,9,10,8.9880,0.748997,9.0000,8.987966,0.0120,0.13,0.0120,PASS,35,31,4,167,built,42.45,PASS,6.63,4,326,
karate,10,11,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,35,31,4,167,built,51.49,PASS,0.48,4,326,
karate,12,13,11.4152,0.951269,11.4000,11.415230,0.0152,0.13,0.0152,PASS,35,31,4,167,built,19.78,PASS,0.46,4,326,
karate,13,14,10.2618,0.855149,10.2500,10.261791,0.0118,0.11,0.0118,PASS,35,31,4,167,built,46.50,PASS,6.87,4,326,
karate,14,15,8.3733,0.697773,8.3500,8.373282,0.0233,0.28,0.0233,PASS,35,31,4,167,built,42.80,PASS,6.55,4,326,
karate,15,16,8.3733,0.697773,8.3500,8.373282,0.0233,0.28,0.0233,PASS,35,31,4,167,built,24.82,PASS,0.47,4,326,
karate,16,17,12.0000,1.000000,12.0000,12.000000,0.0000,0.00,0.0000,PASS,35,31,4,167,built,43.32,PASS,6.23,4,326,
karate,18,19,8.3733,0.697773,8.3500,8.373282,0.0233,0.28,0.0233,PASS,35,31,4,167,built,53.32,PASS,0.46,4,326,
karate,20,21,8.3733,0.697773,8.3500,8.373282,0.0233,0.28,0.0233,PASS,35,31,4,167,built,38.16,PASS,0.52,4,326,
karate,22,23,8.3733,0.697773,8.3500,8.373282,0.0233,0.28,0.0233,PASS,35,31,4,167,built,32.05,PASS,0.51,4,326,
karate,23,24,8.6113,0.717610,8.6000,8.611316,0.0113,0.13,0.0113,PASS,35,31,4,167,built,42.56,PASS,7.47,4,326,
karate,24,25,9.0814,0.756780,9.1000,9.081358,0.0186,0.21,0.0186,PASS,35,31,4,167,built,42.70,PASS,7.80,4,326,
karate,25,26,9.0049,0.750408,9.0000,9.004899,0.0049,0.05,0.0049,PASS,35,31,4,167,built,45.33,PASS,4.24,4,326,
karate,26,27,8.1940,0.682832,8.2000,8.193983,0.0060,0.07,0.0060,PASS,35,31,4,167,built,49.01,PASS,5.66,4,326,
karate,27,28,8.9172,0.743096,8.9000,8.917151,0.0172,0.19,0.0172,PASS,35,31,4,167,built,47.43,PASS,6.58,4,326,
karate,28,29,9.0993,0.758277,9.1000,9.099318,0.0007,0.01,0.0007,PASS,35,31,4,167,built,53.59,PASS,6.32,4,326,
karate,29,30,8.3880,0.698997,8.4000,8.387966,0.0120,0.14,0.0120,PASS,35,31,4,167,built,29.08,PASS,0.60,4,326,
karate,30,31,9.2088,0.767404,9.2000,9.208849,0.0088,0.10,0.0088,PASS,35,31,4,167,built,19.77,PASS,0.56,4,326,
karate,31,32,9.3220,0.776835,9.3000,9.322023,0.0220,0.24,0.0220,PASS,35,31,4,167,built,53.44,PASS,7.77,4,326,
karate,32,33,8.7466,0.728880,8.7500,8.746564,0.0034,0.04,0.0034,PASS,35,31,4,167,built,57.53,PASS,7.93,4,326,
