case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lattice6x6_rh1_rv100,2,3,11.1745,0.931207,11.1500,11.174486,0.0245,0.22,0.0245,PASS,37,32,5,174,built,26.94,PASS,0.60,4,340,
lattice6x6_rh1_rv100,3,4,10.7783,0.898191,10.8000,10.778296,0.0217,0.20,0.0217,PASS,37,32,5,174,built,22.95,PASS,0.61,4,340,
lattice6x6_rh1_rv100,6,7,10.2248,0.852068,10.2000,10.224814,0.0248,0.24,0.0248,PASS,37,32,5,174,built,54.06,PASS,5.03,4,340,
lattice6x6_rh1_rv100,8,9,10.2004,0.850030,10.2000,10.200356,0.0004,0.00,0.0004,PASS,37,32,5,174,built,65.83,PASS,6.03,4,340,
lattice6x6_rh1_rv100,10,11,10.1689,0.847409,10.1500,10.168908,0.0189,0.19,0.0189,PASS,37,32,5,174,built,57.19,PASS,7.69,4,340,
lattice6x6_rh1_rv100,11,12,10.1597,0.846640,10.1500,10.159677,0.0097,0.10,0.0097,PASS,37,32,5,174,built,56.25,PASS,6.34,4,340,
lattice6x6_rh1_rv100,12,13,9.3985,0.783211,9.4000,9.398537,0.0015,0.02,0.0015,PASS,37,32,5,174,built,51.65,PASS,3.15,4,340,
lattice6x6_rh1_rv100,13,14,9.3982,0.783185,9.4000,9.398222,0.0018,0.02,0.0018,PASS,37,32,5,174,built,29.06,PASS,0.54,4,340,
lattice6x6_rh1_rv100,14,15,9.3977,0.783140,9.4000,9.397683,0.0023,0.02,0.0023,PASS,37,32,5,174,built,39.17,PASS,0.55,4,340,
lattice6x6_rh1_rv100,15,16,9.3971,0.783089,9.4000,9.397065,0.0029,0.03,0.0029,PASS,37,32,5,174,built,21.24,PASS,0.61,4,340,
lattice6x6_rh1_rv100,16,17,9.3965,0.783044,9.4000,9.396528,0.0035,0.04,0.0035,PASS,37,32,5,174,built,22.30,PASS,0.61,4,340,
lattice6x6_rh1_rv100,17,18,9.3962,0.783018,9.4000,9.396215,0.0038,0.04,0.0038,PASS,37,32,5,174,built,60.19,PASS,7.57,4,340,
lattice6x6_rh1_rv100,18,19,8.6038,0.716982,8.6000,8.603785,0.0038,0.04,0.0038,PASS,37,32,5,174,built,54.65,PASS,5.33,4,340,
lattice6x6_rh1_rv100,19,20,8.6035,0.716956,8.6000,8.603472,0.0035,0.04,0.0035,PASS,37,32,5,174,built,59.04,PASS,6.74,4,340,
lattice6x6_rh1_rv100,20,21,8.6029,0.716911,8.6000,8.602935,0.0029,0.03,0.0029,PASS,37,32,5,174,built,59.03,PASS,8.08,4,340,
lattice6x6_rh1_rv100,23,24,8.6015,0.716789,8.6000,8.601463,0.0015,0.02,0.0015,PASS,37,32,5,174,built,58.43,PASS,8.84,4,340,
lattice6x6_rh1_rv100,24,25,7.8403,0.653360,7.8500,7.840323,0.0097,0.12,0.0097,PASS,37,32,5,174,built,44.07,PASS,0.62,4,340,
lattice6x6_rh1_rv100,25,26,7.8311,0.652591,7.8500,7.831092,0.0189,0.24,0.0189,PASS,37,32,5,174,built,36.87,PASS,0.54,4,340,
lattice6x6_rh1_rv100,26,27,7.8163,0.651361,7.8000,7.816328,0.0163,0.21,0.0163,PASS,37,32,5,174,built,22.30,PASS,0.61,4,340,
lattice6x6_rh1_rv100,27,28,7.7996,0.649970,7.8000,7.799644,0.0004,0.00,0.0004,PASS,37,32,5,174,built,68.33,PASS,4.48,4,340,
lattice6x6_rh1_rv100,28,29,7.7847,0.648723,7.8000,7.784675,0.0153,0.20,0.0153,PASS,37,32,5,174,built,58.43,PASS,7.79,4,340,
lattice6x6_rh1_rv100,29,30,7.7752,0.647932,7.8000,7.775186,0.0248,0.32,0.0248,PASS,37,32,5,174,built,53.82,PASS,8.52,4,340,
lattice6x6_rh1_rv100,31,32,7.6119,0.634329,7.6000,7.611948,0.0119,0.16,0.0119,PASS,37,32,5,174,built,55.58,PASS,7.77,4,340,
lattice6x6_rh1_rv100,33,34,6.8255,0.568793,6.8500,6.825514,0.0245,0.36,0.0245,PASS,37,32,5,174,built,55.39,PASS,7.19,4,340,
lattice6x6_rh1_rv100,34,35,6.4196,0.534965,6.4000,6.419582,0.0196,0.31,0.0196,PASS,37,32,5,174,built,41.69,PASS,0.66,4,340,
