case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
lesmis,3,4,11.5453,0.962109,11.5500,11.545304,0.0047,0.04,0.0047,PASS,55,51,4,267,built,108.60,PASS,1.76,4,518,
lesmis,4,5,10.9257,0.910473,10.9500,10.925682,0.0243,0.22,0.0243,PASS,55,51,4,267,built,132.02,PASS,14.00,4,518,
lesmis,7,8,11.4588,0.954900,11.4500,11.458794,0.0088,0.08,0.0088,PASS,55,51,4,267,built,160.52,PASS,17.47,4,518,
lesmis,9,10,11.4128,0.951064,11.4000,11.412774,0.0128,0.11,0.0128,PASS,55,51,4,267,built,213.74,PASS,6.45,4,518,
lesmis,10,11,10.9479,0.912327,10.9500,10.947926,0.0021,0.02,0.0021,PASS,55,51,4,267,built,224.62,PASS,26.32,4,518,
lesmis,14,15,11.0702,0.922519,11.0500,11.070224,0.0202,0.18,0.0202,PASS,55,51,4,267,built,278.49,PASS,25.90,4,518,
lesmis,17,18,10.6520,0.887664,10.6500,10.651962,0.0020,0.02,0.0020,PASS,55,51,4,267,built,291.47,PASS,16.22,4,518,
lesmis,19,20,10.6126,0.884380,10.6000,10.612557,0.0126,0.12,0.0126,PASS,55,51,4,267,built,285.70,PASS,42.77,4,518,
lesmis,20,21,10.6104,0.884202,10.6000,10.610420,0.0104,0.10,0.0104,PASS,55,51,4,267,built,346.55,PASS,55.36,4,518,
lesmis,22,23,10.5974,0.883121,10.6000,10.597450,0.0026,0.02,0.0026,PASS,55,51,4,267,built,363.31,PASS,51.05,4,518,
lesmis,23,24,10.5530,0.879416,10.5500,10.552988,0.0030,0.03,0.0030,PASS,55,51,4,267,built,316.87,PASS,7.31,4,518,
lesmis,24,25,10.5305,0.877545,10.5500,10.530545,0.0195,0.18,0.0195,PASS,55,51,4,267,built,286.22,PASS,54.93,4,518,
lesmis,25,26,10.5268,0.877234,10.5500,10.526804,0.0232,0.22,0.0232,PASS,55,51,4,267,built,371.63,PASS,56.03,4,518,
lesmis,26,27,10.5227,0.876891,10.5000,10.522689,0.0227,0.22,0.0227,PASS,55,51,4,267,built,370.82,PASS,71.68,4,518,
lesmis,28,29,10.5310,0.877580,10.5500,10.530964,0.0190,0.18,0.0190,PASS,55,51,4,267,built,424.21,PASS,56.29,4,518,
lesmis,32,33,10.7077,0.892305,10.7000,10.707655,0.0077,0.07,0.0077,PASS,55,51,4,267,built,416.70,PASS,54.94,4,518,
lesmis,33,34,10.7077,0.892305,10.7000,10.707655,0.0077,0.07,0.0077,PASS,55,51,4,267,built,404.73,PASS,59.89,4,518,
lesmis,34,35,10.9121,0.909340,10.9000,10.912078,0.0121,0.11,0.0121,PASS,55,51,4,267,built,315.53,PASS,16.53,4,518,
lesmis,38,39,10.9121,0.909340,10.9000,10.912078,0.0121,0.11,0.0121,PASS,55,51,4,267,built,265.42,PASS,18.70,4,518,
lesmis,39,40,10.9121,0.909340,10.9000,10.912078,0.0121,0.11,0.0121,PASS,55,51,4,267,built,325.47,PASS,36.87,4,518,
lesmis,46,47,10.1488,0.845737,10.1500,10.148848,0.0012,0.01,0.0012,PASS,55,51,4,267,built,319.49,PASS,40.23,4,518,
lesmis,47,48,9.3749,0.781238,9.3500,9.374855,0.0249,0.27,0.0249,PASS,55,51,4,267,built,293.10,PASS,8.26,4,518,
lesmis,48,49,9.3850,0.782087,9.4000,9.385039,0.0150,0.16,0.0150,PASS,55,51,4,267,built,253.16,PASS,37.11,4,518,
lesmis,49,50,9.3749,0.781238,9.3500,9.374855,0.0249,0.27,0.0249,PASS,55,51,4,267,built,327.61,PASS,38.27,4,518,
lesmis,50,51,9.3749,0.781238,9.3500,9.374855,0.0249,0.27,0.0249,PASS,55,51,4,267,built,309.35,PASS,26.40,4,518,
