case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
polbooks,6,7,10.9434,0.911948,10.9500,10.943370,0.0066,0.06,0.0066,PASS,106,102,4,522,built,707.83,PASS,88.71,4,1008,
polbooks,13,14,10.7058,0.892149,10.7000,10.705792,0.0058,0.05,0.0058,PASS,106,102,4,522,built,645.63,PASS,81.35,4,1008,
polbooks,18,19,10.8152,0.901269,10.8000,10.815225,0.0152,0.14,0.0152,PASS,106,102,4,522,built,847.66,PASS,82.68,4,1254,
polbooks,19,20,10.6685,0.889045,10.6500,10.668544,0.0185,0.17,0.0185,PASS,106,102,4,522,built,631.22,PASS,77.27,4,1008,
polbooks,28,29,10.5691,0.880759,10.5500,10.569103,0.0191,0.18,0.0191,PASS,106,102,4,522,built,784.21,PASS,84.47,4,1254,
polbooks,33,34,10.7030,0.891914,10.7000,10.702973,0.0030,0.03,0.0030,PASS,106,102,4,522,built,852.31,PASS,41.97,4,1254,
polbooks,34,35,10.7004,0.891701,10.7000,10.700412,0.0004,0.00,0.0004,PASS,106,102,4,522,built,574.74,PASS,86.90,4,1008,
polbooks,37,38,10.7009,0.891739,10.7000,10.700862,0.0009,0.01,0.0009,PASS,106,102,4,522,built,946.59,PASS,72.28,4,1254,
polbooks,39,40,10.7027,0.891888,10.7000,10.702657,0.0027,0.02,0.0027,PASS,106,102,4,522,built,875.44,PASS,50.28,4,1254,
polbooks,40,41,10.6844,0.890365,10.7000,10.684383,0.0156,0.15,0.0156,PASS,106,102,4,522,built,605.04,PASS,76.31,4,1008,
polbooks,46,47,10.6382,0.886521,10.6500,10.638246,0.0118,0.11,0.0118,PASS,106,102,4,522,built,856.14,PASS,89.06,4,1254,
polbooks,50,51,10.5160,0.876330,10.5000,10.515955,0.0160,0.15,0.0160,PASS,106,102,4,522,built,846.43,PASS,88.18,4,1254,
polbooks,53,54,10.6257,0.885473,10.6500,10.625677,0.0243,0.23,0.0243,PASS,106,102,4,522,built,758.98,PASS,46.37,4,1254,
polbooks,55,56,10.7110,0.892582,10.7000,10.710987,0.0110,0.10,0.0110,PASS,106,102,4,522,built,722.70,PASS,89.42,4,1008,
polbooks,63,64,10.4039,0.866988,10.4000,10.403855,0.0039,0.04,0.0039,PASS,106,102,4,522,built,885.61,PASS,90.87,4,1254,
polbooks,64,65,10.0768,0.839731,10.1000,10.076778,0.0232,0.23,0.0232,PASS,106,102,4,522,built,862.42,PASS,40.81,4,1254,
polbooks,66,67,10.3554,0.862949,10.3500,10.355391,0.0054,0.05,0.0054,PASS,106,102,4,522,built,547.31,PASS,69.55,4,1008,
polbooks,67,68,9.6160,0.801336,9.6000,9.616029,0.0160,0.17,0.0160,PASS,106,102,4,522,built,745.92,PASS,76.74,4,1254,
polbooks,70,71,10.3537,0.862804,10.3500,10.353653,0.0037,0.04,0.0037,PASS,106,102,4,522,built,648.30,PASS,47.66,4,1254,
polbooks,76,77,10.4394,0.869952,10.4500,10.439424,0.0106,0.10,0.0106,PASS,106,102,4,522,built,680.39,PASS,85.45,4,1008,
polbooks,79,80,10.4121,0.867676,10.4000,10.412107,0.0121,0.12,0.0121,PASS,106,102,4,522,built,864.60,PASS,42.87,4,1254,
polbooks,81,82,10.4068,0.867237,10.4000,10.406846,0.0068,0.07,0.0068,PASS,106,102,4,522,built,893.60,PASS,86.28,4,1254,
polbooks,86,87,10.4056,0.867135,10.4000,10.405626,0.0056,0.05,0.0056,PASS,106,102,4,522,built,854.36,PASS,98.76,4,1254,
polbooks,89,90,10.3989,0.866574,10.4000,10.398887,0.0011,0.01,0.0011,PASS,106,102,4,522,built,865.89,PASS,84.42,4,1254,
polbooks,99,100,10.4011,0.866756,10.4000,10.401073,0.0011,0.01,0.0011,PASS,106,102,4,522,built,861.06,PASS,83.18,4,1254,
