case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
pp_case39,1,1,12.4081,1.034006,12.4000,12.408067,0.0081,0.07,0.0081,PASS,40,30,10,174,built,66.88,PASS,15.38,4,346,
pp_case39,2,2,12.5763,1.048025,12.6000,12.576302,0.0237,0.19,0.0237,PASS,40,30,10,174,built,77.57,PASS,14.58,4,346,
pp_case39,3,3,12.3753,1.031272,12.3500,12.375268,0.0253,0.20,0.0253,PASS,40,30,10,174,built,54.86,PASS,0.53,4,346,
pp_case39,5,5,12.0714,1.005954,12.0500,12.071449,0.0214,0.18,0.0214,PASS,40,30,10,174,built,83.08,PASS,17.71,4,346,
pp_case39,7,7,12.0754,1.006284,12.0500,12.075411,0.0254,0.21,0.0254,PASS,40,30,10,174,built,77.70,PASS,14.89,4,346,
pp_case39,8,8,12.0955,1.007956,12.1000,12.095466,0.0045,0.04,0.0045,PASS,40,30,10,174,built,86.36,PASS,14.23,4,346,
pp_case39,9,9,12.2798,1.023320,12.2500,12.279838,0.0298,0.24,0.0298,PASS,40,30,10,174,built,74.03,PASS,1.62,4,346,
pp_case39,10,10,11.8464,0.987200,11.8500,11.846401,0.0036,0.03,0.0036,PASS,40,30,10,174,built,76.06,PASS,14.62,4,346,
pp_case39,12,12,11.9208,0.993400,11.9000,11.920804,0.0208,0.17,0.0208,PASS,40,30,10,174,built,74.94,PASS,13.71,4,346,
pp_case39,13,13,11.9228,0.993567,11.9000,11.922807,0.0228,0.19,0.0228,PASS,40,30,10,174,built,34.95,PASS,13.99,4,346,
pp_case39,14,14,12.0949,1.007912,12.1000,12.094945,0.0051,0.04,0.0051,PASS,40,30,10,174,built,78.32,PASS,14.16,4,346,
pp_case39,15,15,12.3110,1.025919,12.3000,12.311030,0.0110,0.09,0.0110,PASS,40,30,10,174,built,72.88,PASS,0.61,4,346,
pp_case39,16,16,12.4191,1.034923,12.4000,12.419072,0.0191,0.15,0.0191,PASS,40,30,10,174,built,74.11,PASS,14.20,4,346,
pp_case39,17,17,12.4062,1.033847,12.4000,12.406164,0.0062,0.05,0.0062,PASS,40,30,10,174,built,82.21,PASS,15.29,4,346,
pp_case39,20,20,12.2405,1.020042,12.2500,12.240501,0.0095,0.08,0.0095,PASS,40,30,10,174,built,60.61,PASS,17.77,4,346,
pp_case39,21,21,12.5060,1.042171,12.5000,12.506049,0.0060,0.05,0.0060,PASS,40,30,10,174,built,74.23,PASS,14.54,4,346,
pp_case39,22,22,12.5930,1.049419,12.6000,12.593025,0.0070,0.06,0.0070,PASS,40,30,10,174,built,74.22,PASS,14.82,4,346,
pp_case39,23,23,12.6596,1.054967,12.6500,12.659608,0.0096,0.08,0.0096,PASS,40,30,10,174,built,78.35,PASS,15.71,4,346,
pp_case39,24,24,12.4479,1.037328,12.4500,12.447937,0.0021,0.02,0.0021,PASS,40,30,10,174,built,58.41,PASS,0.70,4,346,
pp_case39,25,25,12.4204,1.035034,12.4500,12.420408,0.0296,0.24,0.0296,PASS,40,30,10,174,built,75.30,PASS,13.91,4,346,
pp_case39,26,26,12.4027,1.033560,12.4000,12.402718,0.0027,0.02,0.0027,PASS,40,30,10,174,built,72.80,PASS,16.00,4,346,
pp_case39,27,27,12.4045,1.033709,12.4000,12.404504,0.0045,0.04,0.0045,PASS,40,30,10,174,built,62.31,PASS,10.50,4,346,
pp_case39,28,28,12.3881,1.032341,12.4000,12.388088,0.0119,0.10,0.0119,PASS,40,30,10,174,built,67.28,PASS,13.03,4,346,
pp_case39,29,29,12.3833,1.031944,12.4000,12.383324,0.0167,0.13,0.0167,PASS,40,30,10,174,built,78.20,PASS,1.46,4,346,
pp_case39,31,31,12.0453,1.003777,12.0500,12.045327,0.0047,0.04,0.0047,PASS,40,30,10,174,built,79.70,PASS,14.68,4,346,
