case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
ss_FIDAP_ex5,1,1,10.3051,0.858755,10.3000,10.305063,0.0051,0.05,0.0051,PASS,28,24,4,132,built,33.86,PASS,6.48,4,258,
ss_FIDAP_ex5,3,3,10.6447,0.887061,10.6500,10.644736,0.0053,0.05,0.0053,PASS,28,24,4,132,built,29.98,PASS,0.34,4,258,
ss_FIDAP_ex5,4,4,10.8615,0.905127,10.8500,10.861519,0.0115,0.11,0.0115,PASS,28,24,4,132,built,27.59,PASS,6.39,4,258,
ss_FIDAP_ex5,8,8,9.3605,0.780045,9.3500,9.360539,0.0105,0.11,0.0105,PASS,28,24,4,132,built,34.52,PASS,6.89,4,258,
ss_FIDAP_ex5,9,9,9.1053,0.758776,9.1000,9.105309,0.0053,0.06,0.0053,PASS,28,24,4,132,built,31.82,PASS,6.28,4,258,
ss_FIDAP_ex5,10,10,10.2580,0.854836,10.2500,10.258034,0.0080,0.08,0.0080,PASS,28,24,4,132,built,33.63,PASS,6.73,4,258,
ss_FIDAP_ex5,14,14,10.9931,0.916093,11.0000,10.993118,0.0069,0.06,0.0069,PASS,28,24,4,132,built,11.92,PASS,0.60,4,258,
ss_FIDAP_ex5,16,16,9.6780,0.806503,9.7000,9.678040,0.0220,0.23,0.0220,PASS,28,24,4,132,built,17.02,PASS,6.90,4,258,
ss_FIDAP_ex5,17,17,9.3846,0.782048,9.4000,9.384578,0.0154,0.16,0.0154,PASS,28,24,4,132,built,37.51,PASS,6.56,4,258,
ss_FIDAP_ex5,18,18,9.0324,0.752702,9.0500,9.032423,0.0176,0.19,0.0176,PASS,28,24,4,132,built,30.85,PASS,6.40,4,258,
ss_FIDAP_ex5,23,23,10.8417,0.903473,10.8500,10.841679,0.0083,0.08,0.0083,PASS,28,24,4,132,built,31.65,PASS,6.54,4,258,
ss_FIDAP_ex5,24,24,10.2682,0.855684,10.2500,10.268205,0.0182,0.18,0.0182,PASS,28,24,4,132,built,32.67,PASS,8.16,4,258,
