case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
ss_HB_bcsstk01,2,2,11.6673,0.972272,11.6500,11.667267,0.0173,0.15,0.0173,PASS,49,45,4,237,built,167.33,PASS,1.68,4,460,
ss_HB_bcsstk01,8,8,11.6549,0.971239,11.6500,11.654869,0.0049,0.04,0.0049,PASS,49,45,4,237,built,179.26,PASS,5.04,4,460,
ss_HB_bcsstk01,10,10,11.4514,0.954286,11.4500,11.451435,0.0014,0.01,0.0014,PASS,49,45,4,237,built,157.35,PASS,10.79,4,460,
ss_HB_bcsstk01,16,16,11.6655,0.972124,11.6500,11.665486,0.0155,0.13,0.0155,PASS,49,45,4,237,built,184.40,PASS,21.90,4,460,
ss_HB_bcsstk01,19,19,11.8149,0.984579,11.8000,11.814942,0.0149,0.13,0.0149,PASS,49,45,4,237,built,156.90,PASS,25.47,4,460,
ss_HB_bcsstk01,27,27,11.5397,0.961639,11.5500,11.539674,0.0103,0.09,0.0103,PASS,49,45,4,237,built,184.17,PASS,21.13,4,460,
ss_HB_bcsstk01,30,30,11.7670,0.980583,11.7500,11.766994,0.0170,0.14,0.0170,PASS,49,45,4,237,built,180.17,PASS,2.50,4,460,
ss_HB_bcsstk01,31,31,10.0926,0.841051,10.1000,10.092614,0.0074,0.07,0.0074,PASS,49,45,4,237,built,180.11,PASS,24.10,4,460,
ss_HB_bcsstk01,33,33,11.6310,0.969250,11.6500,11.630997,0.0190,0.16,0.0190,PASS,49,45,4,237,built,182.58,PASS,20.64,4,460,
ss_HB_bcsstk01,34,34,11.4486,0.954052,11.4500,11.448627,0.0014,0.01,0.0014,PASS,49,45,4,237,built,169.26,PASS,22.92,4,460,
ss_HB_bcsstk01,43,43,11.7734,0.981116,11.7500,11.773395,0.0234,0.20,0.0234,PASS,49,45,4,237,built,168.58,PASS,26.45,4,460,
ss_HB_bcsstk01,46,46,11.6657,0.972144,11.6500,11.665732,0.0157,0.13,0.0157,PASS,49,45,4,237,built,179.82,PASS,13.27,4,460,
