case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
ss_Oberwolfach_LFAT5,1,1,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,11.14,PASS,3.11,4,134,
ss_Oberwolfach_LFAT5,4,4,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,20.00,PASS,3.19,4,134,
ss_Oberwolfach_LFAT5,5,5,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,20.03,PASS,2.97,4,134,
ss_Oberwolfach_LFAT5,6,6,10.0000,0.833333,10.0000,10.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,19.89,PASS,3.01,4,134,
ss_Oberwolfach_LFAT5,7,7,9.9934,0.832786,10.0000,9.993435,0.0066,0.07,0.0066,PASS,15,11,4,67,built,22.00,PASS,3.02,4,134,
ss_Oberwolfach_LFAT5,8,8,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,22.44,PASS,3.84,4,134,
ss_Oberwolfach_LFAT5,9,9,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,22.43,PASS,3.13,4,134,
ss_Oberwolfach_LFAT5,11,11,9.9902,0.832513,10.0000,9.990153,0.0098,0.10,0.0098,PASS,15,11,4,67,built,23.24,PASS,3.29,4,134,
ss_Oberwolfach_LFAT5,12,12,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,20.14,PASS,3.40,4,134,
ss_Oberwolfach_LFAT5,13,13,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,20.22,PASS,3.79,4,134,
ss_Oberwolfach_LFAT5,14,14,0.0000,0.000000,0.0000,0.000000,0.0000,0.00,0.0000,PASS,15,11,4,67,built,20.79,PASS,2.45,4,134,
