case,target_bus,target_node,truth_v,truth_vm_pu,pred_v_lu_direct,ref_v_numpy_solve,abs_error_v,rel_error_pct,abs_error_vs_numpy_v,pass_fail,N,n_free,n_fixed,seq_length,build_status,build_time_s,run_status,run_time_s,n_layers,d_model,error
ss_Pothen_mesh1e1,2,2,9.1213,0.760111,9.1000,9.121327,0.0213,0.23,0.0213,PASS,49,45,4,237,built,190.87,PASS,18.40,4,460,
ss_Pothen_mesh1e1,8,8,9.3520,0.779331,9.3500,9.351970,0.0020,0.02,0.0020,PASS,49,45,4,237,built,181.45,PASS,26.30,4,460,
ss_Pothen_mesh1e1,10,10,9.4505,0.787539,9.4500,9.450469,0.0005,0.00,0.0005,PASS,49,45,4,237,built,183.84,PASS,25.40,4,460,
ss_Pothen_mesh1e1,16,16,9.1253,0.760439,9.1500,9.125269,0.0247,0.27,0.0247,PASS,49,45,4,237,built,179.81,PASS,18.72,4,460,
ss_Pothen_mesh1e1,19,19,8.8401,0.736675,8.8500,8.840105,0.0099,0.11,0.0099,PASS,49,45,4,237,built,203.61,PASS,22.33,4,460,
ss_Pothen_mesh1e1,27,27,9.1492,0.762431,9.1500,9.149177,0.0008,0.01,0.0008,PASS,49,45,4,237,built,181.48,PASS,25.74,4,460,
ss_Pothen_mesh1e1,30,30,9.5770,0.798083,9.6000,9.576998,0.0230,0.24,0.0230,PASS,49,45,4,237,built,187.43,PASS,23.89,4,460,
ss_Pothen_mesh1e1,31,31,9.5230,0.793586,9.5000,9.523036,0.0230,0.24,0.0230,PASS,49,45,4,237,built,193.21,PASS,2.40,4,460,
ss_Pothen_mesh1e1,33,33,9.4434,0.786951,9.4500,9.443416,0.0066,0.07,0.0066,PASS,49,45,4,237,built,189.17,PASS,26.97,4,460,
ss_Pothen_mesh1e1,34,34,8.6711,0.722592,8.6500,8.671106,0.0211,0.24,0.0211,PASS,49,45,4,237,built,162.92,PASS,18.25,4,460,
ss_Pothen_mesh1e1,43,43,9.0417,0.753479,9.0500,9.041749,0.0083,0.09,0.0083,PASS,49,45,4,237,built,152.59,PASS,23.15,4,460,
ss_Pothen_mesh1e1,46,46,8.8646,0.738721,8.8500,8.864648,0.0146,0.17,0.0146,PASS,49,45,4,237,built,177.82,PASS,1.45,4,460,
