n,build_s,infer_s,max_abs_err,median_abs_err,tokens_per_col,d_model,n_layers,d_ffn,n_params,error
2,0.21,0.354,1.734723475976807e-18,0.0,8,26,3,20,13208,
3,0.165,0.014,8.673617379884035e-19,0.0,11,34,3,30,23800,
4,0.204,0.023,3.469446951953614e-18,4.912791094074942e-20,14,46,3,40,43240,
5,0.265,0.035,5.551115123125783e-17,2.168404344971009e-19,17,58,3,50,68440,
6,0.299,0.065,2.7755575615628914e-17,3.3881317890172014e-20,20,70,3,60,99400,
7,0.438,0.074,2.7755575615628914e-17,4.336808689942018e-19,23,82,3,70,136120,
8,0.385,0.096,2.7755575615628914e-17,2.168404344971009e-19,26,94,3,80,178600,
9,0.458,0.134,2.7755575615628914e-17,4.336808689942018e-19,29,106,3,90,226840,
10,0.579,0.169,5.551115123125783e-17,8.673617379884035e-19,32,118,3,100,280840,
11,0.587,0.299,2.7755575615628914e-17,8.673617379884035e-19,35,130,3,110,340600,
12,1.229,0.276,2.7755575615628914e-17,7.589415207398531e-19,38,142,3,120,406120,
13,1.074,0.321,8.326672684688674e-17,9.75781955236954e-19,41,154,3,130,477400,
14,1.303,0.375,5.551115123125783e-17,8.673617379884035e-19,44,166,3,140,554440,
15,1.618,0.692,2.7755575615628914e-17,8.673617379884035e-19,47,178,3,150,637240,
16,1.771,0.53,5.551115123125783e-17,8.673617379884035e-19,50,190,3,160,725800,
17,2.051,0.658,5.551115123125783e-17,1.4094628242311558e-18,53,202,3,170,820120,
18,3.154,0.903,5.551115123125783e-17,1.3010426069826053e-18,56,214,3,180,920200,
19,2.698,0.841,8.326672684688674e-17,1.3010426069826053e-18,59,226,3,190,1026040,
20,3.27,1.251,8.326672684688674e-17,8.673617379884035e-19,62,238,3,200,1137640,
21,2.891,1.254,5.551115123125783e-17,1.3010426069826053e-18,65,250,3,210,1255000,
22,4.667,1.899,5.551115123125783e-17,1.3010426069826053e-18,68,262,3,220,1378120,
23,3.962,1.692,5.551115123125783e-17,1.3010426069826053e-18,71,274,3,230,1507000,
24,4.381,1.89,5.551115123125783e-17,1.5178830414797062e-18,74,286,3,240,1641640,
25,4.005,2.369,8.326672684688674e-17,1.3010426069826053e-18,77,298,3,250,1782040,
26,5.365,2.445,8.326672684688674e-17,1.734723475976807e-18,80,310,3,260,1928200,
27,7.519,3.003,5.551115123125783e-17,1.734723475976807e-18,83,322,3,270,2080120,
28,7.259,3.259,8.326672684688674e-17,1.734723475976807e-18,86,334,3,280,2237800,
29,8.644,3.892,5.551115123125783e-17,1.734723475976807e-18,89,346,3,290,2401240,
30,10.113,4.164,8.326672684688674e-17,1.734723475976807e-18,92,358,3,300,2570440,
31,10.908,5.601,8.326672684688674e-17,1.734723475976807e-18,95,370,3,310,2745400,
32,8.805,5.982,5.551115123125783e-17,1.734723475976807e-18,98,382,3,320,2926120,
33,11.768,6.263,5.551115123125783e-17,1.734723475976807e-18,101,394,3,330,3112600,
34,12.186,7.752,8.326672684688674e-17,1.734723475976807e-18,104,406,3,340,3304840,
35,12.557,8.158,5.551115123125783e-17,1.734723475976807e-18,107,418,3,350,3502840,
36,14.284,8.692,5.551115123125783e-17,1.734723475976807e-18,110,430,3,360,3706600,
37,12.049,10.77,8.326672684688674e-17,1.734723475976807e-18,113,442,3,370,3916120,
38,12.466,11.528,1.1102230246251565e-16,1.734723475976807e-18,116,454,3,380,4131400,
39,15.977,12.784,8.326672684688674e-17,1.734723475976807e-18,119,466,3,390,4352440,
40,27.773,13.614,8.326672684688674e-17,1.734723475976807e-18,122,478,3,400,4579240,
41,45.68,17.564,8.326672684688674e-17,1.734723475976807e-18,125,490,3,410,442,57.21,42,71.299,18.152,8.326672684688674e-17,1.734723475976807e-18,128,502,3,420,43,72.838,43,79.206,18.676,1.1102230246251565e-16,1.734723475976807e-18,131,514,3,430,44,86.421,44,84.347,21.703,1.1102230246251565e-16,2.168404344971009e-18,134,526,3,440,45,100.65945,99.734,22.498,5.551115123125783e-17,1.734723475976807e-18,137,538,3,450,546,116.388,24.622,8.326672684688674e-17,1.734723475976807e-18,140,550,3,460,6061000,
