n,build_s,infer_s,max_abs_err,median_abs_err,tokens_per_col,d_model,n_layers,d_ffn,n_params
2,0.154,0.375,1.734723475976807e-18,0.0,8,26,3,20,13208
3,0.221,0.015,8.673617379884035e-19,0.0,11,34,3,30,23800
4,0.226,0.024,3.469446951953614e-18,4.912791094074942e-20,14,46,3,40,43240
5,0.259,0.036,5.551115123125783e-17,2.168404344971009e-19,17,58,3,50,68440
6,0.312,0.055,2.7755575615628914e-17,3.3881317890172014e-20,20,70,3,60,99400
7,0.446,0.074,2.7755575615628914e-17,4.336808689942018e-19,23,82,3,70,136120
8,0.402,0.109,2.7755575615628914e-17,2.168404344971009e-19,26,94,3,80,178600
9,0.468,0.136,2.7755575615628914e-17,4.336808689942018e-19,29,106,3,90,226840
10,0.601,0.171,5.551115123125783e-17,8.673617379884035e-19,32,118,3,100,280840
11,0.605,0.226,2.7755575615628914e-17,8.673617379884035e-19,35,130,3,110,340600
12,1.383,0.434,2.7755575615628914e-17,7.589415207398531e-19,38,142,3,120,406120
13,1.791,0.543,8.326672684688674e-17,9.75781955236954e-19,41,154,3,130,477400
14,1.586,0.411,5.551115123125783e-17,8.673617379884035e-19,44,166,3,140,554440
15,1.436,0.461,2.7755575615628914e-17,8.673617379884035e-19,47,178,3,150,637240
16,1.626,0.61,5.551115123125783e-17,8.673617379884035e-19,50,190,3,160,725800
17,3.222,0.992,5.551115123125783e-17,1.4094628242311558e-18,53,202,3,170,820120
18,3.78,1.234,5.551115123125783e-17,1.3010426069826053e-18,56,214,3,180,920200
19,2.654,0.958,8.326672684688674e-17,1.3010426069826053e-18,59,226,3,190,1026040
20,3.645,1.189,8.326672684688674e-17,8.673617379884035e-19,62,238,3,200,1137640
21,3.122,1.332,5.551115123125783e-17,1.3010426069826053e-18,65,250,3,210,1255000
22,6.279,1.863,5.551115123125783e-17,1.3010426069826053e-18,68,262,3,220,1378120
23,3.901,1.859,5.551115123125783e-17,1.3010426069826053e-18,71,274,3,230,1507000
24,5.765,2.361,5.551115123125783e-17,1.5178830414797062e-18,74,286,3,240,1641640
25,5.331,1.92,8.326672684688674e-17,1.3010426069826053e-18,77,298,3,250,1782040
26,4.958,2.996,8.326672684688674e-17,1.734723475976807e-18,80,310,3,260,1928200
27,8.696,3.572,5.551115123125783e-17,1.734723475976807e-18,83,322,3,270,2080120
28,8.397,3.503,8.326672684688674e-17,1.734723475976807e-18,86,334,3,280,2237800
29,10.145,4.028,5.551115123125783e-17,1.734723475976807e-18,89,346,3,290,2401240
30,9.194,4.916,8.326672684688674e-17,1.734723475976807e-18,92,358,3,300,2570440
