circuit,transformer,layer,token,pos,l2_norm,abs_max,nz_count
CKT_0015,T2,0,start,0,0.0,0.0,0
CKT_0015,T2,1,start,0,0.0,0.0,0
CKT_0015,T2,2,start,0,0.0,0.0,0
CKT_0015,T2,3,start,0,0.0,0.0,0
CKT_0015,T2,4,start,0,0.0,0.0,0
CKT_0015,T2,0,skip,1,2.0696640292911175,1.0,5
CKT_0015,T2,1,skip,1,2.0696640292911175,1.0,5
CKT_0015,T2,2,skip,1,1.8120455827990487,1.0,4
CKT_0015,T2,3,skip,1,1.8120455827990487,1.0,4
CKT_0015,T2,4,skip,1,1.8120455827990487,1.0,4
CKT_0015,T2,0,v_0,2,4.745560266738945,4.0,5
CKT_0015,T2,1,v_0,2,4.639002289851925,4.0,4
CKT_0015,T2,2,v_0,2,4.639002289851925,4.0,4
CKT_0015,T2,3,v_0,2,4.639002289851925,4.0,4
CKT_0015,T2,4,v_0,2,4.639002289851925,4.0,4
CKT_0015,T2,0,skip,3,9.62676645734534,9.0,5
CKT_0015,T2,1,skip,3,9.62676645734534,9.0,5
CKT_0015,T2,2,skip,3,9.574687066649718,9.0,4
CKT_0015,T2,3,skip,3,9.574687066649718,9.0,4
CKT_0015,T2,4,skip,3,9.574687066649718,9.0,4
CKT_0015,T2,0,v_240,4,120000.00114492704,120000.0,6
CKT_0015,T2,1,v_240,4,120000.00114076037,120000.0,5
CKT_0015,T2,2,v_240,4,16.546373910500428,16.0,4
CKT_0015,T2,3,v_240,4,16.546373910500428,16.0,4
CKT_0015,T2,4,v_240,4,16.546373910500428,16.0,4
CKT_0015,T2,0,skip,5,25.551177337007,25.0,5
CKT_0015,T2,1,skip,5,25.551177337007,25.0,5
CKT_0015,T2,2,skip,5,25.53160126798122,25.0,4
CKT_0015,T2,3,skip,5,25.53160126798122,25.0,4
CKT_0015,T2,4,skip,5,25.53160126798122,25.0,4
CKT_0015,T2,0,v_0,6,36.536626183604405,36.0,5
CKT_0015,T2,1,v_0,6,36.52293872185598,36.0,4
CKT_0015,T2,2,v_0,6,36.52293872185598,36.0,4
CKT_0015,T2,3,v_0,6,36.52293872185598,36.0,4
CKT_0015,T2,4,v_0,6,36.52293872185598,36.0,4
CKT_0015,T2,0,skip,7,49.52752068522258,49.0,5
