circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0001,Basic,3,1000,0.01,2.9300,2.9333,0.0033,PASS,2.9328,0.000000,1.0000e+00,6010,4888.9,
CKT_0002,Basic,3,1000,0.01,8.1600,8.1633,0.0033,PASS,8.1636,0.000000,1.0000e+00,6010,4966.9,
CKT_0003,Basic,3,1000,0.01,4.9300,4.9287,0.0013,PASS,4.9285,0.000000,1.0000e+00,6010,5123.4,
CKT_0004,Basic,3,1000,0.01,3.9200,3.9208,0.0008,PASS,3.9204,0.000000,1.0000e+00,6010,5266.2,
CKT_0005,Basic,3,1000,0.01,0.5200,0.5213,0.0013,PASS,0.5208,0.000000,1.0000e+00,6010,5119.7,
CKT_0006,Basic,3,1000,0.01,14.6800,14.6797,0.0003,PASS,14.6790,0.000000,1.0000e+00,6010,5025.4,
CKT_0007,Basic,3,1000,0.01,3.0700,3.0712,0.0012,PASS,3.0720,0.000000,1.0000e+00,6010,5371.9,
CKT_0008,Basic,3,1000,0.01,1.5300,1.5349,0.0049,PASS,1.5348,0.000000,1.0000e+00,6010,5526.5,
CKT_0009,Basic,3,1000,0.01,4.8500,4.8526,0.0026,PASS,4.8525,0.000000,1.0000e+00,6010,5165.1,
CKT_0010,Basic,3,1000,0.01,7.5300,7.534,0.0040,PASS,7.5345,0.000000,1.0000e+00,6010,5167.2,
CKT_0011,Basic,3,1000,0.01,7.9800,7.9758,0.0042,PASS,7.9764,0.000000,1.0000e+00,6010,5317.0,
CKT_0012,Basic,3,1000,0.01,10.4700,10.4681,0.0019,PASS,10.4676,0.000000,1.0000e+00,6010,5116.0,
CKT_0013,Basic,3,1000,0.01,0.1100,0.109,0.0010,PASS,0.1090,0.000000,1.0000e+00,6010,4999.2,
CKT_0014,Basic,3,1000,0.01,7.2600,7.2644,0.0044,PASS,7.2645,0.000000,1.0000e+00,6010,4928.7,
CKT_0015,Basic,4,1000,0.01,2.8500,2.8571,0.0071,PASS,2.8570,0.586302,4.0012e+00,8012,6816.5,
CKT_0016,Basic,4,1000,0.01,4.8100,4.8316,0.0216,PASS,4.8313,0.930393,2.7869e+01,8012,6835.1,
CKT_0017,Basic,4,1000,0.01,0.1000,0.1047,0.0047,PASS,0.1050,0.076039,2.7846e+01,8012,6671.9,
CKT_0018,Basic,4,1000,0.01,8.9200,8.9241,0.0041,PASS,8.9246,0.461370,3.6163e+00,8012,6716.0,
CKT_0019,Basic,4,1000,0.01,1.6400,1.7068,0.0668,FAIL,1.7049,0.971932,7.0291e+01,8012,6580.6,
CKT_0020,Basic,4,1000,0.01,0.3200,0.3189,0.0011,PASS,0.3189,0.347836,2.9950e+00,8012,6604.1,
CKT_0021,Basic,4,1000,0.01,1.5000,1.6444,0.1444,FAIL,1.6413,0.970357,6.6497e+01,8012,6742.6,
CKT_0022,Basic,4,1000,0.01,0.1000,0.0973,0.0027,PASS,0.0971,0.547473,5.3428e+00,8012,6598.4,
CKT_0023,Intermediate,4,1000,0.01,8.9900,8.9947,0.0047,PASS,8.9949,0.095285,1.5650e+01,8012,7054.0,
CKT_0024,Intermediate,4,1000,0.01,0.0600,0.0577,0.0023,PASS,0.0576,0.080629,8.2614e+00,8012,7199.4,
CKT_0025,Intermediate,4,1000,0.01,0.0400,0.0484,0.0084,PASS,0.0480,0.425873,3.0783e+00,8012,7022.4,
CKT_0026,Intermediate,4,1000,0.01,11.4600,11.4624,0.0024,PASS,11.4618,0.000000,1.0000e+00,8012,6792.4,
CKT_0027,Intermediate,4,1000,0.01,7.0000,7.0,0.0000,PASS,6.9993,0.000000,1.0000e+00,8012,7003.1,
CKT_0028,Intermediate,4,1000,0.01,14.1800,14.1795,0.0005,PASS,14.1805,0.000000,1.0000e+00,8012,6977.7,
CKT_0029,Intermediate,5,1000,0.01,0.1600,0.1592,0.0008,PASS,0.1592,0.045176,3.3634e+01,10014,8382.2,
CKT_0030,Intermediate,5,1000,0.01,5.1800,5.1848,0.0048,PASS,5.1846,0.419006,2.7618e+00,10014,8290.9,
CKT_0031,Intermediate,5,1000,0.01,3.1500,3.1534,0.0034,PASS,3.1525,0.901583,5.5978e+01,10014,8549.0,
CKT_0032,Intermediate,5,1000,0.01,2.5500,2.5535,0.0035,PASS,2.5536,0.775722,8.2650e+00,10014,8517.8,
CKT_0033,Intermediate,5,1000,0.01,18.8700,18.8788,0.0088,PASS,18.8795,0.619045,1.0660e+01,10014,8568.1,
CKT_0034,Intermediate,5,1000,0.01,4.6700,4.6738,0.0038,PASS,4.6734,0.685889,1.7893e+01,10014,8407.0,
CKT_0035,Intermediate,5,1000,0.01,1.7500,1.757,0.0070,PASS,1.7567,0.594323,2.2029e+01,10014,8642.1,
CKT_0036,Intermediate,5,1000,0.01,0.0100,0.0082,0.0018,PASS,0.0081,0.177177,6.6515e+01,10014,8533.9,
CKT_0037,Intermediate,5,1000,0.01,2.6600,2.6664,0.0064,PASS,2.6662,0.632314,1.9242e+01,10014,8337.8,
CKT_0038,Intermediate,5,1000,0.01,2.7800,2.7845,0.0045,PASS,2.7845,0.058725,9.0241e+00,10014,8489.7,
CKT_0039,Intermediate,5,1000,0.01,18.1100,18.2062,0.0962,FAIL,18.2483,0.990405,2.0745e+02,10014,8528.1,
CKT_0040,Intermediate,5,1000,0.01,3.2500,3.2548,0.0048,PASS,3.2548,0.165608,1.4978e+01,10014,8184.0,
CKT_0041,Intermediate,5,1000,0.01,4.6500,4.6532,0.0032,PASS,4.6524,0.683515,6.1188e+00,10014,8171.5,
CKT_0042,Intermediate,6,1000,0.01,0.0600,0.0603,0.0003,PASS,0.0600,0.581195,5.5204e+00,12016,10173.0,
CKT_0043,Intermediate,6,1000,0.01,7.2500,7.6841,0.4341,FAIL,7.6914,0.990518,2.4866e+02,12016,10252.3,
CKT_0044,Intermediate,6,1000,0.01,0.0600,0.0798,0.0198,PASS,0.0794,0.839639,1.6377e+01,12016,10149.0,
CKT_0045,Intermediate,6,1000,0.01,3.0000,3.0,0.0000,PASS,3.0007,0.582132,7.9943e+00,12016,10097.7,
CKT_0046,Intermediate,6,1000,0.01,0.0200,0.0352,0.0152,PASS,0.0351,0.947256,3.8462e+01,12016,9896.4,
CKT_0047,Intermediate,6,1000,0.01,3.1800,3.2289,0.0489,PASS,3.2303,0.945933,5.1996e+01,12016,10024.1,
CKT_0048,Intermediate,6,1000,0.01,1.5000,1.5197,0.0197,PASS,1.5185,0.870986,1.7688e+01,12016,9877.0,
CKT_0049,Intermediate,6,1000,0.01,0.9500,0.9619,0.0119,PASS,0.9619,0.792532,1.5879e+01,12016,9978.1,
CKT_0050,Intermediate,5,1000,0.01,1.7800,1.782,0.0020,PASS,1.7818,0.021058,2.0733e+00,10014,8420.2,
CKT_0051,Intermediate,5,1000,0.01,2.0200,2.0162,0.0038,PASS,2.0156,0.109726,1.2676e+00,10014,8761.5,
CKT_0052,Intermediate,5,1000,0.01,1.3600,1.4137,0.0537,FAIL,1.4134,0.927225,2.6560e+01,10014,8450.7,
CKT_0053,Intermediate,5,1000,0.01,1.2700,1.2977,0.0277,PASS,1.3016,0.901149,1.9405e+01,10014,8311.8,
CKT_0054,Intermediate,5,1000,0.01,2.2000,2.1968,0.0032,PASS,2.1968,0.114891,3.2713e+00,10014,8848.6,
CKT_0055,Hard,12,1000,0.01,0.2200,0.2155,0.0045,PASS,0.2156,0.967479,3.3672e+04,24028,20627.6,
