circuit_id,N,kappa,sparsity,max_abs_err,median_abs_err,build_s,infer_s,status
CKT_0001,1,1.0000e+00,0.0000,0.0,0.0,0.233,1.011,ok
CKT_0002,1,1.0000e+00,0.0000,0.0,0.0,0.127,0.004,ok
CKT_0003,1,1.0000e+00,0.0000,0.0,0.0,0.089,0.007,ok
CKT_0004,1,1.0000e+00,0.0000,0.0,0.0,0.123,0.005,ok
CKT_0005,1,1.0000e+00,0.0000,0.0,0.0,0.065,0.003,ok
CKT_0006,1,1.0000e+00,0.0000,0.0,0.0,0.063,0.003,ok
CKT_0007,1,1.0000e+00,0.0000,0.0,0.0,0.061,0.003,ok
CKT_0008,1,1.0000e+00,0.0000,0.0,0.0,0.084,0.004,ok
CKT_0009,1,1.0000e+00,0.0000,0.0,0.0,0.065,0.003,ok
CKT_0010,1,1.0000e+00,0.0000,0.0,0.0,0.093,0.007,ok
CKT_0011,1,1.0000e+00,0.0000,0.0,0.0,0.115,0.004,ok
CKT_0012,1,1.0000e+00,0.0000,0.0,0.0,0.131,0.006,ok
CKT_0013,1,1.0000e+00,0.0000,0.0,0.0,0.111,0.003,ok
CKT_0014,1,1.0000e+00,0.0000,0.0,0.0,0.055,0.003,ok
CKT_0015,2,4.0012e+00,0.0000,0.0,0.0,0.218,0.033,ok
CKT_0016,2,2.7869e+01,0.0000,1.1368683772161603e-12,1.0800249583553523e-12,0.552,0.016,ok
CKT_0017,2,2.7846e+01,0.0000,0.0,0.0,0.421,0.029,ok
CKT_0018,2,3.6163e+00,0.0000,1.1368683772161603e-13,0.0,0.341,0.027,ok
CKT_0019,2,7.0291e+01,0.0000,0.0,0.0,0.296,0.009,ok
CKT_0020,2,2.9950e+00,0.0000,0.0,0.0,0.294,0.016,ok
CKT_0021,2,6.6497e+01,0.0000,0.0,0.0,0.268,0.009,ok
CKT_0022,2,5.3428e+00,0.0000,0.0,0.0,0.162,0.009,ok
CKT_0023,2,1.5650e+01,0.0000,1.4210854715202004e-14,0.0,0.15,0.009,ok
CKT_0024,2,8.2614e+00,0.0000,0.0,0.0,0.23,0.01,ok
CKT_0025,2,3.0783e+00,0.0000,1.4210854715202004e-14,7.105427357601002e-15,0.193,0.009,ok
CKT_0026,1,1.0000e+00,0.0000,0.0,0.0,0.062,0.003,ok
CKT_0027,1,1.0000e+00,0.0000,0.0,0.0,0.061,0.003,ok
CKT_0028,1,1.0000e+00,0.0000,0.0,0.0,0.06,0.003,ok
CKT_0029,3,3.3634e+01,0.0000,1.8189894035458565e-12,1.4210854715202004e-14,0.218,0.018,ok
CKT_0030,3,2.7618e+00,0.0000,2.842170943040401e-14,0.0,0.227,0.017,ok
CKT_0031,3,5.5978e+01,0.0000,2.2737367544323206e-13,1.1368683772161603e-13,0.314,0.021,ok
CKT_0032,3,8.2650e+00,0.0000,8.526512829121202e-14,1.0658141036401503e-14,0.261,0.02,ok
CKT_0033,3,1.0660e+01,0.0000,4.547473508864641e-13,2.2737367544323206e-13,0.316,0.025,ok
CKT_0034,3,1.7893e+01,0.2222,1.1368683772161603e-13,2.842170943040401e-14,0.274,0.02,ok
CKT_0035,3,2.2029e+01,0.2222,0.0,0.0,0.338,0.022,ok
CKT_0036,3,6.6515e+01,0.2222,1.1368683772161603e-13,8.881784197001252e-16,0.492,0.056,ok
CKT_0037,3,1.9242e+01,0.2222,4.547473508864641e-13,0.0,0.616,0.035,ok
CKT_0038,2,9.0241e+00,0.0000,1.4210854715202004e-14,0.0,0.346,0.017,ok
CKT_0039,2,2.0745e+02,0.0000,0.0,0.0,0.309,0.009,ok
CKT_0040,2,1.4978e+01,0.0000,0.0,0.0,0.265,0.009,ok
CKT_0041,2,6.1188e+00,0.0000,2.842170943040401e-14,0.0,0.156,0.009,ok
CKT_0042,4,5.5204e+00,0.2500,2.842170943040401e-14,2.220446049250313e-16,0.424,0.03,ok
CKT_0043,4,2.4866e+02,0.2500,2.3646862246096134e-11,2.0691004465334117e-11,0.272,0.03,ok
CKT_0044,4,1.6377e+01,0.2500,2.842170943040401e-14,1.4210854715202004e-14,0.35,0.03,ok
CKT_0045,4,7.9943e+00,0.2500,1.8189894035458565e-12,0.0,0.277,0.03,ok
CKT_0046,4,3.8462e+01,0.0000,3.410605131648481e-13,2.1316282072803006e-13,0.282,0.028,ok
CKT_0047,4,5.1996e+01,0.0000,2.2737367544323206e-13,0.0,0.294,0.031,ok
CKT_0048,4,1.7688e+01,0.0000,6.821210263296962e-13,1.1368683772161603e-13,0.345,0.031,ok
CKT_0049,4,1.5879e+01,0.0000,1.1368683772161603e-13,7.105427357601002e-15,0.368,0.031,ok
CKT_0050,2,2.0733e+00,0.0000,1.7763568394002505e-15,0.0,0.349,0.011,ok
CKT_0051,2,1.2676e+00,0.0000,5.684341886080802e-14,0.0,0.172,0.009,ok
CKT_0052,2,2.6560e+01,0.0000,1.1368683772161603e-13,5.684341886080802e-14,0.158,0.009,ok
CKT_0053,2,1.9405e+01,0.0000,0.0,0.0,0.163,0.009,ok
CKT_0054,2,3.2713e+00,0.0000,5.684341886080802e-14,0.0,0.185,0.02,ok
CKT_0055,7,3.3672e+04,0.7347,2.2737367544323206e-13,0.0,0.773,0.154,ok
CKT_0056,8,6.2553e+02,0.7188,2.2737367544323206e-13,0.0,0.977,0.131,ok
CKT_0057,7,1.2520e+02,0.7347,7.105427357601002e-15,0.0,0.966,0.133,ok
CKT_0058,8,4.9491e+02,0.7188,4.547473508864641e-13,0.0,1.022,0.443,ok
CKT_0059,7,3.0477e+04,0.7347,5.820766091346741e-11,0.0,1.891,0.104,ok
CKT_0060,8,5.2212e+04,0.5625,5.411493475548923e-11,2.4584778657299466e-12,1.559,0.212,ok
CKT_0061,10,2.8901e+03,0.6400,1.1823431123048067e-11,5.684341886080802e-14,2.056,0.455,ok
CKT_0062,11,2.5183e+03,0.6777,9.00399754755199e-11,2.1316282072803006e-14,2.023,0.769,ok
CKT_0063,12,1.1756e+04,0.6806,1.775333657860756e-09,2.8535396268125623e-11,2.399,0.892,ok
CKT_0064,14,1.0967e+05,0.7347,6.728805601596832e-08,4.547473508864641e-13,4.018,1.553,ok
CKT_0065,6,7.9021e+01,0.5000,2.2737367544323206e-13,1.0339757656912846e-25,1.307,0.205,ok
CKT_0066,8,2.8104e+02,0.6250,9.094947017729282e-13,2.168404344971009e-18,1.613,0.308,ok
CKT_0067,6,6.0384e+01,0.5000,5.684341886080802e-14,0.0,1.291,0.157,ok
CKT_0068,8,6.2171e+03,0.6250,5.684341886080802e-14,0.0,2.09,0.301,ok
CKT_0069,7,3.0431e+02,0.6122,1.1368683772161603e-13,4.336808689942018e-19,1.003,0.212,ok
CKT_0070,4,3.2977e+02,0.2500,4.547473508864641e-13,0.0,0.679,0.073,ok
CKT_0071,5,3.2825e+03,0.3200,1.8189894035458565e-12,1.3877787807814457e-17,0.923,0.141,ok
CKT_0072,2,2.0071e+01,0.0000,2.2737367544323206e-13,1.9895196601282805e-13,0.398,0.02,ok
CKT_0073,5,6.0817e+01,0.4000,5.684341886080802e-14,0.0,1.006,0.102,ok
CKT_0074,3,3.0871e+03,0.4444,7.105427357601002e-15,0.0,0.722,0.055,ok
CKT_0075,7,1.6048e+04,0.5714,1.4551915228366852e-11,0.0,1.914,0.266,ok
CKT_0076,7,4.3184e+02,0.4490,1.3073986337985843e-12,1.1368683772161603e-12,2.129,0.207,ok
CKT_0077,7,1.1127e+04,0.4898,3.6670826375484467e-09,5.684341886080801e-13,2.253,0.191,ok
CKT_0078,5,1.0686e+02,0.3200,3.410605131648481e-13,3.3306690738754696e-16,0.961,0.089,ok
CKT_0079,5,1.4695e+01,0.5600,2.842170943040401e-14,0.0,0.877,0.064,ok
CKT_0080,12,8.8043e+03,0.8056,3.637978807091713e-12,0.0,2.479,0.878,ok
CKT_0081,11,1.5668e+05,0.8099,8.185452315956354e-12,0.0,1.685,0.603,ok
CKT_0082,12,1.3772e+05,0.8056,1.4551915228366852e-11,0.0,1.968,0.889,ok
CKT_0083,12,2.3936e+03,0.8056,3.637978807091713e-12,0.0,1.361,0.485,ok
CKT_0084,17,1.5160e+04,0.7682,4.3655745685100555e-11,5.8548721426632255e-12,2.643,1.261,ok
