n,phase,elapsed_s,build_s,infer_s,max_abs_err,median_abs_err,tokens_per_col,d_model,n_layers,d_ffn,n_params,peak_rss_mb,status,note
10,plan,0.54,,,,,,118,,,,405.5,plan_ok,
10,full,1.82,0.61,1.21,2.7755575615628914e-17,5.082197683525802e-19,32,118,3,100,280840,413.6,ok,
20,plan,2.45,,,,,,238,,,,439.8,plan_ok,
20,full,8.61,2.65,5.96,5.551115123125783e-17,8.673617379884035e-19,62,238,3,200,1137640,442.3,ok,
30,plan,7.02,,,,,,358,,,,463.6,plan_ok,
30,full,29.15,7.29,21.86,5.551115123125783e-17,1.734723475976807e-18,92,358,3,300,2570440,471.7,ok,
40,plan,18.37,,,,,,478,,,,488.7,plan_ok,
40,full,81.02,16.69,64.32,8.326672684688674e-17,1.734723475976807e-18,122,478,3,400,4579240,506.9,ok,
50,plan,48.14,,,,,,598,,,,519.2,plan_ok,
50,full,179.8,47.75,132.05,1.3877787807814457e-16,1.951563910473908e-18,152,598,3,500,7164040,556.4,ok,
60,plan,81.13,,,,,,718,,,,556.4,plan_ok,
60,full,309.23,82.39,226.84,8.326672684688674e-17,3.469446951953614e-18,182,718,3,600,10324840,606.5,ok,
70,plan,118.39,,,,,,838,,,,606.5,plan_ok,
70,full,479.8,116.83,362.98,8.326672684688674e-17,3.0357660829594124e-18,212,838,3,700,14061640,670.1,ok,
80,plan,151.68,,,,,,958,,,,670.1,plan_ok,
80,full,783.44,152.51,630.93,1.1102230246251565e-16,3.469446951953614e-18,242,958,3,800,18374440,735.0,ok,
90,plan,197.55,,,,,,1078,,,,735.0,plan_ok,
90,full,1696.8,204.81,1491.99,8.326672684688674e-17,3.469446951953614e-18,272,1078,3,900,23263240,789.5,ok,
100,plan,251.23,,,,,,1198,,,,789.5,plan_ok,
100,full,2180.85,249.02,1931.83,8.326672684688674e-17,3.469446951953614e-18,302,1198,3,1000,28728040,892.8,ok,
110,plan,295.39,,,,,,1318,,,,892.8,plan_ok,
110,full,2742.76,298.86,2443.9,8.326672684688674e-17,3.469446951953614e-18,332,1318,3,1100,34768840,951.8,ok,
120,plan,347.71,,,,,,1438,,,,951.8,plan_ok,
120,full,3293.52,343.47,2950.05,8.326672684688674e-17,5.204170427930421e-18,362,1438,3,1200,41385640,1077.4,ok,
130,plan,400.57,,,,,,1558,,,,1077.4,plan_ok,
130,full,3600.0,,,,,,,,,,1202.5,full_timeout,exceeded 3600s
