circuit,transformer,setting,pred_text,pred_v,err_vs_ref_v,err_vs_truth_v,infer_s
CKT_0015,T2,float64,v_57,2.85,0.0,0.007099999999999884,0.008721351623535156
CKT_0015,T2,int16,v_0,0.0,2.85,2.8571,0.008682012557983398
CKT_0015,T2,int8,v_0,0.0,2.85,2.8571,0.009119749069213867
CKT_0015,T2,int4,v_0,0.0,2.85,2.8571,0.00865936279296875
CKT_0015,T2,prune_10,v_57,2.85,0.0,0.007099999999999884,0.008653402328491211
CKT_0015,T2,prune_50,v_57,2.85,0.0,0.007099999999999884,0.008664369583129883
CKT_0015,T2,prune_90,v_57,2.85,0.0,0.007099999999999884,0.00865483283996582
CKT_0067,T2,float64,v_424,21.200000000000003,0.0,0.06169999999999831,0.023276567459106445
CKT_0067,T2,int16,v_0,0.0,21.200000000000003,21.2617,0.023246288299560547
CKT_0067,T2,int8,v_0,0.0,21.200000000000003,21.2617,0.023256540298461914
CKT_0067,T2,int4,v_0,0.0,21.200000000000003,21.2617,0.023222684860229492
CKT_0067,T2,prune_10,v_424,21.200000000000003,0.0,0.06169999999999831,0.023277759552001953
CKT_0067,T2,prune_50,v_424,21.200000000000003,0.0,0.06169999999999831,0.02332019805908203
CKT_0067,T2,prune_90,v_424,21.200000000000003,0.0,0.06169999999999831,0.02344036102294922
