circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0001,Basic,3,1,2,1.7344,1.9706,0.3338,0.0142,10,2,16,3168,4,48,100608,2.95,2.9333,0.0167,PASS,PASS,OK,
CKT_0002,Basic,3,1,2,1.4997,1.7788,0.332,0.0115,10,2,16,3168,4,48,100608,8.15,8.1633,0.0133,PASS,PASS,OK,
CKT_0003,Basic,3,1,2,1.4507,1.7742,0.3626,0.01,10,2,16,3168,4,48,100608,4.95,4.9287,0.0213,PASS,PASS,OK,
CKT_0004,Basic,3,1,2,1.4649,1.7358,0.3147,0.0101,10,2,16,3168,4,48,100608,3.9,3.9208,0.0208,PASS,PASS,OK,
CKT_0005,Basic,3,1,2,1.4732,1.7591,0.3094,0.0104,10,2,16,3168,4,48,100608,0.5,0.5213,0.0213,PASS,PASS,OK,
CKT_0006,Basic,3,1,2,1.4367,1.758,0.3038,0.0106,10,2,16,3168,4,48,100608,14.7,14.6797,0.0203,PASS,PASS,OK,
CKT_0007,Basic,3,1,2,1.4399,1.7295,0.3553,0.01,10,2,16,3168,4,48,100608,3.05,3.0712,0.0212,PASS,PASS,OK,
CKT_0008,Basic,3,1,2,1.4565,1.7425,0.3233,0.0116,10,2,16,3168,4,48,100608,1.55,1.5349,0.0151,PASS,PASS,OK,
CKT_0009,Basic,3,1,2,1.453,1.7451,0.3238,0.0116,10,2,16,3168,4,48,100608,4.85,4.8526,0.0026,PASS,PASS,OK,
CKT_0010,Basic,3,1,2,1.4395,1.7456,0.3074,0.0101,10,2,16,3168,4,48,100608,7.55,7.534,0.016,PASS,PASS,OK,
CKT_0011,Basic,3,1,2,1.4609,1.7405,0.3415,0.01,10,2,16,3168,4,48,100608,8.0,7.9758,0.0242,PASS,PASS,OK,
CKT_0012,Basic,3,1,2,1.4486,1.7307,0.3187,0.0115,10,2,16,3168,4,48,100608,10.45,10.4681,0.0181,PASS,PASS,OK,
CKT_0013,Basic,3,1,2,1.4456,1.7376,0.2879,0.0115,10,2,16,3168,4,48,100608,0.1,0.109,0.009,PASS,PASS,OK,
CKT_0014,Basic,3,1,2,1.4383,1.7477,0.3289,0.0116,10,2,16,3168,4,48,100608,7.25,7.2644,0.0144,PASS,PASS,OK,
CKT_0015,Basic,4,2,2,1.4969,1.757,0.3282,0.0132,12,3,26,13208,4,48,100608,2.85,2.8571,0.0071,PASS,PASS,OK,
CKT_0016,Basic,4,2,2,1.5143,1.7718,0.2943,0.0114,12,3,26,13208,4,48,100608,4.85,4.8316,0.0184,PASS,PASS,OK,
CKT_0017,Basic,4,2,2,1.5105,1.7618,0.2929,0.0131,12,3,26,13208,4,48,100608,0.1,0.1047,0.0047,PASS,PASS,OK,
CKT_0018,Basic,4,2,2,1.5097,1.7564,0.3626,0.0133,12,3,26,13208,4,48,100608,8.9,8.9241,0.0241,PASS,PASS,OK,
CKT_0019,Basic,4,2,2,1.5068,1.7859,0.2907,0.0131,12,3,26,13208,4,48,100608,1.7,1.7068,0.0068,PASS,PASS,OK,
CKT_0020,Basic,4,2,2,1.505,1.7683,0.2895,0.013,12,3,26,13208,4,48,100608,0.3,0.3189,0.0189,PASS,PASS,OK,
CKT_0021,Basic,4,2,2,1.5202,1.7456,0.2918,0.0115,12,3,26,13208,4,48,100608,1.65,1.6444,0.0056,PASS,PASS,OK,
CKT_0022,Basic,4,2,2,1.4975,1.7799,0.332,0.0113,12,3,26,13208,4,48,100608,0.1,0.0973,0.0027,PASS,PASS,OK,
CKT_0023,Intermediate,4,2,2,1.5096,1.7665,0.2878,0.0125,12,3,26,12506,4,48,100608,9.0,8.9947,0.0053,PASS,PASS,OK,
CKT_0024,Intermediate,4,2,2,1.4999,1.7803,0.3196,0.0118,12,3,26,13208,4,48,100608,0.05,0.0577,0.0077,PASS,PASS,OK,
CKT_0025,Intermediate,4,2,2,1.5087,1.7559,0.3283,0.0129,12,3,26,13208,4,48,100608,0.05,0.0484,0.0016,PASS,PASS,OK,
CKT_0026,Intermediate,4,1,3,1.4584,1.7308,0.2925,0.0129,12,2,16,3168,4,48,100608,11.45,11.4624,0.0124,PASS,PASS,OK,
CKT_0027,Intermediate,4,1,3,1.4481,1.7617,0.2885,0.015,12,2,16,3168,4,48,100608,7.0,7.0,0.0,PASS,PASS,OK,
CKT_0028,Intermediate,4,1,3,1.4455,1.7374,0.3283,0.0129,12,2,16,3168,4,48,100608,14.2,14.1795,0.0205,PASS,PASS,OK,
