circuit,n_free,kappa,growth,rhs,family,eta,fwd_rel_err,host_rel_diff,bitwise_host,selector_hit,n_lookups,bnorm,xnorm
CKT_0015,2,4.001154378950963,1.3806818181818181,identity_e0,identity,2.6798486801296886e-17,0.0,6.782453386800957e-17,False,1.0,1368,1.0,104.76190476190476
CKT_0015,2,4.001154378950963,1.3806818181818181,identity_e1,identity,3.37893964016352e-17,0.0,0.0,True,1.0,1368,1.0,76.19047619047619
CKT_0015,2,4.001154378950963,1.3806818181818181,source,source,5.030969255496802e-17,1.2732925824820997e-16,1.2732925824820997e-16,False,1.0,1368,545.4545454545454,57142.85714285713
CKT_0015,2,4.001154378950963,1.3806818181818181,ones,ones,3.8857805861880476e-17,1.808654236480255e-16,1.808654236480255e-16,False,1.0,1368,1.0,157.14285714285717
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_0,gaussian,3.9723842551357895e-17,1.1168758786293398e-16,0.0,True,1.0,1368,0.44314492152480195,31.809386761584346
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_1,gaussian,3.272341952529953e-17,1.7010348898415027e-16,8.505174449207515e-17,False,1.0,1368,1.7729508118886275,167.0848117233636
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_2,gaussian,0.0,7.784398569993069e-17,1.1586081592547825e-16,False,1.0,1368,0.6105435870560795,30.66363420990932
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_3,gaussian,1.0043322055411193e-17,0.0,0.0,True,1.0,1368,1.473883698675297,135.10955289044716
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_4,gaussian,6.847916949210923e-17,1.8206435385563631e-16,0.0,True,1.0,1368,0.45044625577954855,39.027009994691674
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_5,gaussian,6.599287703908592e-17,5.1560557877130485e-17,2.0624223150852191e-16,False,1.0,1368,0.6487820260780084,34.45185452867545
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_6,gaussian,5.687201685671166e-17,1.5007081202028049e-16,1.5007081202028049e-16,False,1.0,1368,1.0634559051993182,94.69432812345653
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_7,gaussian,0.0,1.7952545859157542e-16,1.795254585915754e-16,False,1.0,1368,0.5682513866265895,19.78947000983859
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_8,gaussian,3.1795354018503956e-17,1.651417668440418e-16,1.6514176684404183e-16,False,1.0,1368,1.8204076510577007,172.10491309109693
CKT_0015,2,4.001154378950963,1.3806818181818181,gaussian_9,gaussian,5.2642461401671985e-17,1.3341804516288214e-16,6.670902258144108e-17,False,1.0,1368,1.022563215162937,106.51373806184026
CKT_0015,2,4.001154378950963,1.3806818181818181,wide_0,wide,3.054119231387271e-17,6.866313860693084e-17,1.3732627721386167e-16,False,1.0,1368,129471.17599803393,13563647.00930626
CKT_0015,2,4.001154378950963,1.3806818181818181,wide_1,wide,4.968161740947495e-17,8.641728012755013e-17,0.0,True,1.0,1368,12.489506665572339,1315.556767741551
