circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0001,1,1.0,2,2.9333,2.9333333333333336,2.95,0.01670000000000016,0.016666666666666607,3.333333333355171e-05,0.0,True,False,1,0
CKT_0002,1,1.0,2,8.1633,8.16326530612245,8.15,0.013299999999999201,0.013265306122448806,3.469387755039577e-05,0.0,True,False,1,0
CKT_0003,1,1.0,2,4.9287,4.928691275167785,4.95,0.021300000000000097,0.02130872483221502,8.724832214923595e-06,0.0,True,False,1,0
CKT_0004,1,1.0,2,3.9208,3.9207920792079203,3.9,0.02079999999999993,0.020792079207920366,7.9207920795632e-06,0.0,True,False,1,0
CKT_0005,1,1.0,2,0.5213,0.5212569316081331,0.5,0.021299999999999986,0.021256931608133134,4.306839186685174e-05,0.0,True,False,1,0
CKT_0006,1,1.0,2,14.6797,14.679715302491102,14.7,0.020299999999998875,0.020284697508897054,1.5302491101820692e-05,0.0,True,False,1,0
CKT_0007,1,1.0,2,3.0712,3.0712263123502503,3.05,0.02120000000000033,0.02122631235025052,2.631235025019052e-05,0.0,True,False,1,0
CKT_0008,1,1.0,2,1.5349,1.5348837209302324,1.55,0.015100000000000113,0.015116279069767646,1.6279069767533016e-05,0.0,True,False,1,0
CKT_0009,1,1.0,2,4.8526,4.852637507039611,4.85,0.0026000000000001577,0.0026375070396111866,3.750703961102886e-05,0.0,True,False,1,0
CKT_0010,1,1.0,2,7.534,7.534002590673577,7.55,0.016000000000000014,0.015997409326423018,2.590673576996494e-06,0.0,True,False,1,0
CKT_0011,1,1.0,2,7.9758,7.97583081570997,8.0,0.024200000000000443,0.02416918429003001,3.081570997043315e-05,0.0,True,False,1,0
CKT_0012,1,1.0,2,10.4681,10.4681434564717,10.45,0.01810000000000045,0.01814345647170157,4.345647170111988e-05,0.0,True,False,1,0
CKT_0013,1,1.0,2,0.109,0.10904912630620474,0.1,0.008999999999999994,0.009049126306204733,4.912630620473868e-05,0.0,True,False,1,0
CKT_0014,1,1.0,2,7.2644,7.264416315049226,7.25,0.01440000000000019,0.014416315049225581,1.631504922539051e-05,0.0,True,False,1,0
CKT_0015,2,4.001154378950963,3,2.8571,2.8571428571428568,2.85,0.007099999999999884,0.007142857142856673,4.285714285678921e-05,4.440892098500626e-16,True,False,2,0
CKT_0016,2,27.86908267126972,3,4.8316,4.831625183016102,4.85,0.01839999999999975,0.01837481698389798,2.518301610177076e-05,1.7763568394002505e-15,True,False,2,0
CKT_0017,2,27.845723389229622,3,0.1047,0.1046788263283109,0.1,0.004699999999999996,0.004678826328310889,2.1173671689106444e-05,1.3877787807814457e-17,True,False,2,0
CKT_0018,2,3.616329657556895,3,8.9241,8.924050632911392,8.9,0.0240999999999989,0.024050632911391645,4.936708860725503e-05,0.0,True,False,2,0
CKT_0019,2,70.29105518718745,3,1.7068,1.7067713300564875,1.7,0.006800000000000139,0.006771330056487557,2.8669943512582563e-05,4.218847493575595e-15,True,False,2,0
CKT_0020,2,2.9949526632378425,3,0.3189,0.3189227498228207,0.3,0.018900000000000028,0.018922749822820717,2.2749822820689047e-05,0.0,True,False,2,0
CKT_0021,2,66.49735836827793,3,1.6444,1.6443575964826533,1.65,0.005599999999999827,0.0056424035173465725,4.240351734674519e-05,2.6645352591003757e-15,True,False,2,0
CKT_0022,2,5.342848169985261,3,0.0973,0.09727592189743091,0.1,0.002700000000000008,0.002724078102569097,2.4078102569088933e-05,1.3877787807814457e-17,True,False,2,0
CKT_0023,2,15.650132477366881,3,8.9947,8.994724664507173,9.0,0.005300000000000082,0.005275335492827438,2.466450717264479e-05,0.0,True,False,2,0
CKT_0024,2,8.261447096780644,3,0.0577,0.05768789077453107,0.05,0.0076999999999999985,0.007687890774531067,1.210922546893145e-05,0.0,True,False,2,0
CKT_0025,2,3.078332621922427,3,0.0484,0.0483742902010861,0.05,0.0016000000000000042,0.0016257097989139033,2.5709798913899073e-05,0.0,True,False,2,0
CKT_0026,1,1.0,3,11.4624,11.462375339981868,11.45,0.012400000000001299,0.012375339981868905,2.4660018132394157e-05,0.0,True,False,1,0
CKT_0027,1,1.0,3,7.0,7.000000000000001,7.0,0.0,8.881784197001252e-16,8.881784197001252e-16,0.0,True,False,1,0
CKT_0028,1,1.0,3,14.1795,14.179510426110607,14.2,0.02049999999999841,0.020489573889392432,1.0426110605976646e-05,0.0,True,False,1,0
CKT_0029,3,33.63420664561869,4,0.1592,0.15917514936601346,0.15,0.009200000000000014,0.009175149366013463,2.485063398655063e-05,2.7755575615628914e-17,True,False,3,0
CKT_0030,3,2.761825565845191,4,5.1848,5.1847783951414925,5.2,0.015200000000000102,0.015221604858507654,2.1604858507551228e-05,1.7763568394002505e-15,True,False,3,0
CKT_0031,3,55.9783829798341,4,3.1534,3.153430316263594,3.15,0.0034000000000000696,0.0034303162635942464,3.0316263594176718e-05,0.0,True,False,3,0
CKT_0032,3,8.265002770139882,4,2.5535,2.5535195409318883,2.55,0.0035000000000002807,0.003519540931888443,1.9540931888162305e-05,4.440892098500626e-16,True,False,3,0
CKT_0033,3,10.66028155359551,4,18.8788,18.878787995190702,18.9,0.02120000000000033,0.021212004809296303,1.2004809295973473e-05,0.0,True,False,3,0
CKT_0034,3,17.893301867996268,4,4.6738,4.673805453222915,4.65,0.0237999999999996,0.023805453222914608,5.453222915008382e-06,0.0,True,False,3,0
CKT_0035,3,22.029102254371807,4,1.757,1.7569546120058566,1.75,0.006999999999999895,0.006954612005856564,4.5387994143331056e-05,2.220446049250313e-16,True,False,3,0
CKT_0036,3,66.51528940366495,4,0.0082,0.008176862507571167,0.0,0.0082,0.008176862507571167,2.3137492428833284e-05,0.0,True,False,3,0
CKT_0037,3,19.241775366728465,4,2.6664,2.666401688342855,2.65,0.01639999999999997,0.01640168834285527,1.6883428552993962e-06,4.440892098500626e-16,True,False,3,0
CKT_0038,2,9.024118530434732,3,2.7845,2.784490002787562,2.8,0.015499999999999847,0.015509997212437732,9.997212437884428e-06,4.440892098500626e-16,True,False,2,0
CKT_0039,2,207.4541918673241,3,18.2062,18.206200700700553,18.2,0.006199999999999761,0.006200700700553341,7.007005535797362e-07,9.947598300641403e-14,True,False,2,0
CKT_0040,2,14.97797891331623,3,3.2548,3.2548395123164964,3.25,0.0047999999999999154,0.004839512316496375,3.9512316496459476e-05,4.440892098500626e-16,True,False,2,0
CKT_0041,2,6.118758328168338,3,4.6532,4.6531566640685895,4.65,0.0031999999999996476,0.0031566640685891656,4.3335931410481976e-05,8.881784197001252e-16,True,False,2,0
CKT_0042,4,5.52040501178377,4,0.0603,0.06025158454358256,0.05,0.010299999999999997,0.010251584543582555,4.8415456417441605e-05,6.938893903907228e-18,True,False,4,0
