backend,bitwise_vs_first_variant,bitwise_vs_host,circuit,d_model,eta_rnd,eta_src,max_ulp_diff_vs_first,n_layers,pred_v,slot_x_new,slot_x_value,variant,weight_sha256,x_rnd_hex,x_src_hex
HiGHS,True,True,CKT_0040,42,0.0,2.4308848273360997e-19,0.0,4,3.25,10,11,highs_seed0_t1,b500c1011be31efd,1a28d9e36feda1b7,c8698c8d22dce476
HiGHS,True,True,CKT_0040,42,0.0,2.4308848273360997e-19,0.0,4,3.25,12,11,highs_seed1_t1,2a4f44b4881eab5b,1a28d9e36feda1b7,c8698c8d22dce476
HiGHS,True,True,CKT_0040,42,0.0,2.4308848273360997e-19,0.0,4,3.25,10,11,highs_seed7_t1,4bd5f9c0e7635ffb,1a28d9e36feda1b7,c8698c8d22dce476
HiGHS,True,True,CKT_0040,42,0.0,2.4308848273360997e-19,0.0,4,3.25,10,11,highs_tl10,b500c1011be31efd,1a28d9e36feda1b7,c8698c8d22dce476
CBC,True,True,CKT_0040,42,0.0,2.4308848273360997e-19,0.0,4,3.25,10,11,cbc_default,7ea2fdd729613dbc,1a28d9e36feda1b7,c8698c8d22dce476
HiGHS,True,False,CKT_0071,72,0.7835445535557971,0.7835529884344118,0.0,4,9.0,10,11,highs_seed0_t1,d14763f2f70df8f0,53c56edc7cb2e930,7af90d5f2cd0e624
HiGHS,True,False,CKT_0071,72,0.7835445535557971,0.7835529884344118,0.0,4,9.0,10,11,highs_seed1_t1,877d34c1a7ffd227,53c56edc7cb2e930,7af90d5f2cd0e624
HiGHS,True,False,CKT_0071,72,0.7835445535557971,0.7835529884344118,0.0,4,9.0,5,11,highs_seed7_t1,e9c78dec4887fbdc,53c56edc7cb2e930,7af90d5f2cd0e624
HiGHS,True,False,CKT_0071,72,0.7835445535557971,0.7835529884344118,0.0,4,9.0,5,11,highs_tl10,2104ee755706624f,53c56edc7cb2e930,7af90d5f2cd0e624
CBC,True,False,CKT_0071,72,0.7835445535557971,0.7835529884344118,0.0,4,9.0,5,11,cbc_default,ff169bf2694ad46a,53c56edc7cb2e930,7af90d5f2cd0e624
HiGHS,True,False,CKT_0090,164,1.68807177081421e-18,1.5378631118145462e-17,0.0,4,4.95,10,11,highs_seed0_t1,74e850b9506e09c7,238d822a6dd1534f,741e4071313e6d4f
HiGHS,False,False,CKT_0090,164,1.68807177081421e-18,1.5378631118145462e-17,1.844419550650294,4,4.95,8,11,highs_seed1_t1,e9ff27a02315475f,68c51767e161a08b,741e4071313e6d4f
HiGHS,False,False,CKT_0090,164,1.68807177081421e-18,1.5378631118145462e-17,1.844419550650294,4,4.95,8,11,highs_seed7_t1,5bb4d05adefa4ac8,68c51767e161a08b,741e4071313e6d4f
HiGHS,False,False,CKT_0090,164,1.68807177081421e-18,1.5378631118145462e-17,0.6964647111312467,4,4.95,8,11,highs_tl10,243025eec4cc141e,3fe30964d2741c87,799f4752cfec6cfa
CBC,False,False,CKT_0090,164,1.68807177081421e-18,1.5378631118145462e-17,1.844419550650294,4,4.95,5,11,cbc_default,40e2dec9f2177bf3,68c51767e161a08b,741e4071313e6d4f
HiGHS,True,False,CKT_0119,114,7.1356754578973e-18,2.866082437013923e-17,0.0,4,0.0,10,11,highs_seed0_t1,6d7b48db2b8e7d8b,1a16ef65bfa9e5de,de5f0812c6dcb7cc
HiGHS,True,False,CKT_0119,114,7.1356754578973e-18,2.866082437013923e-17,0.0,4,0.0,5,11,highs_seed1_t1,799ab6061d97f70a,1a16ef65bfa9e5de,de5f0812c6dcb7cc
HiGHS,True,False,CKT_0119,114,7.1356754578973e-18,2.866082437013923e-17,0.0,4,0.0,10,11,highs_seed7_t1,ff5d1b701c9a63d1,1a16ef65bfa9e5de,de5f0812c6dcb7cc
HiGHS,True,False,CKT_0119,114,7.1356754578973e-18,2.866082437013923e-17,0.0,4,0.0,10,11,highs_tl10,71e147c8a478b5eb,1a16ef65bfa9e5de,de5f0812c6dcb7cc
CBC,True,False,CKT_0119,114,7.1356754578973e-18,2.866082437013923e-17,0.0,4,0.0,10,11,cbc_default,7c30708795261d65,1a16ef65bfa9e5de,de5f0812c6dcb7cc
