K,circuit,dtype,eta,frac_finite,frac_onehot,frac_tied,fwd_rel_err,max_entropy,mean_entropy,n_free,n_lookups,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
10000000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.2128623188405797,0.7871376811594203,0.0,3.1354942159291497,1.8464344972162072,3,2208,True,0.15,0.0,False,,1.0
10000000000.0,CKT_0029,f32,2.2434401065496e-08,1.0,0.2128623188405797,0.7871376811594203,4.5285731403442305e-08,3.135494255705829,1.8464345193317269,3,2208,True,0.15,0.0,False,,1.0
10000000000.0,CKT_0029,bf16,0.0014697124792711277,1.0,0.21195652173913043,0.7880434782608695,0.09820327010521517,3.134451374915331,1.8479304590059598,3,2208,True,0.15,0.0,False,,0.9990942028985508
10000000000.0,CKT_0029,f16,inf,0.03985507246376811,0.009963768115942028,0.029891304347826088,inf,1.3862943611198906,0.03166515124823506,3,2208,False,0.0,0.0,False,,0.7228260869565217
10000000000.0,CKT_0029,f64,1.0,1.0,0.043478260869565216,0.9565217391304348,1.0,3.1354942159291497,2.2437685029462773,3,2208,False,0.0,0.0,False,per_tensor_int8,0.8722826086956522
10000000000.0,CKT_0029,f64,1.0,1.0,0.2128623188405797,0.7871376811594203,1.0,3.1354942159291497,1.8464344972162072,3,2208,False,0.0,0.0,False,per_channel_int8,0.947463768115942
10000000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.2128623188405797,0.7871376811594203,0.0,3.1354942159291497,1.8464344972162072,3,2208,True,0.15,0.1,False,,1.0
10000000000.0,CKT_0029,f64,1.0,1.0,0.2128623188405797,0.7871376811594203,1.0,3.1354942159291497,1.8464344972162072,3,2208,False,0.0,0.1,True,,0.9302536231884058
10000000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.2128623188405797,0.7871376811594203,0.0,3.1354942159291497,1.8464344972162072,3,2208,True,0.15,0.5,False,,1.0
10000000000.0,CKT_0029,f64,1.0,1.0,0.043478260869565216,0.9565217391304348,1.0,3.1354942159291497,2.2437685029462773,3,2208,False,0.0,0.5,True,,0.8722826086956522
10000000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.2128623188405797,0.7871376811594203,0.0,3.1354942159291497,1.8464344972162072,3,2208,True,0.15,0.9,False,,1.0
10000000000.0,CKT_0029,f64,1.0,1.0,0.043478260869565216,0.9565217391304348,1.0,3.1354942159291497,2.2437685029462773,3,2208,False,0.0,0.9,True,,0.8722826086956522
100000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.22282608695652173,0.7771739130434783,0.0,3.1354942159291497,1.8230619086438502,3,2208,True,0.15,0.0,False,,1.0
100000000.0,CKT_0029,f32,2.2636084313185776e-08,1.0,0.22282608695652173,0.7771739130434783,6.660473085464356e-08,3.135494255705829,1.8230619304794267,3,2208,True,0.15,0.0,False,,1.0
100000000.0,CKT_0029,bf16,0.0014697124792711277,1.0,0.22192028985507245,0.7780797101449275,0.09820327010521517,3.134451374915331,1.8245492072670595,3,2208,True,0.15,0.0,False,,0.9990942028985508
100000000.0,CKT_0029,f16,inf,0.03804347826086957,0.009510869565217392,0.028532608695652172,inf,1.3862943611198906,0.030225826191497097,3,2208,False,0.0,0.0,False,,0.7196557971014492
100000000.0,CKT_0029,f64,1.0,1.0,0.043478260869565216,0.9565217391304348,1.0,3.1354942159291497,2.2437685029462773,3,2208,False,0.0,0.0,False,per_tensor_int8,0.8623188405797102
100000000.0,CKT_0029,f64,1.0,1.0,0.22282608695652173,0.7771739130434783,1.0,3.1354942159291497,1.8230619086438502,3,2208,False,0.0,0.0,False,per_channel_int8,0.947463768115942
100000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.22282608695652173,0.7771739130434783,0.0,3.1354942159291497,1.8230619086438502,3,2208,True,0.15,0.1,False,,1.0
100000000.0,CKT_0029,f64,1.0,1.0,0.22282608695652173,0.7771739130434783,1.0,3.1354942159291497,1.8230619086438502,3,2208,False,0.0,0.1,True,,0.9302536231884058
100000000.0,CKT_0029,f64,2.292873175555528e-18,1.0,0.22282608695652173,0.7771739130434783,0.0,3.1354942159291497,1.8230619086438502,3,2208,True,0.15,0.5,False,,1.0
