breaks_program,circuit,compiler_label,eta,head,layer,pred_changed,selector_hit
True,CKT_0029,passthrough,0.019352101163860182,0,0,True,0.6304347826086957
True,CKT_0029,passthrough,0.008892451261165562,1,0,True,0.9184782608695652
True,CKT_0029,passthrough,2.206840848507086e-05,2,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,3,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,4,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,5,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,6,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,7,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,8,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,9,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,10,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,11,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,12,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,13,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,14,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,15,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,16,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,17,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,18,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,19,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,20,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,21,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,22,0,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,23,0,False,1.0
False,CKT_0029,lookup,2.292873175555528e-18,0,1,False,1.0
False,CKT_0029,lookup,2.292873175555528e-18,1,1,False,1.0
True,CKT_0029,lookup,0.00161616366923868,2,1,False,1.0
True,CKT_0029,lookup,0.007287676604340911,3,1,True,1.0
False,CKT_0029,lookup,2.292873175555528e-18,4,1,True,1.0
False,CKT_0029,passthrough,2.292873175555528e-18,5,1,False,1.0
True,CKT_0029,passthrough,0.002595117081632888,6,1,True,1.0
False,CKT_0029,passthrough,2.292873175555528e-18,7,1,False,1.0
True,CKT_0029,passthrough,0.9816349226218949,8,1,True,0.9510869565217391
False,CKT_0029,unused,2.292873175555528e-18,9,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,10,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,11,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,12,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,13,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,14,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,15,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,16,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,17,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,18,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,19,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,20,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,21,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,22,1,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,23,1,False,1.0
True,CKT_0029,lookup,0.002289559456439544,0,2,False,1.0
True,CKT_0029,lookup,4.1091792155858714e-05,1,2,False,1.0
True,CKT_0029,lookup,1.0,2,2,True,1.0
True,CKT_0029,passthrough,1.6897390001904654e-07,3,2,False,1.0
False,CKT_0029,passthrough,2.292873175555528e-18,4,2,False,1.0
True,CKT_0029,passthrough,0.0025816455286313423,5,2,True,1.0
False,CKT_0029,unused,2.292873175555528e-18,6,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,7,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,8,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,9,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,10,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,11,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,12,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,13,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,14,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,15,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,16,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,17,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,18,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,19,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,20,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,21,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,22,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,23,2,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,0,3,False,1.0
False,CKT_0029,unused,2.292873175555528e-18,1,3,False,1.0
