circuit,dtype,eta,frac_finite,frac_onehot,fwd_rel_err,label,max_entropy,mean_entropy,n_free,n_lookups_scored,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
CKT_0029,f64,2.292873175555528e-18,1.0,1.0,0.0,f64,-0.0,0.0,3,184,True,0.15,0.0,False,,1.0
CKT_0029,f32,2.2636084313185776e-08,1.0,1.0,6.660473085464356e-08,f32,-0.0,0.0,3,184,True,0.15,0.0,False,,1.0
CKT_0029,bf16,0.0014697124792711277,1.0,0.9891304347826086,0.09820327010521517,bf16,1.0988029846863339,0.009738859593729778,3,184,True,0.15,0.0,False,,0.9891304347826086
CKT_0029,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,3,184,False,0.0,0.0,False,,0.5434782608695652
CKT_0029,f64,1.0,1.0,0.043478260869565216,1.0,per_tensor int8,3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.0,False,per_tensor_int8,0.5434782608695652
CKT_0029,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,3,184,False,0.0,0.0,False,per_channel_int8,0.3695652173913043
CKT_0029,f64,2.292873175555528e-18,1.0,1.0,0.0,prune 10%,-0.0,0.0,3,184,True,0.15,0.1,False,,1.0
CKT_0029,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,3,184,False,0.0,0.1,True,,0.16304347826086957
CKT_0029,f64,2.292873175555528e-18,1.0,1.0,0.0,prune 50%,-0.0,0.0,3,184,True,0.15,0.5,False,,1.0
CKT_0029,f64,1.0,1.0,0.043478260869565216,1.0,prune 50%(nz),3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.5,True,,0.5434782608695652
CKT_0029,f64,2.292873175555528e-18,1.0,1.0,0.0,prune 90%,-0.0,0.0,3,184,True,0.15,0.9,False,,1.0
CKT_0029,f64,1.0,1.0,0.043478260869565216,1.0,prune 90%(nz),3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.9,True,,0.5434782608695652
CKT_0032,f64,8.636569109656761e-17,1.0,1.0,2.2515602712176207e-16,f64,-0.0,0.0,3,184,True,2.55,0.0,False,,1.0
CKT_0032,f32,1.7531416011495882e-08,1.0,1.0,6.343594136549534e-08,f32,-0.0,0.0,3,184,True,2.55,0.0,False,,1.0
CKT_0032,bf16,0.007706487218779864,1.0,0.9891304347826086,0.016929402693474278,bf16,1.0988029846863339,0.009738859593729778,3,184,False,2.4,0.0,False,,0.9891304347826086
CKT_0032,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,3,184,False,0.0,0.0,False,,0.5434782608695652
CKT_0032,f64,1.0,1.0,0.043478260869565216,1.0,per_tensor int8,3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.0,False,per_tensor_int8,0.5434782608695652
CKT_0032,f64,0.9999903882597498,1.0,1.0,1.0,per_channel int8,-0.0,0.0,3,184,False,0.0,0.0,False,per_channel_int8,0.3695652173913043
CKT_0032,f64,8.636569109656761e-17,1.0,1.0,2.2515602712176207e-16,prune 10%,-0.0,0.0,3,184,True,2.55,0.1,False,,1.0
CKT_0032,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,3,184,False,0.0,0.1,True,,0.16304347826086957
CKT_0032,f64,8.636569109656761e-17,1.0,1.0,2.2515602712176207e-16,prune 50%,-0.0,0.0,3,184,True,2.55,0.5,False,,1.0
CKT_0032,f64,1.0,1.0,0.043478260869565216,1.0,prune 50%(nz),3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.5,True,,0.5434782608695652
CKT_0032,f64,8.636569109656761e-17,1.0,1.0,2.2515602712176207e-16,prune 90%,-0.0,0.0,3,184,True,2.55,0.9,False,,1.0
CKT_0032,f64,1.0,1.0,0.043478260869565216,1.0,prune 90%(nz),3.1354942159291497,2.2437685029462773,3,184,False,0.0,0.9,True,,0.5434782608695652
CKT_0036,f64,5.877049300328271e-17,1.0,1.0,1.0833879889084452e-16,f64,-0.0,0.0,3,184,True,0.0,0.0,False,,1.0
CKT_0036,f32,5.402036865427565e-08,1.0,1.0,1.0857740382816652e-07,f32,-0.0,0.0,3,184,True,0.0,0.0,False,,1.0
CKT_0036,bf16,0.004453790314133907,1.0,0.9891304347826086,0.008923520923520598,bf16,1.0988029846863339,0.009738859593729778,3,184,True,0.0,0.0,False,,0.9891304347826086
CKT_0036,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,3,184,True,0.0,0.0,False,,0.5434782608695652
CKT_0036,f64,1.0,1.0,0.043478260869565216,1.0,per_tensor int8,3.1354942159291497,2.2437685029462773,3,184,True,0.0,0.0,False,per_tensor_int8,0.5434782608695652
CKT_0036,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,3,184,True,0.0,0.0,False,per_channel_int8,0.3695652173913043
CKT_0036,f64,5.877049300328271e-17,1.0,1.0,1.0833879889084452e-16,prune 10%,-0.0,0.0,3,184,True,0.0,0.1,False,,1.0
CKT_0036,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,3,184,True,0.0,0.1,True,,0.16304347826086957
CKT_0036,f64,5.877049300328271e-17,1.0,1.0,1.0833879889084452e-16,prune 50%,-0.0,0.0,3,184,True,0.0,0.5,False,,1.0
CKT_0036,f64,1.0,1.0,0.043478260869565216,1.0,prune 50%(nz),3.1354942159291497,2.2437685029462773,3,184,True,0.0,0.5,True,,0.5434782608695652
CKT_0036,f64,5.877049300328271e-17,1.0,1.0,1.0833879889084452e-16,prune 90%,-0.0,0.0,3,184,True,0.0,0.9,False,,1.0
CKT_0036,f64,1.0,1.0,0.043478260869565216,1.0,prune 90%(nz),3.1354942159291497,2.2437685029462773,3,184,True,0.0,0.9,True,,0.5434782608695652
CKT_0043,f64,3.761857903115259e-17,1.0,1.0,0.0,f64,-0.0,0.0,4,280,True,7.7,0.0,False,,1.0
CKT_0043,f32,1.9879640463480823e-08,1.0,1.0,1.195389616167185e-07,f32,-0.0,0.0,4,280,True,7.7,0.0,False,,1.0
CKT_0043,bf16,0.01579305350356212,1.0,0.9678571428571429,0.22023779214201517,bf16,1.0988029846863339,0.030972355177849423,4,280,False,6.9,0.0,False,,0.9678571428571429
CKT_0043,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,4,280,False,0.0,0.0,False,,0.5857142857142857
CKT_0043,f64,1.0,1.0,0.03571428571428571,1.0,per_tensor int8,3.332204510175204,2.4246336834707694,4,280,False,0.0,0.0,False,per_tensor_int8,0.5857142857142857
CKT_0043,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,4,280,False,0.0,0.0,False,per_channel_int8,0.32142857142857145
CKT_0043,f64,3.761857903115259e-17,1.0,1.0,0.0,prune 10%,-0.0,0.0,4,280,True,7.7,0.1,False,,1.0
CKT_0043,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,4,280,False,0.0,0.1,True,,0.14642857142857144
CKT_0043,f64,3.761857903115259e-17,1.0,1.0,0.0,prune 50%,-0.0,0.0,4,280,True,7.7,0.5,False,,1.0
CKT_0043,f64,1.0,1.0,0.03571428571428571,1.0,prune 50%(nz),3.332204510175204,2.4246336834707694,4,280,False,0.0,0.5,True,,0.5857142857142857
CKT_0043,f64,3.761857903115259e-17,1.0,1.0,0.0,prune 90%,-0.0,0.0,4,280,True,7.7,0.9,False,,1.0
CKT_0043,f64,1.0,1.0,0.03571428571428571,1.0,prune 90%(nz),3.332204510175204,2.4246336834707694,4,280,False,0.0,0.9,True,,0.5857142857142857
CKT_0047,f64,5.348319039019464e-17,1.0,1.0,1.4424701120726144e-16,f64,-0.0,0.0,4,280,True,3.25,0.0,False,,1.0
CKT_0047,f32,1.036032428234506e-08,1.0,1.0,1.4488112626142096e-07,f32,-0.0,0.0,4,280,True,3.25,0.0,False,,1.0
CKT_0047,bf16,0.18925315482573044,1.0,0.9714285714285714,0.6851240820119928,bf16,1.0988029846863339,0.027048058803969665,4,280,False,1.2,0.0,False,,0.9714285714285714
CKT_0047,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,4,280,False,0.0,0.0,False,,0.5857142857142857
CKT_0047,f64,1.0,1.0,0.03571428571428571,1.0,per_tensor int8,3.332204510175204,2.4246336834707694,4,280,False,0.0,0.0,False,per_tensor_int8,0.5857142857142857
CKT_0047,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,4,280,False,0.0,0.0,False,per_channel_int8,0.32142857142857145
CKT_0047,f64,5.348319039019464e-17,1.0,1.0,1.4424701120726144e-16,prune 10%,-0.0,0.0,4,280,True,3.25,0.1,False,,1.0
CKT_0047,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,4,280,False,0.0,0.1,True,,0.14642857142857144
CKT_0047,f64,5.348319039019464e-17,1.0,1.0,1.4424701120726144e-16,prune 50%,-0.0,0.0,4,280,True,3.25,0.5,False,,1.0
