circuit,frac_certified_lookup,n_exact_fallback,n_free,n_lookup_heads,n_lookup_scored,n_lookups_total,n_passthrough_heads
CKT_0029,0.9565217391304348,8,3,8,184,2208,10
CKT_0032,0.9565217391304348,8,3,8,184,2208,9
CKT_0036,0.9565217391304348,8,3,8,184,2208,9
CKT_0043,0.9642857142857143,10,4,10,280,3136,10
CKT_0047,0.9642857142857143,10,4,10,280,3136,10
CKT_0070,0.9666666666666667,11,4,11,330,3720,13
CKT_0096,0.9743589743589743,15,5,15,585,6396,14
CKT_0094,0.9761904761904762,16,6,16,672,7224,13
CKT_0057,0.9795918367346939,19,7,19,931,9800,15
CKT_0076,0.9777777777777777,17,7,17,765,8100,14
CKT_0060,0.9814814814814815,21,8,21,1134,11880,16
CKT_0103,0.9821428571428571,22,8,22,1232,12992,17
CKT_0101,0.9830508474576272,23,9,23,1357,14160,17
CKT_0141,0.9836065573770492,24,9,24,1464,15128,18
CKT_0140,0.9848484848484849,26,10,26,1716,17688,20
CKT_0081,0.9859154929577465,28,11,28,1988,20448,20
CKT_0082,0.9864864864864865,29,12,29,2146,21904,20
CKT_0124,0.9868421052631579,30,12,30,2280,23408,20
CKT_0123,0.9873417721518988,31,13,31,2449,24964,21
CKT_0064,0.9875,31,14,31,2480,25280,22
CKT_0105,0.9895833333333334,38,16,38,3648,36864,24
CKT_0106,0.98989898989899,39,17,39,3861,38808,24
CKT_0146,0.98989898989899,39,17,39,3861,38808,25
CKT_0112,0.9906542056074766,42,19,42,4494,44940,26
CKT_0113,0.9914529914529915,46,21,46,5382,53820,29
CKT_0128,0.9917355371900827,48,21,48,5808,58080,32
CKT_0135,0.9929078014184397,56,25,56,7896,78396,34
CKT_0108,0.9931972789115646,58,27,58,8526,84672,35
CKT_0129,0.9950248756218906,80,37,80,16080,158388,46
CKT_0133,0.9957627118644068,94,44,94,22184,217120,52
